  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:29:15  03/05/2024 jbnv     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1000      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.6796203E-01  -1.0580583E-02   8.0142727E+00   1.9156725E+00
   3.7077251E-01  -1.0097540E-02   7.9036331E+00   1.9156942E+00
   3.7353930E-01   2.4404766E-02   7.6277275E+00   1.9156194E+00
   3.7761995E-01   5.1225945E-03   7.7031260E+00   1.9146296E+00
   3.8031724E-01   2.7820680E-04   7.6755271E+00   1.9143478E+00
   3.8441381E-01   1.5117840E-03   7.3777628E+00   1.9158093E+00
   3.8710359E-01   2.0686199E-03   7.2770157E+00   1.9162557E+00
   3.9104214E-01   2.3776470E-03   7.1812215E+00   1.9162650E+00
   3.9358860E-01   2.6562705E-03   7.0586209E+00   1.9161744E+00
   3.9733171E-01   2.5121472E-03   6.9339652E+00   1.9161220E+00
   4.0101323E-01   7.1252236E-04   6.8042555E+00   1.9160118E+00
   4.0464437E-01   2.4027133E-03   6.6163354E+00   1.9157906E+00
   4.0703535E-01   1.1270639E-03   6.5260205E+00   1.9156309E+00
   4.1057786E-01   4.4311467E-03   6.4268155E+00   1.9153910E+00
   4.1407856E-01   4.0541994E-03   6.2866387E+00   1.9149953E+00
   4.1758484E-01   1.0880718E-03   6.1883650E+00   1.9147700E+00
   4.2110848E-01   2.6675388E-03   6.0121107E+00   1.9145846E+00
   4.2453316E-01   2.3034620E-03   5.8635230E+00   1.9146422E+00
   4.2788458E-01   1.7391624E-03   5.7245917E+00   1.9148508E+00
   4.3115664E-01   1.1551136E-03   5.6643143E+00   1.9150043E+00
   4.3436688E-01   1.7236157E-03   5.4732728E+00   1.9155155E+00
   4.3752587E-01   1.8043394E-03   5.3069868E+00   1.9162087E+00
   4.4063926E-01   1.0027994E-03   5.2168379E+00   1.9167455E+00
   4.4472507E-01   2.0996460E-03   5.0596118E+00   1.9173390E+00
   4.4774422E-01   1.5254103E-03   5.0011978E+00   1.9175203E+00
   4.5072708E-01  -4.1581827E-04   4.7845860E+00   1.9179683E+00
   4.5465121E-01  -2.4405141E-04   4.6246510E+00   1.9182894E+00
   4.5755818E-01   1.6639252E-03   4.5503025E+00   1.9183838E+00
   4.6138880E-01  -1.1483058E-03   4.3559542E+00   1.9184119E+00
   4.6422741E-01  -2.5191749E-03   4.2301960E+00   1.9183495E+00
   4.6796641E-01  -2.1529011E-03   4.1177473E+00   1.9183618E+00
   4.7073820E-01  -4.4922130E-03   4.0188169E+00   1.9182343E+00
   4.7439444E-01   2.2969542E-03   3.8513882E+00   1.9180342E+00
   4.7800991E-01  -1.5582411E-03   3.6438663E+00   1.9179844E+00
   4.8069724E-01  -7.0091393E-03   3.5819542E+00   1.9180115E+00
   4.8425156E-01  -2.6097142E-03   3.4199245E+00   1.9181917E+00
   4.8777878E-01  -2.4174000E-03   3.2863765E+00   1.9182801E+00
   4.9128380E-01  -2.3056350E-03   3.1754963E+00   1.9184401E+00
   4.9477518E-01  -3.9841253E-03   2.9595573E+00   1.9186729E+00
   4.9739432E-01  -3.8263747E-03   2.8846858E+00   1.9187046E+00
   5.0138634E-01  -3.8372716E-03   2.7351148E+00   1.9194947E+00
   5.0410885E-01  -1.1399052E-03   2.5738237E+00   1.9192743E+00
   5.0741816E-01  -4.1156537E-03   2.5255795E+00   1.9191194E+00
   5.1120764E-01  -7.4839732E-03   2.3936508E+00   1.9182596E+00
   5.1406229E-01  -4.0026363E-03   2.2870288E+00   1.9178722E+00
   5.1781970E-01  -4.3781456E-03   1.9921533E+00   1.9169750E+00
   5.2067327E-01  -6.4646634E-03   1.9192992E+00   1.9166795E+00
   5.2441561E-01  -9.9783037E-03   1.8415415E+00   1.9164027E+00
   5.2810454E-01  -7.5538699E-03   1.7195022E+00   1.9158328E+00
   5.3085357E-01  -5.3075450E-03   1.5450459E+00   1.9149898E+00
   5.3452128E-01  -8.3710272E-03   1.3092690E+00   1.9140629E+00
   5.3826708E-01  -8.1791691E-03   1.1972625E+00   1.9134560E+00
   5.4111475E-01  -1.0822263E-02   1.1015861E+00   1.9131627E+00
   5.4492545E-01  -1.1631909E-02   9.5470041E-01   1.9127014E+00
   5.4766142E-01  -1.5357496E-02   8.8517004E-01   1.9125615E+00
   5.5145222E-01  -4.2702453E-03   5.5190140E-01   1.9119681E+00
   5.5427384E-01  -8.3792377E-03   4.6288615E-01   1.9115803E+00
   5.5801421E-01  -3.1804915E-03   3.1957465E-01   1.9108634E+00
   5.6079602E-01  -1.8300641E-02   2.4627590E-01   1.9105678E+00
   5.6448650E-01  -1.5077255E-02   1.3491617E-01   1.9099844E+00
   5.6830609E-01  -2.4254384E-02  -7.1076527E-02   1.9089293E+00
   5.7120967E-01  -2.5081668E-02  -2.7247432E-01   1.9077801E+00
   5.7480544E-01  -1.8632649E-03  -4.4238007E-01   1.9064295E+00
   5.7758808E-01  -1.6515609E-02  -5.7746816E-01   1.9059381E+00
   5.8147925E-01  -3.4828089E-02  -5.8820802E-01   1.9047209E+00
   5.8436543E-01   3.8388953E-02  -1.0139467E+00   1.9034592E+00
   5.8834904E-01  -2.9823558E-02  -1.0387814E+00   1.9024960E+00
   5.9106547E-01   1.2894396E-02  -1.1179113E+00   1.9027346E+00
   5.9490609E-01  -2.5380522E-02  -1.3133506E+00   1.9019015E+00
   5.9805632E-01  -4.0792733E-02  -1.5464091E+00   1.9008853E+00
   6.0121787E-01  -1.6580459E-02  -1.6812891E+00   1.9003212E+00
   6.0439312E-01  -3.9537851E-02  -1.7886336E+00   1.9002413E+00
   6.0759312E-01  -1.2249021E-02  -1.9009821E+00   1.9004043E+00
   6.1126149E-01  -3.3992324E-02  -1.9997941E+00   1.9001652E+00
