  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   22:52:41  03/05/2024 nhtt     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.342E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.9764034E-01  -2.3233784E-02   5.4707635E-02   4.0226394E-01
   6.0115927E-01  -2.7043397E-02   2.5425117E-02   4.0068832E-01
   6.0473585E-01  -1.4384493E-02  -1.9810763E-01   4.0114275E-01
   6.0833544E-01  -3.4283269E-02  -4.5243719E-01   3.9996132E-01
   6.1176294E-01  -3.6029391E-02  -5.5423152E-01   4.0001091E-01
   6.1468488E-01  -1.9661602E-02  -6.5913719E-01   4.0160888E-01
   6.1785436E-01  -4.0306941E-02  -7.6788950E-01   4.0154752E-01
   6.2126672E-01  -2.5682986E-02  -8.7650263E-01   4.0177345E-01
   6.2466806E-01  -2.3203224E-03  -1.0815834E+00   4.0095994E-01
   6.2839735E-01  -3.0998176E-02  -1.1792130E+00   4.0113765E-01
   6.3090789E-01  -2.5036991E-02  -1.1675751E+00   4.0622067E-01
   6.3464206E-01  -2.6053069E-02  -1.5349336E+00   3.9935556E-01
   6.3851774E-01  -1.5799223E-02  -1.4869609E+00   3.9793432E-01
   6.4106250E-01  -2.7323669E-02  -1.5829507E+00   4.0092272E-01
   6.4478612E-01  -3.1498384E-02  -1.9832786E+00   4.0755996E-01
   6.4814216E-01  -9.0497851E-02  -1.8551298E+00   4.0447867E-01
   6.5117425E-01  -5.1712032E-02  -1.8681591E+00   4.0628862E-01
   6.5462255E-01  -2.4249598E-02  -2.1707964E+00   4.0999287E-01
   6.5831554E-01  -2.7065467E-02  -2.2531619E+00   4.0493092E-01
   6.6132849E-01  -2.6669284E-02  -2.3824842E+00   4.0415457E-01
   6.6482300E-01  -5.1514868E-02  -2.5040660E+00   4.1313598E-01
   6.6785377E-01  -3.5133447E-02  -2.6901278E+00   4.1535616E-01
   6.7115557E-01  -5.2951690E-02  -2.8231905E+00   4.2108169E-01
   6.7523474E-01  -2.4480371E-02  -2.9074314E+00   4.2770472E-01
   6.7856520E-01  -4.4445120E-02  -3.0052917E+00   4.2843145E-01
   6.8194842E-01  -3.7949111E-02  -3.1720774E+00   4.3087468E-01
   6.8427342E-01  -1.1289122E-02  -3.2253730E+00   4.3074816E-01
   6.8775535E-01   8.4087746E-03  -3.3370299E+00   4.3092847E-01
   6.9120628E-01  -3.4737840E-02  -3.4655790E+00   4.3188342E-01
   6.9462729E-01  -2.4534307E-02  -3.5406370E+00   4.3173531E-01
   6.9804347E-01  -1.1849764E-02  -3.6389308E+00   4.3302304E-01
   7.0144975E-01  -2.2087676E-02  -3.7443664E+00   4.4048661E-01
   7.0477265E-01  -1.0268281E-03  -3.9056988E+00   4.3916234E-01
   7.0801765E-01  -1.4660321E-02  -3.9398899E+00   4.4716370E-01
   7.1118641E-01  -2.1173539E-02  -4.0286837E+00   4.4824064E-01
   7.1531171E-01   2.0315102E-04  -4.1166725E+00   4.5785704E-01
   7.1833467E-01  -1.3236563E-02  -4.2468915E+00   4.5102236E-01
   7.2130650E-01  -1.6874455E-02  -4.3598442E+00   4.5300087E-01
   7.2524530E-01  -1.6479161E-02  -4.4132209E+00   4.5623034E-01
   7.2815514E-01   6.7697507E-03  -4.4778299E+00   4.5198855E-01
   7.3205155E-01  -2.8324138E-02  -4.5755930E+00   4.5925993E-01
   7.3493290E-01  -1.5592193E-02  -4.6500664E+00   4.5974052E-01
   7.3868752E-01  -1.4146745E-02  -4.7314749E+00   4.5714208E-01
   7.4152565E-01  -2.4005786E-02  -4.7818336E+00   4.6209964E-01
   7.4526089E-01  -1.4037019E-02  -4.8904438E+00   4.6658534E-01
   7.4814683E-01   1.8301358E-02  -4.9781590E+00   4.6643871E-01
   7.5189346E-01  -7.3529594E-03  -5.0433989E+00   4.7104180E-01
   7.5474840E-01  -1.0385934E-03  -5.1063147E+00   4.7574788E-01
   7.5858635E-01   3.9646914E-03  -5.2143159E+00   4.8659948E-01
   7.6147306E-01  -1.3745666E-02  -5.2731524E+00   4.9501520E-01
   7.6535881E-01  -7.3047196E-03  -5.3262072E+00   4.9675310E-01
   7.6815158E-01  -1.2806161E-02  -5.3889880E+00   4.9918786E-01
   7.7149165E-01   7.8236097E-03  -5.4603996E+00   5.1027095E-01
   7.7530658E-01   2.9143961E-02  -5.5286894E+00   5.0794667E-01
   7.7839071E-01   5.8150291E-03  -5.5986848E+00   5.2285904E-01
   7.8172362E-01   5.4094288E-04  -5.6111379E+00   5.1853096E-01
   7.8538364E-01   1.9245392E-02  -5.7097516E+00   5.2508765E-01
   7.8838652E-01  -9.6711144E-03  -5.7484593E+00   5.3114986E-01
   7.9199952E-01   9.2389816E-03  -5.8431849E+00   5.3834766E-01
   7.9521161E-01   1.8414022E-02  -5.8923426E+00   5.4553193E-01
   7.9810953E-01   2.0678543E-02  -5.9219203E+00   5.4657781E-01
   8.0147970E-01  -1.5221365E-02  -5.9626765E+00   5.5916947E-01
   8.0496037E-01   2.5035366E-03  -6.0324607E+00   5.6359273E-01
   8.0818921E-01  -8.5831573E-03  -6.0786848E+00   5.6232655E-01
   8.1169605E-01  -4.0275615E-02  -6.1427951E+00   5.6253415E-01
   8.1546170E-01   9.5350118E-03  -6.1684699E+00   5.7472461E-01
   8.1879699E-01  -1.7774945E-02  -6.2242193E+00   5.7223785E-01
