  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:50:49  02/28/2024 rjju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      944      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.3921866E-01   1.0918820E-02  -1.5398196E+00   1.8416218E+00
   5.4147846E-01   1.2333335E-02  -1.5858206E+00   1.8415519E+00
   5.4337609E-01   5.3130751E-03  -1.6443094E+00   1.8415349E+00
   5.4439664E-01   6.8973983E-03  -1.6508485E+00   1.8415259E+00
   5.4659343E-01   7.6168599E-03  -1.8199129E+00   1.8412346E+00
   5.4777485E-01   2.9990254E-03  -1.8496991E+00   1.8410455E+00
   5.5031788E-01   4.8503047E-03  -1.8610579E+00   1.8407463E+00
   5.5134279E-01   7.5773173E-03  -1.8715167E+00   1.8407108E+00
   5.5354905E-01   1.3855394E-02  -1.9344755E+00   1.8405252E+00
   5.5473554E-01   1.0609326E-02  -2.0172915E+00   1.8402421E+00
   5.5728948E-01   2.7564338E-03  -2.1168406E+00   1.8396769E+00
   5.5860859E-01  -5.2193552E-03  -2.1883533E+00   1.8392673E+00
   5.5999362E-01   2.0942001E-03  -2.2299671E+00   1.8389621E+00
   5.6144792E-01  -1.0574283E-03  -2.2825720E+00   1.8387161E+00
   5.6392485E-01   1.3033537E-02  -2.3536370E+00   1.8383863E+00
   5.6525695E-01   7.0904871E-03  -2.3769472E+00   1.8382223E+00
   5.6665564E-01   9.2355479E-03  -2.4320273E+00   1.8379699E+00
   5.6812292E-01  -1.7969406E-03  -2.4914310E+00   1.8377697E+00
   5.7057047E-01   5.2444491E-04  -2.6013074E+00   1.8371133E+00
   5.7188678E-01   5.3089736E-03  -2.6139786E+00   1.8368480E+00
   5.7472008E-01   8.2969517E-03  -2.7190719E+00   1.8360891E+00
   5.7624388E-01   2.8852636E-03  -2.7646086E+00   1.8358371E+00
   5.7779765E-01  -9.8965708E-03  -2.7674587E+00   1.8353796E+00
   5.7932931E-01  -1.7408313E-03  -2.8170013E+00   1.8350424E+00
   5.8084178E-01   1.4933801E-03  -2.8499119E+00   1.8347813E+00
   5.8232898E-01   1.0302110E-03  -2.9578004E+00   1.8343960E+00
   5.8373207E-01   6.8950555E-03  -3.0183070E+00   1.8341341E+00
   5.8658582E-01  -1.6430756E-03  -3.0670731E+00   1.8335719E+00
   5.8800226E-01   4.1908193E-03  -3.1579905E+00   1.8331590E+00
   5.8939964E-01   6.3962056E-03  -3.2405534E+00   1.8329054E+00
   5.9078592E-01   4.2583575E-03  -3.2685394E+00   1.8326353E+00
   5.9216613E-01  -1.5365017E-03  -3.3081558E+00   1.8324027E+00
   5.9488589E-01  -1.1350880E-02  -3.4074378E+00   1.8319736E+00
   5.9622717E-01   6.6275727E-03  -3.4766650E+00   1.8317208E+00
   5.9756112E-01  -4.0596901E-03  -3.5022101E+00   1.8314407E+00
   6.0020500E-01  -3.2362030E-03  -3.5490065E+00   1.8308954E+00
   6.0150641E-01  -7.7684678E-04  -3.6207204E+00   1.8306434E+00
   6.0280079E-01  -5.9928768E-03  -3.6912613E+00   1.8304162E+00
   6.0537916E-01  -1.6857694E-03  -3.7433906E+00   1.8300271E+00
   6.0664922E-01   2.0733420E-03  -3.7765291E+00   1.8298322E+00
   6.0792285E-01   1.8718954E-03  -3.8288081E+00   1.8295431E+00
   6.1051440E-01   1.5785582E-03  -3.9492064E+00   1.8290871E+00
   6.1181194E-01  -1.9286325E-03  -3.9803884E+00   1.8289269E+00
   6.1309719E-01  -4.1360329E-03  -3.9848862E+00   1.8287624E+00
   6.1565393E-01  -9.8029040E-03  -4.1029263E+00   1.8283606E+00
   6.1693722E-01  -9.0205930E-03  -4.1607280E+00   1.8281933E+00
   6.1821961E-01   7.9050176E-03  -4.1839843E+00   1.8280066E+00
   6.2075883E-01  -3.3045136E-03  -4.2176132E+00   1.8277152E+00
   6.2201732E-01  -4.4038417E-03  -4.2990103E+00   1.8275939E+00
   6.2327135E-01  -9.7782984E-03  -4.3634963E+00   1.8274628E+00
   6.2576306E-01  -3.5035110E-03  -4.4111662E+00   1.8272847E+00
   6.2699658E-01  -5.3429035E-03  -4.4231377E+00   1.8271548E+00
   6.2821811E-01  -1.7533236E-03  -4.4524827E+00   1.8271112E+00
   6.3062018E-01   1.0244825E-03  -4.6001348E+00   1.8268678E+00
   6.3180065E-01  -6.5418420E-04  -4.6242943E+00   1.8266696E+00
   6.3414282E-01  -4.3039820E-03  -4.6858768E+00   1.8264227E+00
   6.3537133E-01  -7.8910179E-03  -4.7117414E+00   1.8262712E+00
   6.3790369E-01  -3.8138479E-03  -4.8528666E+00   1.8261107E+00
   6.3915008E-01  -8.5771177E-03  -4.8641844E+00   1.8260916E+00
   6.4040726E-01  -1.1215849E-02  -4.8833199E+00   1.8260908E+00
   6.4284295E-01  -2.0204999E-03  -4.9028850E+00   1.8260761E+00
   6.4409137E-01  -4.9173119E-03  -4.9705896E+00   1.8259846E+00
   6.4533657E-01  -2.3807546E-03  -5.0077467E+00   1.8258941E+00
   6.4779878E-01  -9.2262570E-03  -5.1310568E+00   1.8257022E+00
   6.4902109E-01  -1.5939659E-02  -5.1373043E+00   1.8256416E+00
   6.5141612E-01  -4.8807496E-03  -5.1939797E+00   1.8255030E+00
   6.5260535E-01  -7.8576971E-03  -5.2392516E+00   1.8254161E+00
   6.5497577E-01  -9.0790084E-03  -5.3132410E+00   1.8252511E+00
   6.5615481E-01  -9.2039146E-03  -5.3197513E+00   1.8252250E+00
   6.5733504E-01  -1.2982987E-02  -5.3354964E+00   1.8251362E+00
   6.5970951E-01  -7.2471192E-03  -5.3573666E+00   1.8250544E+00
   6.6091084E-01  -8.4547438E-03  -5.4341650E+00   1.8249581E+00
   6.6335887E-01  -2.9488506E-03  -5.5781636E+00   1.8247728E+00
   6.6457939E-01  -4.7431383E-03  -5.5794706E+00   1.8247026E+00
   6.6697985E-01  -7.8603197E-03  -5.5880337E+00   1.8246642E+00
   6.6816229E-01  -7.1943090E-03  -5.5573106E+00   1.8246418E+00
   6.6938436E-01  -8.9165000E-03  -5.6571255E+00   1.8245423E+00
   6.7181891E-01  -1.8125515E-03  -5.7747636E+00   1.8243570E+00
   6.7302001E-01  -7.4796705E-03  -5.8129792E+00   1.8243389E+00
   6.7533374E-01  -6.4995908E-03  -5.8338861E+00   1.8244087E+00
   6.7640322E-01  -6.8946024E-03  -5.8544655E+00   1.8244153E+00
   6.7851347E-01  -1.5733555E-02  -5.8435345E+00   1.8244092E+00
   6.8051380E-01  -2.9991954E-03  -5.9400892E+00   1.8243539E+00
   6.8158960E-01  -2.9791195E-03  -5.9923482E+00   1.8243009E+00
   6.8385476E-01  -7.5016478E-03  -6.1134005E+00   1.8243399E+00
   6.8492645E-01  -7.1953642E-03  -6.0969348E+00   1.8243622E+00
   6.8697244E-01  -3.3728771E-03  -6.1108966E+00   1.8244076E+00
   6.8902194E-01  -8.1237806E-03  -6.1193986E+00   1.8242488E+00
   6.9012421E-01  -9.6670594E-03  -6.1735439E+00   1.8242223E+00
   6.9242299E-01  -1.3549535E-02  -6.2204227E+00   1.8243788E+00
   6.9356155E-01   5.9372499E-03  -6.2621584E+00   1.8245872E+00
   6.9566244E-01  -4.3204008E-03  -6.2653322E+00   1.8248981E+00
   6.9767368E-01   3.2271016E-03  -6.2814665E+00   1.8249707E+00
   6.9867134E-01   1.8449203E-03  -6.2850132E+00   1.8249527E+00
   7.0071596E-01  -1.3366063E-02  -6.2941861E+00   1.8248763E+00
   7.0296240E-01  -3.3022573E-03  -6.4539542E+00   1.8248132E+00
   7.0410258E-01  -3.0787822E-03  -6.4463286E+00   1.8248304E+00
