  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:55:35  02/28/2024 tcgi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.8212383E-01  -2.8862397E-03   5.1507320E+00   1.2624137E+00
   3.8374805E-01   4.3192003E-03   5.1364536E+00   1.2620200E+00
   3.8541034E-01  -6.6667533E-04   5.0728941E+00   1.2524835E+00
   3.8706940E-01   5.2039297E-03   5.0129600E+00   1.2517643E+00
   3.8872594E-01   1.4723160E-02   4.9966879E+00   1.2464229E+00
   3.9038098E-01   3.7255331E-03   4.9752922E+00   1.2450863E+00
   3.9203420E-01  -3.2260510E-04   4.9589019E+00   1.2421545E+00
   3.9368612E-01   4.5885798E-03   4.9492712E+00   1.2357405E+00
   3.9617008E-01   6.5018819E-03   4.8549147E+00   1.2346700E+00
   3.9783016E-01  -4.2911104E-04   4.7582145E+00   1.2323569E+00
   3.9948624E-01   4.3922402E-03   4.7489986E+00   1.2296120E+00
   4.0114245E-01   6.3090404E-03   4.7387419E+00   1.2277708E+00
   4.0279937E-01   3.4409729E-03   4.7349811E+00   1.2239249E+00
   4.0447173E-01   6.9125094E-03   4.6819286E+00   1.2246839E+00
   4.0613449E-01   2.8187176E-03   4.6482215E+00   1.2215345E+00
   4.0779644E-01   2.1721206E-03   4.5870662E+00   1.2200497E+00
   4.0946007E-01   2.7472980E-03   4.4979768E+00   1.2170399E+00
   4.1112444E-01  -2.3998863E-03   4.4739347E+00   1.2165899E+00
   4.1279307E-01   1.0314394E-02   4.4452400E+00   1.2133819E+00
   4.1446075E-01   9.1294292E-03   4.4222503E+00   1.2117224E+00
   4.1613016E-01   5.8510783E-03   4.3890710E+00   1.2095133E+00
   4.1780290E-01   4.5838822E-03   4.3128843E+00   1.2072166E+00
   4.1948122E-01   1.0024394E-02   4.2645822E+00   1.2074479E+00
   4.2116198E-01   1.3302805E-02   4.2265878E+00   1.2054163E+00
   4.2284617E-01   1.2630714E-03   4.2034869E+00   1.2046018E+00
   4.2453673E-01   6.2488555E-03   4.1746397E+00   1.2020317E+00
   4.2623466E-01   1.0240193E-02   4.1209540E+00   1.2003572E+00
   4.2794108E-01   1.1761792E-02   4.0663486E+00   1.1991023E+00
   4.2965648E-01   6.0571171E-03   4.0005865E+00   1.1968583E+00
   4.3138158E-01   1.0458243E-02   3.9412708E+00   1.1925447E+00
   4.3311694E-01   1.5495743E-02   3.8941996E+00   1.1925446E+00
   4.3486270E-01   1.1914373E-02   3.8210888E+00   1.1886667E+00
   4.3661991E-01   9.0553164E-03   3.7937362E+00   1.1928769E+00
   4.3838564E-01   1.3705554E-02   3.7608993E+00   1.1883019E+00
   4.4013861E-01   1.7627789E-02   3.7181871E+00   1.1869024E+00
   4.4187722E-01   1.2411542E-02   3.6317909E+00   1.1827056E+00
   4.4360313E-01   1.3991073E-02   3.5963714E+00   1.1850561E+00
   4.4531789E-01   8.4577017E-03   3.5359764E+00   1.1825567E+00
   4.4702271E-01   1.8201582E-02   3.4931235E+00   1.1812563E+00
   4.4871825E-01   1.6178614E-02   3.4668849E+00   1.1801660E+00
   4.5040521E-01   1.5275775E-02   3.4340558E+00   1.1802167E+00
   4.5208409E-01   1.4712534E-02   3.3927774E+00   1.1782033E+00
   4.5372403E-01   2.1705791E-02   3.3020184E+00   1.1763178E+00
   4.5537317E-01   9.9847075E-03   3.2614408E+00   1.1753366E+00
   4.5779690E-01   1.2653952E-02   3.2084258E+00   1.1731050E+00
   4.5944142E-01   5.1653005E-02   3.1750607E+00   1.1725018E+00
   4.6106562E-01   1.0810575E-02   3.1045084E+00   1.1702154E+00
   4.6264458E-01  -5.5714685E-04   2.9861746E+00   1.1700870E+00
   4.6418458E-01   3.7273515E-02   2.9444442E+00   1.1672571E+00
   4.6569169E-01   1.6124576E-03   2.8832195E+00   1.1644536E+00
   4.6792758E-01   4.5462558E-03   2.8232372E+00   1.1661718E+00
   4.6941516E-01   1.4926227E-02   2.7975056E+00   1.1651343E+00
   4.7088224E-01   2.2271512E-02   2.7318585E+00   1.1610829E+00
   4.7305769E-01  -6.8365552E-02   2.6148317E+00   1.1597410E+00
   4.7449735E-01  -2.0310091E-02   2.5226257E+00   1.1618086E+00
   4.7664791E-01   8.0269255E-02   2.3989418E+00   1.1651655E+00
   4.7807944E-01   1.9830400E-03   2.3644710E+00   1.1599251E+00
   4.7951165E-01   2.0422079E-02   2.3283498E+00   1.1605446E+00
   4.8166788E-01   6.6434313E-03   2.2356508E+00   1.1591228E+00
   4.8314178E-01   1.3741283E-02   2.2251499E+00   1.1582770E+00
   4.8463380E-01   1.4172223E-02   2.1404133E+00   1.1580034E+00
   4.8690224E-01   1.9896557E-03   1.9798484E+00   1.1568002E+00
   4.8843575E-01   1.7554650E-02   1.8924844E+00   1.1578654E+00
   4.8998681E-01   1.9233445E-02   1.8386688E+00   1.1572288E+00
   4.9155685E-01   9.2265364E-03   1.7844837E+00   1.1572757E+00
   4.9314499E-01   4.6201916E-03   1.7513676E+00   1.1555135E+00
   4.9555942E-01   7.5967507E-03   1.6455190E+00   1.1544356E+00
   4.9724290E-01  -3.3973332E-03   1.5736804E+00   1.1579785E+00
   4.9895710E-01   1.0878209E-03   1.5076346E+00   1.1530470E+00
   5.0063419E-01   3.7715677E-02   1.3782644E+00   1.1583562E+00
   5.0234056E-01   3.8680993E-03   1.3142974E+00   1.1524812E+00
   5.0410885E-01   2.5252735E-02   1.2603245E+00   1.1561785E+00
   5.0499982E-01   2.1163100E-02   1.2314721E+00   1.1586590E+00
   5.0679553E-01  -1.2975691E-02   1.1627135E+00   1.1568637E+00
   5.0860935E-01   7.8921365E-03   1.0845414E+00   1.1528779E+00
   5.1045471E-01   8.5005714E-03   1.0114220E+00   1.1582586E+00
   5.1233852E-01   2.4526864E-02   8.8509530E-01   1.1577388E+00
   5.1426274E-01  -3.4191669E-03   8.2228398E-01   1.1579930E+00
   5.1524103E-01   6.6797757E-03   7.8937346E-01   1.1577064E+00
   5.1723224E-01   1.1766291E-03   6.9225568E-01   1.1572773E+00
   5.1927060E-01  -5.6092982E-04   5.5354500E-01   1.1581647E+00
   5.2135891E-01   1.9363023E-02   5.0566536E-01   1.1575952E+00
