  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   10:58:26  02/29/2024 ntjb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      977      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.7590741E-01  -1.0190864E-04  -1.9331139E+00   1.8547425E+00
   5.8206785E-01   5.1943940E-04  -1.9162734E+00   1.8549119E+00
   5.8610892E-01  -6.1489665E-04  -1.9015195E+00   1.8549910E+00
   5.9200901E-01   4.0918085E-04  -1.8225412E+00   1.8550698E+00
   5.9589785E-01  -2.9193418E-04  -1.8658687E+00   1.8551173E+00
   6.0127956E-01   6.9979078E-04  -1.8616321E+00   1.8552626E+00
   6.0674322E-01   7.8504987E-04  -1.8268003E+00   1.8552282E+00
   6.1170173E-01   2.2970971E-03  -1.6945961E+00   1.8531415E+00
   6.1625642E-01   1.3298481E-03  -1.8002180E+00   1.8536615E+00
   6.2072438E-01   3.1762110E-04  -1.6107522E+00   1.8524697E+00
   6.2578458E-01  -1.0033246E-04  -1.7126399E+00   1.8527961E+00
   6.3127083E-01   1.0936857E-03  -1.6546094E+00   1.8540297E+00
   6.3538963E-01   9.5739169E-04  -1.5947521E+00   1.8542236E+00
   6.4015764E-01   1.0615408E-03  -1.5364816E+00   1.8536043E+00
   6.4567721E-01  -4.0806379E-04  -1.4992502E+00   1.8533401E+00
   6.4983225E-01   2.8345583E-04  -1.4742157E+00   1.8533695E+00
   6.5663987E-01   3.6808272E-04  -1.4297714E+00   1.8538047E+00
   6.6095340E-01   4.7281614E-04  -1.3832250E+00   1.8541920E+00
   6.6510886E-01  -7.9165424E-05  -1.3070062E+00   1.8546515E+00
   6.7145807E-01   5.7676568E-04  -1.3091488E+00   1.8544399E+00
   6.7594808E-01   4.5510678E-04  -1.2927041E+00   1.8543988E+00
   6.8054044E-01   4.7971372E-04  -1.2467760E+00   1.8543282E+00
   6.8499595E-01   5.1656098E-04  -1.1568704E+00   1.8540148E+00
   6.8929422E-01   5.4390292E-04  -1.1092889E+00   1.8537503E+00
   6.9565547E-01   3.0934854E-04  -1.0614355E+00   1.8534086E+00
   6.9945037E-01   5.3836592E-04  -1.0315537E+00   1.8532013E+00
   7.0568484E-01   4.8690665E-04  -9.7378492E-01   1.8529488E+00
   7.0974267E-01   1.2355628E-04  -9.4572097E-01   1.8528274E+00
   7.1563041E-01   3.6644019E-04  -8.8453031E-01   1.8525801E+00
   7.1942765E-01  -4.3430222E-07  -8.5508865E-01   1.8524640E+00
   7.2519898E-01   9.9256475E-05  -8.1517565E-01   1.8523387E+00
   7.2922546E-01   1.1497061E-04  -7.8454340E-01   1.8523101E+00
