  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:04:20  02/29/2024 tjbn     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.2281076E-01  -1.0744396E-03  -1.2721680E+00  -3.7340555E-01
   5.2838343E-01   9.1045303E-04  -1.2461548E+00  -3.7131780E-01
   5.3197610E-01   7.7493361E-04  -1.2339162E+00  -3.7092215E-01
   5.3729528E-01  -1.4220084E-04  -1.2268221E+00  -3.7029222E-01
   5.4269743E-01   4.4580072E-04  -1.2194076E+00  -3.6957943E-01
   5.4642451E-01   9.8345301E-04  -1.2134504E+00  -3.6972240E-01
   5.5211830E-01   5.1950075E-04  -1.1927681E+00  -3.6868122E-01
   5.5782336E-01   8.7548431E-04  -1.1758198E+00  -3.6785075E-01
   5.6141222E-01   8.0889382E-04  -1.1673319E+00  -3.6733091E-01
   5.6638336E-01   8.3322625E-04  -1.1479434E+00  -3.6677310E-01
   5.7245541E-01   2.8829020E-04  -1.1329432E+00  -3.6532131E-01
   5.7670242E-01   1.6279006E-03  -1.1289759E+00  -3.6521137E-01
   5.8205831E-01   8.9390215E-04  -1.1160668E+00  -3.6447293E-01
   5.8713931E-01   1.6570896E-04  -1.0974957E+00  -3.6311036E-01
   5.9200352E-01   4.2325785E-04  -1.0827204E+00  -3.6206821E-01
   5.9669244E-01   6.8446732E-04  -1.0715101E+00  -3.6177298E-01
   6.0124677E-01   2.8703921E-04  -1.0604101E+00  -3.6078021E-01
   6.0683328E-01  -2.6769210E-03  -1.0463470E+00  -3.6003083E-01
   6.1185247E-01  -5.8722973E-04  -1.0348570E+00  -3.5915640E-01
   6.1620647E-01  -5.8950151E-05  -1.0250279E+00  -3.5864431E-01
   6.2054390E-01   6.2684697E-04  -1.0109105E+00  -3.5783997E-01
   6.2620819E-01  -1.9726501E-04  -9.9178189E-01  -3.5662699E-01
   6.3124722E-01  -4.3366489E-04  -9.7356737E-01  -3.5583973E-01
   6.3581717E-01   1.8398087E-04  -9.7664636E-01  -3.5566649E-01
   6.4090985E-01   1.5751790E-04  -9.4881856E-01  -3.5393226E-01
   6.4552379E-01   6.7099655E-04  -9.4469827E-01  -3.5365960E-01
   6.5109718E-01   4.0221820E-04  -9.2664361E-01  -3.5227230E-01
   6.5634727E-01   3.1965578E-03  -8.9396471E-01  -3.5092968E-01
   6.6049564E-01  -4.0480500E-04  -8.9207548E-01  -3.5142410E-01
   6.6608399E-01  -4.0848140E-04  -8.9181727E-01  -3.5079351E-01
   6.7046422E-01   1.8083227E-04  -8.6234981E-01  -3.5005987E-01
   6.7563272E-01   3.5627815E-03  -8.5912293E-01  -3.4978822E-01
   6.7990470E-01   3.1683461E-03  -8.5250151E-01  -3.4955591E-01
   6.8460000E-01   6.7230273E-04  -8.3889735E-01  -3.4898436E-01
   6.9087839E-01   1.7134933E-03  -8.1648135E-01  -3.4876969E-01
   6.9553518E-01  -1.5420746E-03  -7.9695851E-01  -3.4747046E-01
   7.0014071E-01   1.8741651E-03  -7.7805954E-01  -3.4676552E-01
   7.0474231E-01  -5.5343093E-04  -7.7819115E-01  -3.4642470E-01
   7.0936072E-01  -4.6069516E-04  -7.6364899E-01  -3.4684497E-01
   7.1560180E-01   1.3307643E-03  -7.5165063E-01  -3.4560040E-01
   7.2036612E-01   2.9428236E-03  -7.3502570E-01  -3.4420586E-01
   7.2527993E-01  -2.2676000E-03  -7.1500182E-01  -3.4378186E-01
   7.2891563E-01   2.3929225E-03  -7.1030688E-01  -3.4342244E-01
   7.3448646E-01   1.3877857E-04  -6.9313204E-01  -3.4317380E-01
