  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:03:08  03/05/2024 rjju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   7.7209604E-01  -1.4462033E-03  -6.9029408E+00   1.1647207E+00
   7.7510613E-01  -2.7701711E-02  -7.0086999E+00   1.1637669E+00
   7.7846444E-01  -3.7136786E-02  -7.0376883E+00   1.1695131E+00
   7.8206968E-01  -2.1228999E-02  -7.1970167E+00   1.1676098E+00
   7.8540516E-01  -6.6500708E-02  -7.1944366E+00   1.1693666E+00
   7.8798640E-01  -6.3526087E-02  -7.2559886E+00   1.1716008E+00
   7.9150128E-01  -1.8675342E-02  -7.4129086E+00   1.1724807E+00
   7.9509073E-01  -2.6934275E-02  -7.4797163E+00   1.1718546E+00
   7.9834551E-01  -7.5710408E-02  -7.5340047E+00   1.1695155E+00
   8.0205190E-01  -7.0944213E-04  -7.6275392E+00   1.1702991E+00
   8.0509204E-01  -2.9928867E-02  -7.6186118E+00   1.1731813E+00
   8.0866915E-01  -4.6200406E-02  -7.6959291E+00   1.1715745E+00
   8.1158674E-01  -4.1618124E-02  -7.7598886E+00   1.1706903E+00
   8.1535113E-01  -1.7002504E-02  -7.9058070E+00   1.1709272E+00
   8.1849957E-01  -2.6657900E-02  -7.9051108E+00   1.1692493E+00
   8.2143050E-01  -3.9632838E-02  -7.9549618E+00   1.1666924E+00
   8.2511514E-01   6.3449100E-02  -7.9661479E+00   1.1604025E+00
   8.2818896E-01  -2.3341496E-02  -8.1009407E+00   1.1576810E+00
   8.3207852E-01  -1.8327283E-02  -8.1124945E+00   1.1519793E+00
   8.3495575E-01   4.0381465E-02  -8.1314640E+00   1.1462892E+00
   8.3854640E-01   2.1129889E-02  -8.2041292E+00   1.1429728E+00
   8.4160924E-01  -3.7325226E-02  -8.2362452E+00   1.1436082E+00
   8.4490198E-01   7.2825318E-03  -8.2452765E+00   1.1438086E+00
   8.4836721E-01  -1.1691401E-01  -8.3083677E+00   1.1445633E+00
   8.5172665E-01  -4.0022790E-02  -8.3173504E+00   1.1410619E+00
   8.5524529E-01  -8.3913682E-03  -8.3033247E+00   1.1421194E+00
   8.5864258E-01   2.3267597E-03  -8.3046675E+00   1.1426281E+00
   8.6203825E-01   8.5395025E-03  -8.3136883E+00   1.1415526E+00
   8.6547548E-01  -1.5124171E-02  -8.3759222E+00   1.1358480E+00
   8.6827743E-01  -9.3483413E-03  -8.3514214E+00   1.1369867E+00
   8.7188113E-01  -5.2433931E-03  -8.3493166E+00   1.1448468E+00
   8.7561786E-01  -2.6996728E-02  -8.3624220E+00   1.1398536E+00
   8.7859517E-01  -4.6594631E-02  -8.2983084E+00   1.1439419E+00
   8.8220441E-01  -3.0093258E-02  -8.3512278E+00   1.1422876E+00
   8.8527286E-01  -2.9994727E-03  -8.3746777E+00   1.1491300E+00
   8.8861340E-01  -1.8923145E-02  -8.3715124E+00   1.1542873E+00
   8.9168996E-01  -6.5657981E-03  -8.3902760E+00   1.1535481E+00
   8.9540112E-01   4.5447652E-03  -8.3626938E+00   1.1579069E+00
   8.9852387E-01   1.1740674E-02  -8.3081245E+00   1.1594913E+00
   9.0216190E-01  -2.7104182E-02  -8.3535872E+00   1.1606420E+00
   9.0503949E-01  -2.3121154E-02  -8.3677893E+00   1.1629232E+00
   9.0897447E-01   1.7607571E-03  -8.3046799E+00   1.1639255E+00
   9.1192871E-01  -2.9476039E-02  -8.3456011E+00   1.1621617E+00
   9.1487819E-01  -6.5863445E-02  -8.3084736E+00   1.1595238E+00
   9.1880286E-01   3.2016411E-02  -8.3039999E+00   1.1659442E+00
   9.2174596E-01  -1.9021699E-02  -8.2949200E+00   1.1670177E+00
   9.2528158E-01  -1.9758493E-02  -8.1834946E+00   1.1684279E+00
   9.2882836E-01   1.6479163E-03  -8.2561779E+00   1.1713177E+00
   9.3239719E-01  -8.6140640E-02  -8.1132631E+00   1.1703793E+00
   9.3531710E-01  -7.2129834E-03  -8.2276945E+00   1.1751171E+00
   9.3900955E-01  -3.7135806E-02  -8.0550270E+00   1.1730890E+00
   9.4195110E-01  -2.9224379E-02  -8.1547575E+00   1.1732945E+00
   9.4587421E-01  -8.3197225E-03  -8.1660423E+00   1.1786449E+00
   9.4882041E-01   9.4008017E-03  -8.1416206E+00   1.1783051E+00
   9.5177162E-01   1.4749098E-02  -8.1235514E+00   1.1764328E+00
   9.5536071E-01  -2.5736350E-03  -8.0651512E+00   1.1769543E+00
   9.5894271E-01  -2.2836132E-02  -8.0014334E+00   1.1791358E+00
   9.6207011E-01  -1.5294525E-02  -8.0997438E+00   1.1834396E+00
   9.6510994E-01   5.7631396E-02  -7.9696584E+00   1.1800951E+00
   9.6875167E-01   1.5352353E-02  -7.9026403E+00   1.1714523E+00
   9.7246128E-01  -1.8155769E-02  -7.9521751E+00   1.1779404E+00
   9.7514462E-01   5.5843238E-02  -7.8885145E+00   1.1831836E+00
   9.7845894E-01   1.7814659E-02  -7.8471651E+00   1.1765401E+00
   9.8232269E-01   4.0420216E-02  -7.8778830E+00   1.1860275E+00
   9.8529041E-01  -6.6533439E-02  -7.7998538E+00   1.1876172E+00
   9.8893255E-01   4.5349471E-02  -7.7504635E+00   1.1881928E+00
   9.9199164E-01  -2.0991644E-02  -7.7197485E+00   1.1877300E+00
   9.9589312E-01   4.3617021E-03  -7.7204552E+00   1.1905347E+00
   9.9922395E-01   3.6350343E-02  -7.6970234E+00   1.1867813E+00
   1.0020586E+00   2.8200859E-02  -7.6295691E+00   1.1862912E+00
   1.0058904E+00   8.5272798E-03  -7.5890965E+00   1.1831899E+00
   1.0084467E+00  -1.1500561E-03  -7.6053901E+00   1.1842086E+00
   1.0124111E+00   2.1873826E-02  -7.5637946E+00   1.1831381E+00
   1.0154710E+00   1.4830542E-02  -7.5064125E+00   1.1857055E+00
   1.0185325E+00   1.2067203E-02  -7.4075656E+00   1.1849965E+00
   1.0226164E+00   8.8855661E-03  -7.3907809E+00   1.1848704E+00
   1.0253459E+00  -1.2774775E-02  -7.3058395E+00   1.1851474E+00
   1.0286433E+00   2.2435465E-03  -7.3031769E+00   1.1822782E+00
   1.0320578E+00   1.1335887E-02  -7.3371091E+00   1.1768017E+00
   1.0354050E+00   3.9403643E-03  -7.1661448E+00   1.1832614E+00
   1.0390373E+00   1.1164303E-02  -7.1559615E+00   1.1822695E+00
   1.0419886E+00   5.2726146E-02  -7.1338520E+00   1.1813445E+00
   1.0460018E+00   2.0745166E-03  -6.9700441E+00   1.1845123E+00
   1.0490886E+00   3.0147102E-02  -7.0113697E+00   1.1719047E+00
   1.0521882E+00   1.8979261E-02  -6.9689341E+00   1.1766440E+00
   1.0560617E+00   1.9435724E-02  -6.9461064E+00   1.1644486E+00
   1.0589240E+00   1.0811672E-02  -6.8835225E+00   1.1691750E+00
   1.0627953E+00   2.2766707E-02  -6.8284125E+00   1.1788468E+00
   1.0657661E+00   3.1088606E-02  -6.7534423E+00   1.1728079E+00
   1.0688422E+00   2.3217607E-02  -6.7465396E+00   1.1740378E+00
   1.0719258E+00   2.2813471E-02  -6.7154860E+00   1.1668460E+00
   1.0760393E+00   1.7537896E-02  -6.6298165E+00   1.1750088E+00
   1.0791241E+00   8.2379291E-03  -6.5646515E+00   1.1749500E+00
   1.0822058E+00   1.8916793E-02  -6.5382924E+00   1.1730824E+00
   1.0852320E+00   2.4805151E-02  -6.5101476E+00   1.1801286E+00
   1.0892714E+00   2.5216548E-02  -6.4122539E+00   1.1755100E+00
   1.0925360E+00   2.6139338E-02  -6.3766980E+00   1.1753197E+00
   1.0954992E+00   1.7797716E-02  -6.2893248E+00   1.1811507E+00
   1.0989826E+00   8.2295522E-02  -6.4055882E+00   1.1848785E+00
   1.1027746E+00   2.5568489E-02  -6.1934848E+00   1.1823869E+00
   1.1055359E+00   4.7030181E-02  -6.1774616E+00   1.1833136E+00
   1.1092479E+00   2.9953124E-02  -6.1017814E+00   1.1833746E+00
   1.1121401E+00   1.3387543E-02  -5.9857960E+00   1.1827617E+00
   1.1156222E+00   1.6345078E-02  -5.9687328E+00   1.1874379E+00
   1.1190534E+00   3.2261401E-02  -6.0044007E+00   1.1905500E+00
   1.1224614E+00   2.9195193E-02  -5.9584851E+00   1.1922884E+00
   1.1258575E+00   2.2188533E-02  -5.8741994E+00   1.1928940E+00
   1.1294813E+00   1.4333090E-02  -5.7796712E+00   1.1904219E+00
   1.1322368E+00   2.9425951E-02  -5.6599975E+00   1.1875474E+00
   1.1359431E+00   2.5560321E-02  -5.6823230E+00   1.1891068E+00
   1.1394844E+00   3.7029423E-02  -5.6883698E+00   1.1933186E+00
   1.1422055E+00   3.0292487E-02  -5.6991568E+00   1.1933873E+00
   1.1457258E+00   2.3839284E-02  -5.5602593E+00   1.1953678E+00
   1.1494333E+00   3.0829299E-02  -5.4619622E+00   1.1951867E+00
   1.1522199E+00   3.7588172E-02  -5.4138479E+00   1.1960399E+00
   1.1559354E+00   5.6928340E-03  -5.3985691E+00   1.1980096E+00
   1.1596509E+00   3.0224148E-02  -5.3623228E+00   1.1999509E+00
   1.1624372E+00   2.7461857E-02  -5.3139815E+00   1.2032908E+00
   1.1661456E+00   1.9529659E-02  -5.2397776E+00   1.2020723E+00
   1.1688802E+00   2.2879461E-02  -5.1210804E+00   1.2014505E+00
   1.1725097E+00   2.2128217E-02  -5.1049652E+00   1.2046903E+00
   1.1761389E+00   2.8738223E-02  -5.0971055E+00   1.2059335E+00
