  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:08:43  02/29/2024 cgix     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.2682354E-01   2.2467347E-03  -1.6307365E+00   1.2259613E+00
   6.3105857E-01   2.0490380E-03  -1.6036336E+00   1.2256910E+00
   6.3572776E-01   8.7492372E-04  -1.5882869E+00   1.2254903E+00
   6.4087552E-01   1.6527461E-03  -1.5732380E+00   1.2253182E+00
   6.4655089E-01   5.4383199E-03  -1.5389878E+00   1.2252028E+00
   6.4960313E-01   2.6603485E-03  -1.5239511E+00   1.2251446E+00
   6.5583628E-01   1.8684209E-03  -1.4639553E+00   1.2246799E+00
   6.6210991E-01   1.2268641E-03  -1.4779630E+00   1.2246897E+00
   6.6526204E-01   1.8406168E-03  -1.4740351E+00   1.2248658E+00
   6.7156529E-01   2.0812235E-03  -1.3917571E+00   1.2257470E+00
   6.7470741E-01   1.7198703E-03  -1.3889291E+00   1.2257286E+00
   6.8097389E-01   1.6607513E-03  -1.3822101E+00   1.2257950E+00
   6.8409890E-01   1.3210495E-03  -1.3587558E+00   1.2259468E+00
   6.9033414E-01   1.3208069E-03  -1.3389224E+00   1.2260513E+00
   6.9655132E-01   1.7041679E-03  -1.2591306E+00   1.2260145E+00
   6.9965410E-01   2.0682078E-03  -1.2587136E+00   1.2260044E+00
   7.0584911E-01   1.8090488E-03  -1.2635922E+00   1.2259098E+00
   7.0894176E-01   1.5655743E-03  -1.2614698E+00   1.2259469E+00
   7.1511871E-01   1.9521461E-03  -1.2094009E+00   1.2258618E+00
   7.2128618E-01   1.3020276E-03  -1.1951342E+00   1.2259049E+00
   7.2436690E-01   1.0877691E-03  -1.1804829E+00   1.2260264E+00
   7.3030668E-01   1.6405463E-03  -1.1061040E+00   1.2263638E+00
   7.3510760E-01  -1.4119349E-04  -1.1358213E+00   1.2261759E+00
   7.3995268E-01   4.0252688E-03  -1.1316694E+00   1.2263871E+00
   7.4533027E-01  -8.3526329E-04  -1.0610579E+00   1.2269890E+00
   7.4937844E-01   1.3673935E-03  -1.0419039E+00   1.2270861E+00
   7.5384152E-01   6.6440640E-04  -1.0218272E+00   1.2270601E+00
   7.5876206E-01   2.9547032E-04  -1.0031807E+00   1.2269690E+00
   7.6418692E-01   3.3217986E-04  -9.7364038E-01   1.2268442E+00
   7.6923937E-01   5.6284640E-05  -8.8762617E-01   1.2262751E+00
