  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:27:57  02/22/2024 gpju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      704      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.1150900E+00  -1.6400399E-02   1.6464642E+00   3.8913407E+00
   1.1231509E+00  -1.7052576E-02   1.7017574E+00   3.8921111E+00
   1.1313206E+00  -1.6564308E-02   1.7488189E+00   3.8930163E+00
   1.1395867E+00  -1.6729319E-02   1.7909052E+00   3.8941295E+00
   1.1479234E+00  -1.6360814E-02   1.8258955E+00   3.8954372E+00
   1.1563511E+00  -1.6250096E-02   1.8581934E+00   3.8969300E+00
   1.1648053E+00  -1.5555824E-02   1.8921078E+00   3.8985155E+00
   1.1736823E+00  -1.5090839E-02   1.9213412E+00   3.9000421E+00
   1.1828244E+00  -1.4526094E-02   1.9471936E+00   3.9015980E+00
   1.1919727E+00  -1.3542945E-02   1.9693607E+00   3.9032159E+00
   1.2013354E+00  -1.2752304E-02   1.9864938E+00   3.9048097E+00
   1.2104831E+00  -1.2361011E-02   1.9989486E+00   3.9064052E+00
   1.2198188E+00  -1.2171085E-02   2.0100627E+00   3.9078476E+00
   1.2291217E+00  -1.1252868E-02   2.0245061E+00   3.9092231E+00
   1.2383740E+00  -1.0768393E-02   2.0437093E+00   3.9105067E+00
   1.2475939E+00  -1.0137238E-02   2.0657294E+00   3.9117301E+00
   1.2567917E+00  -9.7354930E-03   2.0889630E+00   3.9128971E+00
   1.2659739E+00  -9.1557996E-03   2.1142561E+00   3.9140749E+00
   1.2751446E+00  -9.1740657E-03   2.1406281E+00   3.9152911E+00
   1.2843066E+00  -8.2436511E-03   2.1729698E+00   3.9165318E+00
   1.2934630E+00  -7.6758782E-03   2.2129078E+00   3.9178340E+00
   1.3026221E+00  -7.9318350E-03   2.2595701E+00   3.9192667E+00
   1.3117737E+00  -7.0259557E-03   2.3147588E+00   3.9208703E+00
   1.3209244E+00  -6.9847801E-03   2.3735619E+00   3.9227135E+00
   1.3300799E+00  -6.2280195E-03   2.4426758E+00   3.9247770E+00
   1.3392408E+00  -5.5204127E-03   2.5088453E+00   3.9270570E+00
   1.3483660E+00  -4.5270585E-03   2.5786929E+00   3.9293594E+00
   1.3577987E+00  -3.6979157E-03   2.6515942E+00   3.9316015E+00
   1.3671895E+00  -2.8687080E-03   2.7395470E+00   3.9342802E+00
   1.3765064E+00  -1.6815074E-03   2.8142540E+00   3.9360971E+00
   1.3857440E+00  -1.3887739E-03   2.9116957E+00   3.9383779E+00
