  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:21:40  02/28/2024 httg     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      993      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.1865779E-01   1.1244614E-02   4.2541442E+00   6.9942838E-01
   3.2015225E-01   1.0757153E-02   4.2570672E+00   6.9816810E-01
   3.2164997E-01   5.7856608E-03   4.2712083E+00   6.9639850E-01
   3.2314044E-01   8.1207957E-03   4.2741470E+00   6.9363290E-01
   3.2609820E-01   4.2360867E-03   4.2971935E+00   6.8939364E-01
   3.2708934E-01   1.2888170E-02   4.3096871E+00   6.8781668E-01
   3.2916522E-01   1.0101316E-02   4.3142858E+00   6.8469530E-01
   3.3028162E-01   8.5000368E-03   4.3140020E+00   6.8437874E-01
   3.3268470E-01   9.2713470E-03   4.3172112E+00   6.8102467E-01
   3.3397707E-01   9.7648473E-03   4.3236623E+00   6.8025094E-01
   3.3553824E-01   1.4709963E-02   4.3330774E+00   6.7851472E-01
   3.3722302E-01   8.7219877E-03   4.3436127E+00   6.7838782E-01
   3.3908048E-01   1.0632452E-02   4.3336062E+00   6.7370707E-01
   3.4112832E-01   7.6479088E-03   4.3372111E+00   6.7367762E-01
   3.4222966E-01   7.5121066E-03   4.3347993E+00   6.7143810E-01
   3.4430954E-01   6.4699491E-03   4.3202891E+00   6.6922092E-01
   3.4629726E-01   1.1985759E-02   4.3273110E+00   6.6529226E-01
   3.4736061E-01   7.9097869E-03   4.3378782E+00   6.6461772E-01
   3.4954566E-01   2.1549888E-02   4.3235946E+00   6.6014463E-01
   3.5178423E-01   6.5409108E-03   4.3257256E+00   6.5697449E-01
   3.5291356E-01   6.1179223E-03   4.3197298E+00   6.5530407E-01
   3.5522488E-01   1.4412189E-02   4.3261805E+00   6.5255040E-01
   3.5641640E-01   9.5404582E-03   4.3228574E+00   6.5131891E-01
   3.5762867E-01   1.3108071E-02   4.3067498E+00   6.4980841E-01
   3.6006433E-01   1.1381629E-02   4.2907434E+00   6.4558876E-01
   3.6127561E-01   1.4697670E-02   4.2926660E+00   6.4396769E-01
   3.6366522E-01   2.8713576E-03   4.2668853E+00   6.3940471E-01
   3.6484402E-01   4.7750864E-03   4.2686019E+00   6.3979065E-01
   3.6718222E-01   1.5511645E-02   4.2545991E+00   6.3485515E-01
   3.6831945E-01   2.0131024E-02   4.2471337E+00   6.3228381E-01
   3.7057817E-01   1.0843946E-02   4.2353020E+00   6.3065696E-01
   3.7170181E-01   1.0572910E-02   4.2290945E+00   6.2650537E-01
   3.7393415E-01   1.0653998E-02   4.2072015E+00   6.2735349E-01
   3.7504226E-01   1.6300775E-02   4.1981692E+00   6.2502629E-01
   3.7724245E-01   9.4034430E-03   4.1897326E+00   6.2382156E-01
   3.7833479E-01   7.0066950E-03   4.1904025E+00   6.2052268E-01
   3.8050467E-01   1.0172196E-02   4.1611981E+00   6.2058431E-01
   3.8158238E-01   1.7749326E-02   4.1300778E+00   6.2233138E-01
