  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:14:29  02/29/2024 qiqb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.932E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.1657780E-01   2.3257453E-03  -1.6066432E+00   6.8310106E-01
   6.2147045E-01   1.9935202E-03  -1.5887345E+00   6.8363929E-01
   6.2624478E-01   2.3466845E-03  -1.5800335E+00   6.8368936E-01
   6.3091892E-01   2.3389561E-03  -1.5715079E+00   6.8369669E-01
   6.3550389E-01   2.6856069E-03  -1.5392584E+00   6.8356180E-01
   6.4153206E-01   3.0443945E-03  -1.5069846E+00   6.8328094E-01
   6.4604610E-01   2.2380431E-03  -1.5299109E+00   6.8341702E-01
   6.5056545E-01   3.1691410E-03  -1.5245005E+00   6.8359452E-01
   6.5510398E-01   1.8681665E-03  -1.4546142E+00   6.8464863E-01
   6.6119277E-01   2.1303189E-03  -1.4398657E+00   6.8535280E-01
   6.6571844E-01   2.0395727E-03  -1.4326295E+00   6.8614495E-01
   6.7010504E-01   2.6375898E-03  -1.4285090E+00   6.8624061E-01
   6.7615807E-01   2.2207233E-03  -1.3760372E+00   6.8610603E-01
   6.8067098E-01   2.8892793E-03  -1.3618408E+00   6.8580347E-01
   6.8515891E-01   2.8351457E-03  -1.3526132E+00   6.8597960E-01
   6.8962616E-01   2.6089775E-03  -1.3591939E+00   6.8609661E-01
   6.9454640E-01   2.2875422E-03  -1.3172128E+00   6.8636328E-01
   7.0002222E-01   1.9558778E-03  -1.3091570E+00   6.8675953E-01
   7.0540977E-01   2.0350858E-03  -1.2651494E+00   6.8695974E-01
   7.0918119E-01   1.9564186E-03  -1.2678576E+00   6.8710005E-01
   7.1501654E-01   2.0859079E-03  -1.2218308E+00   6.8754810E-01
   7.1897215E-01   2.0581684E-03  -1.2237277E+00   6.8793601E-01
