  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   00:10:43  08/26/2023 sogp     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing p, pfxob, pfyob, pfzob, pfob, vmax and others       
       1     1002      0.000E+00      2.280E+01
   time              p_1             pfxob_1         pfyob_1         pfzob_1         pfob_1          vmax_0          vmaxsrf_0
   1.1181241E+00   1.6898289E+03  -9.0038916E-03   9.2785430E-01   5.4397652E-16   9.2789799E-01   1.5528959E-01   1.7601505E-01
   1.1392933E+00   1.7024681E+03  -6.1690789E-03   1.2039610E+00   5.4067537E-16   1.2039769E+00   1.6243383E-01   1.7604852E-01
   1.1628385E+00   1.6998409E+03  -8.3951643E-03   1.1977791E+00   5.4303028E-16   1.1978085E+00   1.7134258E-01   1.8495363E-01
   1.1875012E+00   1.7125576E+03  -4.8662298E-03   1.3862876E+00   5.5340156E-16   1.3862960E+00   1.8075606E-01   1.9419068E-01
   1.2079228E+00   1.7121028E+03  -8.5543571E-03   1.2801377E+00   5.5904471E-16   1.2801661E+00   1.8799394E-01   2.0539764E-01
   1.2317177E+00   1.7299553E+03  -5.6388029E-03   1.4124924E+00   5.6091178E-16   1.4125036E+00   1.9683473E-01   2.1776697E-01
   1.2553260E+00   1.7340291E+03  -2.0946045E-03   1.3096619E+00   5.6464947E-16   1.3096635E+00   2.0564531E-01   2.2627626E-01
   1.2776381E+00   1.7339098E+03  -9.4345110E-03   1.2197686E+00   5.6344505E-16   1.2198051E+00   2.1278091E-01   2.2416012E-01
   1.2995543E+00   1.7490201E+03  -5.1903692E-03   1.3684633E+00   5.5905408E-16   1.3684732E+00   2.1756679E-01   2.2559591E-01
   1.3229964E+00   1.7502915E+03  -6.8672546E-03   1.3882649E+00   5.5958242E-16   1.3882819E+00   2.2331862E-01   2.3165902E-01
   1.3466146E+00   1.7640830E+03  -2.3864484E-03   1.6617144E+00   5.6473937E-16   1.6617162E+00   2.2844516E-01   2.3659249E-01
   1.3678923E+00   1.7714791E+03  -7.1777483E-03   1.7600335E+00   5.6299877E-16   1.7600482E+00   2.3206827E-01   2.3988275E-01
   1.3923106E+00   1.7842822E+03  -6.8356618E-03   2.0633371E+00   5.6013616E-16   2.0633485E+00   2.3496048E-01   2.4224396E-01
   1.4134177E+00   1.7889941E+03   1.6618868E-03   2.4179864E+00   5.7006546E-16   2.4179869E+00   2.3646930E-01   2.4325889E-01
   1.4381447E+00   1.8044224E+03  -2.7552820E-03   2.4715147E+00   5.5154280E-16   2.4715161E+00   2.3814639E-01   2.4342772E-01
   1.4582921E+00   1.8133234E+03  -3.2814059E-03   2.7577772E+00   5.4174639E-16   2.7577794E+00   2.3862074E-01   2.4280459E-01
   1.4821171E+00   1.8254731E+03   2.3282551E-04   2.8387012E+00   5.4286506E-16   2.8387012E+00   2.3810738E-01   2.4209663E-01
   1.5056623E+00   1.8394833E+03   9.8752249E-03   2.8875237E+00   5.4506443E-16   2.8875406E+00   2.3644783E-01   2.4031554E-01
   1.5289519E+00   1.8558051E+03  -5.6877951E-03   3.0888166E+00   5.4270296E-16   3.0888219E+00   2.3373982E-01   2.3751490E-01
   1.5488882E+00   1.8599221E+03   1.0758132E-02   2.9028745E+00   5.5212450E-16   2.9028945E+00   2.3067854E-01   2.3436096E-01
   1.5717778E+00   1.8805587E+03  -4.4549461E-03   2.9367819E+00   5.7512367E-16   2.9367852E+00   2.3489597E-01   2.3775302E-01
   1.5947242E+00   1.8828674E+03   9.4436202E-03   2.8298013E+00   5.6722874E-16   2.8298171E+00   2.3949642E-01   2.4191344E-01
   1.6174550E+00   1.9029274E+03   3.0364180E-02   2.8832779E+00   5.6076371E-16   2.8834379E+00   2.4502037E-01   2.4870475E-01
   1.6407288E+00   1.9117729E+03  -6.6377805E-03   2.9094827E+00   5.6458791E-16   2.9094903E+00   2.5034052E-01   2.5586122E-01
   1.6634760E+00   1.9205537E+03   8.2379924E-03   2.8608379E+00   5.5742518E-16   2.8608499E+00   2.5387970E-01   2.6085126E-01
   1.6858833E+00   1.9321072E+03   5.4614707E-03   2.8732276E+00   5.5549850E-16   2.8732328E+00   2.5559306E-01   2.6491541E-01
   1.7083898E+00   1.9427316E+03   5.6030559E-03   3.0094090E+00   5.6470834E-16   3.0094142E+00   2.5969142E-01   2.7102926E-01
   1.7335511E+00   1.9488358E+03   1.4864384E-03   3.1511042E+00   5.6084905E-16   3.1511047E+00   2.6463521E-01   2.7384901E-01
   1.7556583E+00   1.9679095E+03   1.4863131E-02   3.1635997E+00   5.5661807E-16   3.1636345E+00   2.6875293E-01   2.7433926E-01
   1.7777667E+00   1.9729501E+03   3.9462424E-03   3.3960202E+00   5.5832606E-16   3.3960226E+00   2.7277702E-01   2.7826232E-01
   1.7999068E+00   1.9832666E+03   4.5491350E-03   3.3885145E+00   5.5518399E-16   3.3885176E+00   2.7622464E-01   2.8159916E-01
   1.8252900E+00   1.9975017E+03   1.1444117E-02   3.2748189E+00   5.3329808E-16   3.2748389E+00   2.7929267E-01   2.8446814E-01
   1.8471142E+00   1.9995248E+03   3.1536010E-03   3.3466437E+00   5.3975533E-16   3.3466451E+00   2.8089046E-01   2.8585085E-01
   1.8699538E+00   2.0070970E+03   3.1899938E-03   3.0783925E+00   5.6413697E-16   3.0783942E+00   2.8112686E-01   2.8587759E-01
   1.8939676E+00   2.0100116E+03   3.4955074E-03   3.0180578E+00   5.5464485E-16   3.0180600E+00   2.8100890E-01   2.8506628E-01
   1.9137967E+00   2.0182506E+03  -5.2412581E-03   2.7114165E+00   5.6108283E-16   2.7114217E+00   2.8087360E-01   2.8468379E-01
   1.9365777E+00   2.0188169E+03   4.1334801E-03   2.3841350E+00   5.6892625E-16   2.3841386E+00   2.7990007E-01   2.8359053E-01
   1.9591748E+00   2.0299604E+03  -7.4187471E-03   2.0836406E+00   5.6689761E-16   2.0836537E+00   2.7817637E-01   2.8193253E-01
   1.9819936E+00   2.0213241E+03   9.4396109E-03   1.7163566E+00   5.5982943E-16   1.7163826E+00   2.7532598E-01   2.7885211E-01
   2.0060301E+00   2.0291080E+03  -3.7557723E-03   1.5715430E+00   5.6180969E-16   1.5715475E+00   2.7108449E-01   2.7404729E-01
   2.0287569E+00   2.0259087E+03  -6.7809741E-03   1.5869484E+00   5.6093783E-16   1.5869628E+00   2.6638216E-01   2.6891416E-01
   2.0504956E+00   2.0188130E+03  -7.6651634E-03   1.3411682E+00   5.5946907E-16   1.3411901E+00   2.6175404E-01   2.6429164E-01
   2.0738864E+00   2.0165924E+03  -5.0768023E-03   1.0472211E+00   5.6380969E-16   1.0472333E+00   2.5384507E-01   2.5560474E-01
   2.0976698E+00   2.0119811E+03  -1.0584086E-02   7.7526760E-01   5.6141990E-16   7.7533984E-01   2.5191322E-01   2.4888839E-01
   2.1201320E+00   2.0153765E+03  -7.5738793E-03   9.9367970E-01   5.5864851E-16   9.9370855E-01   2.5223121E-01   2.4948123E-01
   2.1432879E+00   2.0066715E+03  -1.5442215E-02   9.0525734E-01   5.5292781E-16   9.0538907E-01   2.5190607E-01   2.4799432E-01
   2.1645465E+00   1.9988240E+03  -2.0682229E-02   8.3835763E-01   5.4743480E-16   8.3861274E-01   2.5150460E-01   2.5206313E-01
   2.1881425E+00   1.9939681E+03  -9.7061917E-03   4.4074976E-01   5.4596938E-16   4.4085664E-01   2.4996530E-01   2.5008878E-01
   2.2107890E+00   1.9774563E+03  -9.6493028E-03   7.7058129E-02   5.4783968E-16   7.7659927E-02   2.4690752E-01   2.4637812E-01
   2.2354653E+00   1.9698440E+03  -1.3880091E-02  -2.1154796E-01   5.5288535E-16   2.1200281E-01   2.4246940E-01   2.4208516E-01
   2.2566218E+00   1.9626797E+03  -1.7060691E-02  -3.4082344E-01   5.5874068E-16   3.4125018E-01   2.3821476E-01   2.3823942E-01
   2.2782629E+00   1.9470603E+03  -1.7900147E-02  -7.4789381E-01   5.6292904E-16   7.4810797E-01   2.3277365E-01   2.3333392E-01
   2.3024092E+00   1.9392476E+03  -1.7615810E-02  -9.8783565E-01   5.6356681E-16   9.8799270E-01   2.2431326E-01   2.2413872E-01
   2.3252647E+00   1.9162865E+03  -1.2857452E-02  -1.4302598E+00   5.6151286E-16   1.4303176E+00   2.1695676E-01   2.1587081E-01
   2.3480284E+00   1.9098578E+03  -1.8165460E-02  -1.4995595E+00   5.6188820E-16   1.4996696E+00   2.0832214E-01   2.0736443E-01
   2.3717828E+00   1.8933838E+03  -1.7356450E-02  -1.5912744E+00   5.6076212E-16   1.5913690E+00   1.9918743E-01   2.1072772E-01
   2.3932288E+00   1.8731493E+03  -1.7490845E-02  -1.7940120E+00   5.6052262E-16   1.7940973E+00   1.9789854E-01   2.1827351E-01
   2.4180641E+00   1.8688853E+03  -1.7247701E-02  -1.6389128E+00   5.6314811E-16   1.6390035E+00   2.0399183E-01   2.2697040E-01
   2.4391930E+00   1.8390548E+03  -1.9562077E-02  -1.7046473E+00   5.6519814E-16   1.7047595E+00   2.0892335E-01   2.4024862E-01
   2.4638433E+00   1.8174536E+03  -1.2525971E-02  -1.7403064E+00   5.5539823E-16   1.7403514E+00   2.1452782E-01   2.4523954E-01
   2.4853458E+00   1.8090190E+03  -2.0278048E-02  -1.5507449E+00   5.5258508E-16   1.5508775E+00   2.2008130E-01   2.5300512E-01
   2.5070708E+00   1.7991281E+03  -1.1007324E-02  -1.6011204E+00   5.5025844E-16   1.6011583E+00   2.2563775E-01   2.5967443E-01
