  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:11:55  02/15/2024 xsog     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      991      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   8.9619863E-01  -3.0793676E-03  -7.2458722E-02   1.8550071E+00
   9.0281385E-01  -2.4771963E-03  -8.7034523E-02   1.8549076E+00
   9.0612161E-01  -2.5944351E-03  -8.7477580E-02   1.8547670E+00
   9.1273832E-01  -3.0001826E-03  -3.8128506E-02   1.8545997E+00
   9.1604769E-01  -3.3111540E-03  -7.8852316E-03   1.8549355E+00
   9.2266929E-01  -3.2409616E-03  -7.6107268E-04   1.8548645E+00
   9.2597991E-01  -3.6400610E-03   5.7600476E-02   1.8549584E+00
   9.3259925E-01  -3.5337482E-03   6.2106293E-02   1.8550406E+00
   9.3590832E-01  -3.6573713E-03   1.1192562E-01   1.8554131E+00
   9.4252664E-01  -3.7555906E-03   1.2612683E-01   1.8554281E+00
   9.4583642E-01  -3.8868501E-03   1.4300476E-01   1.8554392E+00
   9.5245969E-01  -4.0343427E-03   2.2763032E-01   1.8558691E+00
   9.5577437E-01  -4.1395673E-03   2.3390505E-01   1.8558874E+00
   9.6241426E-01  -4.3469993E-03   3.1268328E-01   1.8564841E+00
   9.6573907E-01  -3.9965073E-03   3.2181492E-01   1.8565025E+00
   9.7239810E-01  -3.7675174E-03   3.5918555E-01   1.8564688E+00
   9.7573262E-01  -3.9327163E-03   4.4663036E-01   1.8568497E+00
   9.8241371E-01  -4.0111542E-03   4.7066003E-01   1.8569616E+00
   9.8576134E-01  -3.9168359E-03   4.8893738E-01   1.8570459E+00
   9.9247265E-01  -3.9679362E-03   5.7424867E-01   1.8578629E+00
   9.9583709E-01  -3.7018298E-03   5.9391612E-01   1.8578246E+00
   1.0025851E+00  -3.8816710E-03   6.7172730E-01   1.8580132E+00
   1.0049307E+00  -4.5715757E-03   7.0918006E-01   1.8588381E+00
   1.0117215E+00  -3.6819053E-03   7.6909643E-01   1.8588129E+00
   1.0164927E+00  -3.3710180E-03   8.2347840E-01   1.8589263E+00
   1.0217532E+00  -3.8099666E-03   8.8681179E-01   1.8591096E+00
   1.0260705E+00  -4.2299149E-03   9.3943459E-01   1.8594838E+00
   1.0306308E+00  -3.7870423E-03   1.0011050E+00   1.8599075E+00
   1.0356586E+00  -3.3191305E-03   1.0565565E+00   1.8601720E+00
