  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:15:17  02/16/2024 iqiq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      994      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.9723754E-01   1.1559284E-03   2.0167418E+00  -3.2542023E-01
   1.9896215E-01   1.7028266E-03   2.0276105E+00  -3.2637602E-01
   2.0031513E-01   1.8134344E-03   2.1111937E+00  -3.2890800E-01
   2.0180680E-01   5.7428931E-03   2.1292286E+00  -3.3004490E-01
   2.0433579E-01   2.5286833E-03   2.1211665E+00  -3.1637830E-01
   2.0526446E-01   2.6777342E-03   2.1197901E+00  -3.2167235E-01
   2.0726344E-01   1.5503037E-03   2.1172726E+00  -3.2996994E-01
   2.0946729E-01   1.0566368E-03   2.1702957E+00  -3.2871622E-01
   2.1063568E-01   2.9328396E-03   2.2046244E+00  -3.2091567E-01
   2.1186247E-01   3.7267257E-03   2.2314909E+00  -3.2390049E-01
   2.1450315E-01   4.6303887E-03   2.2739241E+00  -3.1885812E-01
   2.1592332E-01   6.4621312E-03   2.2805791E+00  -3.2212853E-01
   2.1719471E-01   5.2778786E-03   2.3011193E+00  -3.1870919E-01
   2.1993136E-01   4.9331100E-03   2.3250554E+00  -3.2370925E-01
   2.2140315E-01   3.7172253E-03   2.3425117E+00  -3.2233304E-01
   2.2294852E-01   4.1592168E-03   2.3616493E+00  -3.2481474E-01
   2.2450624E-01   5.7105036E-03   2.3938694E+00  -3.2447985E-01
   2.2613953E-01   5.3080320E-03   2.4088776E+00  -3.2374185E-01
   2.2785448E-01   4.0365243E-03   2.4307928E+00  -3.2084623E-01
   2.2952478E-01   4.3854974E-03   2.4471445E+00  -3.2397890E-01
   2.3116983E-01   6.7651193E-03   2.4655473E+00  -3.2278946E-01
   2.3289716E-01   1.1358076E-03   2.4839549E+00  -3.2255590E-01
   2.3444018E-01   2.8874076E-03   2.4973648E+00  -3.2498029E-01
   2.3604912E-01   3.0926110E-03   2.5214236E+00  -3.2567239E-01
   2.3758514E-01  -1.1688992E-03   2.5371521E+00  -3.2783756E-01
   2.3919795E-01   1.4630589E-03   2.5575688E+00  -3.2692578E-01
   2.4085486E-01   2.5396161E-03   2.5723627E+00  -3.2619712E-01
   2.4251178E-01   2.2994825E-03   2.5966136E+00  -3.2944998E-01
   2.4577266E-01  -7.4377999E-04   2.6175504E+00  -3.2961357E-01
   2.4713773E-01  -1.5779308E-03   2.6380310E+00  -3.3457720E-01
   2.4819908E-01  -2.0976935E-03   2.6542351E+00  -3.3731309E-01
   2.5048366E-01   8.1046373E-03   2.6787386E+00  -3.3266523E-01
   2.5171229E-01   2.6619686E-03   2.6858625E+00  -3.4085324E-01
   2.5300241E-01   3.9138841E-03   2.6940408E+00  -3.4090087E-01
   2.5567022E-01  -2.3204426E-03   2.7122355E+00  -3.4241515E-01
   2.5693613E-01  -4.6994272E-03   2.7277019E+00  -3.4580252E-01
   2.5826538E-01   1.6163954E-03   2.7397239E+00  -3.4754655E-01
   2.6109686E-01  -7.6590374E-04   2.7622459E+00  -3.5157576E-01
   2.6253548E-01  -1.2966015E-03   2.7776823E+00  -3.5276631E-01
   2.6404399E-01  -2.5309292E-03   2.7893121E+00  -3.5537246E-01
   2.6562795E-01   2.9259487E-03   2.7918177E+00  -3.5597998E-01
   2.6729110E-01   1.4991031E-03   2.8070617E+00  -3.5944995E-01
   2.6898882E-01   2.3754898E-03   2.8193505E+00  -3.6616984E-01
   2.7019915E-01  -2.7534540E-04   2.8330536E+00  -3.6787024E-01
   2.7244020E-01  -9.3044108E-04   2.8482912E+00  -3.7244821E-01
   2.7364030E-01   1.5199250E-03   2.8559878E+00  -3.7267542E-01
   2.7622354E-01  -1.1467905E-03   2.8684938E+00  -3.7617546E-01
   2.7761281E-01   1.2029527E-03   2.8768578E+00  -3.7907451E-01
   2.7907154E-01   4.3568294E-03   2.8879201E+00  -3.8038835E-01
   2.8060323E-01   9.5116044E-04   2.8941591E+00  -3.8278523E-01
   2.8221148E-01   3.1650898E-03   2.9024227E+00  -3.8359043E-01
   2.8375962E-01   2.1386824E-03   2.9139402E+00  -3.8870215E-01
   2.8617916E-01  -1.8829477E-03   2.9401290E+00  -3.9076170E-01
   2.8779268E-01  -3.0764237E-03   2.9496391E+00  -3.9142764E-01
   2.8962946E-01   4.0784180E-03   2.9542637E+00  -3.9755821E-01
   2.9116166E-01   6.3807575E-04   2.9584570E+00  -3.9946610E-01
   2.9293540E-01   5.4914865E-04   2.9630651E+00  -4.0414101E-01
   2.9498872E-01  -5.9362082E-04   2.9870036E+00  -4.0839499E-01
   2.9653439E-01   5.5971406E-03   2.9906271E+00  -4.1019067E-01
   2.9823852E-01   2.0348292E-03   2.9911191E+00  -4.1406792E-01
   3.0010426E-01   2.5295169E-04   2.9972348E+00  -4.1752458E-01
   3.0110100E-01   3.2833279E-03   3.0014741E+00  -4.1983312E-01
   3.0314597E-01   1.2552388E-03   3.0059514E+00  -4.2334962E-01
   3.0533975E-01  -2.8864413E-03   3.0149951E+00  -4.2685360E-01
   3.0651960E-01   1.3483617E-03   3.0092406E+00  -4.2815816E-01
   3.0905917E-01   2.8946262E-03   3.0218084E+00  -4.3456888E-01
   3.1042498E-01   1.2868881E-03   3.0301147E+00  -4.3508062E-01
   3.1153139E-01   3.0775522E-03   3.0372531E+00  -4.3948123E-01
   3.1355971E-01  -6.6514220E-04   3.0412400E+00  -4.3467161E-01
   3.1533104E-01  -5.2832435E-03   3.0457406E+00  -4.3296170E-01
   3.1709668E-01   3.7399807E-03   3.0383098E+00  -4.4739902E-01
   3.1904328E-01  -6.3519052E-04   3.0476787E+00  -4.3335286E-01
   3.2009017E-01  -2.1605736E-03   3.0482078E+00  -4.3562424E-01
   3.2219836E-01   9.2080736E-04   3.0579939E+00  -4.4373780E-01
   3.2333213E-01  -7.3774677E-04   3.0560899E+00  -4.4893423E-01
   3.2577261E-01   1.9711661E-03   3.0551929E+00  -4.5492235E-01
   3.2708511E-01   3.5775764E-04   3.0575588E+00  -4.5674029E-01
   3.2898656E-01   2.1260520E-03   3.0695713E+00  -4.5817724E-01
   3.3107719E-01   6.0271070E-04   3.0584447E+00  -4.6493816E-01
   3.3220154E-01   2.3970956E-03   3.0649259E+00  -4.6770030E-01
   3.3462170E-01  -2.1454105E-03   3.0615349E+00  -4.6978378E-01
   3.3592325E-01  -6.1144808E-04   3.0559735E+00  -4.7242671E-01
   3.3757344E-01   7.1230286E-05   3.0543253E+00  -4.7678924E-01
   3.3898583E-01   3.9581200E-03   3.0557542E+00  -4.6289623E-01
   3.4099483E-01  -5.4967031E-04   3.0264695E+00  -4.7859597E-01
   3.4270084E-01   6.4897194E-04   3.0421314E+00  -4.7775459E-01
   3.4421751E-01   9.2464546E-04   3.0581810E+00  -4.7042370E-01
   3.4597328E-01  -7.4692036E-04   3.0568900E+00  -4.8035106E-01
   3.4775123E-01   2.5136094E-03   3.0119770E+00  -4.8690459E-01
   3.4933192E-01   5.3760028E-03   3.0056477E+00  -4.9062547E-01
   3.5116172E-01   2.9814902E-03   3.0127354E+00  -4.9371612E-01
   3.5327998E-01  -9.6522272E-03   3.0176723E+00  -4.9697840E-01
   3.5487455E-01  -6.6499721E-05   3.0308831E+00  -4.9948797E-01
   3.5663259E-01  -2.5326256E-03   3.0099869E+00  -5.0342882E-01
   3.5857078E-01  -9.1110538E-05   2.9908149E+00  -5.0669807E-01
   3.5961318E-01  -1.7202245E-03   2.9655387E+00  -5.0913787E-01
   3.6185691E-01   8.4161788E-04   2.9642327E+00  -5.1522344E-01
   3.6306357E-01  -1.0816860E-04   2.9629776E+00  -5.1782960E-01
   3.6433059E-01   5.5958430E-04   2.9456775E+00  -5.1747286E-01
   3.6672565E-01   2.0429122E-03   2.9348357E+00  -5.2452695E-01
   3.6838761E-01   3.9659813E-03   2.9437878E+00  -5.4139125E-01
   3.7005544E-01   1.7022552E-04   2.9086716E+00  -5.3142041E-01
   3.7171799E-01  -8.9031365E-04   2.9014199E+00  -5.3843349E-01
   3.7337840E-01   5.5150795E-03   2.8707566E+00  -5.2472222E-01
   3.7503669E-01  -9.1288080E-03   2.8713608E+00  -5.7637709E-01
   3.7669328E-01   2.5595862E-03   2.8647556E+00  -5.4182148E-01
   3.7828577E-01   3.0341207E-03   2.8492618E+00  -5.6179255E-01
   3.8076416E-01   9.8266425E-03   2.8328702E+00  -5.5996346E-01
   3.8241458E-01   3.0997924E-03   2.7927821E+00  -5.5609190E-01
   3.8406387E-01   2.4437213E-03   2.7656753E+00  -5.6509626E-01
   3.8570559E-01  -5.0894353E-03   2.7471323E+00  -5.7250750E-01
   3.8713878E-01   2.7406026E-04   2.7597830E+00  -5.5986851E-01
   3.8910845E-01   6.1676023E-03   2.7883670E+00  -5.7037866E-01
   3.9081952E-01  -4.8140693E-03   2.7115145E+00  -5.8338058E-01
   3.9234075E-01   4.7491823E-04   2.7217796E+00  -5.5864251E-01
   3.9410174E-01   1.5764063E-03   2.6926241E+00  -5.7024026E-01
   3.9614028E-01   1.6991501E-03   2.6581688E+00  -5.8141255E-01
   3.9767489E-01   1.6959464E-02   2.6614985E+00  -5.7833004E-01
   3.9924136E-01  -9.8565510E-03   2.6294494E+00  -5.7473844E-01
   4.0091100E-01  -6.3829906E-03   2.5980909E+00  -5.8682394E-01
   4.0275177E-01   2.1603922E-03   2.5874660E+00  -5.9462440E-01
   4.0476659E-01  -1.7611691E-03   2.5629377E+00  -5.9529930E-01
   4.0582830E-01  -4.5393743E-03   2.5532260E+00  -5.9558380E-01
   4.0805292E-01  -1.0764069E-03   2.5284576E+00  -5.9925348E-01
   4.0918893E-01  -3.1944434E-03   2.5252507E+00  -6.0236353E-01
   4.1120002E-01   2.5939262E-03   2.4756088E+00  -5.9549755E-01
   4.1262609E-01  -4.6626194E-03   2.3968112E+00  -6.1026448E-01
   4.1491187E-01   1.1785585E-02   2.3893352E+00  -6.2340087E-01
   4.1663253E-01  -4.9246284E-03   2.4176679E+00  -5.9953094E-01
   4.1852957E-01  -4.3504790E-04   2.4267554E+00  -6.0921383E-01
   4.1954982E-01   5.2589318E-03   2.4240603E+00  -6.3274068E-01
   4.2152351E-01   3.2728247E-03   2.3492148E+00  -6.2359232E-01
   4.2350200E-01  -3.7143836E-03   2.2686057E+00  -6.2526494E-01
   4.2452103E-01  -9.9653809E-04   2.2530329E+00  -6.3271338E-01
   4.2655620E-01   3.3089370E-03   2.2321625E+00  -6.3699228E-01
   4.2860320E-01   5.6746490E-03   2.2237346E+00  -6.4612609E-01
   4.2963061E-01  -9.6643725E-03   2.2026956E+00  -6.4413726E-01
   4.3182731E-01   9.3006116E-04   2.1832852E+00  -6.4783913E-01
   4.3400115E-01  -5.2057267E-03   2.1424325E+00  -6.5167058E-01
   4.3506390E-01  -5.1248807E-04   2.1227641E+00  -6.6438258E-01
   4.3716595E-01  -4.0454161E-03   2.0954382E+00  -6.5703171E-01
   4.3821126E-01  -5.7728109E-03   2.0540357E+00  -6.5978855E-01
   4.4029823E-01  -1.6990282E-03   2.0136440E+00  -6.7076170E-01
   4.4238675E-01  -3.1874829E-03   1.9996476E+00  -6.6982466E-01
   4.4348386E-01  -1.7153743E-03   1.9810572E+00  -6.7245966E-01
   4.4567958E-01   3.3152308E-03   1.9460986E+00  -6.8246424E-01
   4.4686040E-01  -3.1663645E-03   1.9146736E+00  -6.8581033E-01
   4.4934574E-01   4.9594085E-04   1.8660805E+00  -6.8617713E-01
   4.5052829E-01  -1.1026729E-03   1.8321812E+00  -6.8745530E-01
   4.5176494E-01  -2.2776978E-02   1.8198056E+00  -6.8823344E-01
   4.5422915E-01  -1.6009603E-02   1.7517487E+00  -6.9290423E-01
   4.5545819E-01  -8.3407257E-03   1.7456235E+00  -6.9125658E-01
   4.5791367E-01   8.8319862E-03   1.6799835E+00  -7.1042353E-01
   4.5914140E-01  -9.5418794E-03   1.6682575E+00  -6.9906777E-01
   4.6036977E-01  -2.0724257E-02   1.6422800E+00  -6.9290674E-01
   4.6283111E-01   7.4697169E-03   1.6019351E+00  -7.3344046E-01
   4.6406507E-01  -3.5819081E-03   1.5744956E+00  -7.2201002E-01
   4.6649951E-01  -5.7728169E-03   1.5168173E+00  -7.1634734E-01
   4.6756598E-01  -3.2004770E-02   1.4813440E+00  -7.2255808E-01
   4.6986157E-01   1.0908441E-02   1.4208472E+00  -7.1788561E-01
   4.7095758E-01   3.3464022E-03   1.3964295E+00  -7.2117162E-01
   4.7331184E-01   1.0929995E-03   1.3355629E+00  -7.5072050E-01
   4.7457549E-01   5.0565731E-03   1.3179768E+00  -7.3830414E-01
   4.7657695E-01  -6.4069312E-03   1.2831749E+00  -7.4267423E-01
   4.7765332E-01   2.2349423E-03   1.2719152E+00  -7.6279837E-01
   4.7985938E-01   3.1620103E-03   1.2054007E+00  -7.4977660E-01
   4.8128456E-01  -2.4121753E-03   1.1661315E+00  -7.5898516E-01
   4.8285580E-01   1.0182915E-03   1.1260930E+00  -7.5582039E-01
   4.8497346E-01   1.0916514E-03   1.0505340E+00  -7.6189846E-01
   4.8685616E-01   2.1941682E-02   1.0209677E+00  -7.6215565E-01
   4.8824838E-01  -1.7068993E-02   9.5138448E-01  -7.7289790E-01
   4.8975700E-01   4.7180429E-03   9.7021383E-01  -7.7120274E-01
   4.9139264E-01  -9.1794617E-03   9.4650888E-01  -7.7143770E-01
   4.9334294E-01  -5.7182975E-02   8.3881593E-01  -7.7720767E-01
   4.9515814E-01   4.7456913E-02   7.1460491E-01  -7.7994627E-01
   4.9652460E-01   3.8417567E-02   7.4810016E-01  -7.7240598E-01
   4.9884132E-01   5.7155611E-03   7.2822124E-01  -7.7883804E-01
   5.0058526E-01   2.5084831E-03   7.1635973E-01  -7.7982277E-01
   5.0250798E-01  -9.7394455E-03   6.5893513E-01  -7.8607070E-01
   5.0354207E-01  -5.5277380E-03   6.4625001E-01  -7.8631860E-01
   5.0576782E-01   1.6564556E-03   5.5107415E-01  -7.8607947E-01
   5.0696492E-01  -8.0043910E-04   5.2964669E-01  -7.8708929E-01
   5.0953156E-01   3.4015633E-03   4.5954141E-01  -7.9653329E-01
   5.1086581E-01   4.9367105E-03   4.3137264E-01  -7.9321784E-01
   5.1223320E-01   3.8349258E-03   4.0548414E-01  -7.9564232E-01
   5.1363921E-01   2.8107623E-03   3.8350284E-01  -7.9901785E-01
   5.1630348E-01   6.7011830E-03   3.3929089E-01  -8.0071223E-01
   5.1773632E-01   1.0203136E-03   2.9152018E-01  -8.0196804E-01
   5.1914537E-01  -3.7131188E-04   2.4966674E-01  -8.0312979E-01
   5.2060521E-01   1.7142285E-03   2.0977648E-01  -8.0438060E-01
   5.2207440E-01   4.1919784E-03   1.6899623E-01  -8.0530864E-01
   5.2354944E-01   2.4491618E-03   1.3376446E-01  -8.0344677E-01
   5.2624881E-01   7.2827367E-03   5.9341654E-02  -8.0767900E-01
   5.2748334E-01  -3.4102667E-04   3.7680414E-02  -8.0918610E-01
   5.2973616E-01   4.2548636E-03  -4.4815492E-02  -8.1429446E-01
   5.3088397E-01   1.3631251E-02  -7.2232388E-02  -8.0499327E-01
   5.3335464E-01   6.5563284E-03  -1.0839653E-01  -8.1275624E-01
   5.3468335E-01   3.8533260E-03  -1.2322878E-01  -8.1622094E-01
   5.3607851E-01   5.0402660E-04  -1.4568086E-01  -8.1646657E-01
   5.3754348E-01  -4.1179892E-04  -1.7401727E-01  -8.1511885E-01
   5.4014045E-01   3.4653321E-03  -2.5692281E-01  -8.1462193E-01
   5.4136729E-01   9.7474307E-03  -3.0119586E-01  -8.1727850E-01
   5.4265553E-01   1.3549063E-02  -3.3552429E-01  -8.1199998E-01
   5.4500091E-01  -3.5526366E-03  -3.6637449E-01  -8.0999446E-01
   5.4679471E-01   1.3704542E-03  -4.0885612E-01  -8.0164301E-01
   5.4846972E-01   1.0094653E-02  -4.6060890E-01  -8.0886722E-01
   5.4995239E-01   1.1083730E-02  -5.1465559E-01  -8.0944544E-01
   5.5196297E-01  -1.8381819E-03  -5.8388209E-01  -8.0733305E-01
   5.5323046E-01  -1.4989409E-02  -6.5143484E-01  -8.1132281E-01
   5.5497652E-01   2.0134221E-03  -6.4777583E-01  -8.0314797E-01
   5.5687350E-01   5.9754672E-03  -6.5994942E-01  -8.0492973E-01
   5.5830157E-01   6.3373679E-03  -6.7959827E-01  -8.0334467E-01
   5.5987597E-01   2.1753555E-04  -7.1988946E-01  -8.0383343E-01
   5.6160635E-01  -3.9855265E-03  -7.3866361E-01  -8.0161846E-01
   5.6350839E-01  -4.2397715E-03  -7.7531564E-01  -7.9886109E-01
   5.6510490E-01   5.6900713E-03  -8.2607913E-01  -8.0031198E-01
   5.6744063E-01  -7.4000395E-04  -9.4186598E-01  -8.0157262E-01
   5.6908417E-01   1.3841550E-02  -9.7891641E-01  -7.9795760E-01
   5.7067716E-01   4.2361976E-04  -9.9772787E-01  -7.9790992E-01
   5.7229769E-01   3.7907793E-03  -1.0291986E+00  -8.0214751E-01
   5.7406420E-01   3.1014474E-02  -1.0839791E+00  -7.9557019E-01
