  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:40:50  02/21/2024 ribq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.3095526E-01  -2.9970083E-02   2.0275679E+00  -1.1207132E+00
   5.3447980E-01   8.6119743E-03   1.8981880E+00  -1.1351799E+00
   5.3798860E-01  -3.8788209E-03   1.7664610E+00  -1.1362803E+00
   5.4110807E-01  -7.3150191E-03   1.7127838E+00  -1.1372806E+00
   5.4457945E-01  -8.7949783E-03   1.6359102E+00  -1.1495408E+00
   5.4790056E-01  -1.4090862E-03   1.5401491E+00  -1.1581416E+00
   5.5124593E-01  -2.9236174E-03   1.4042782E+00  -1.1655475E+00
   5.5445886E-01  -8.9407442E-03   1.1920129E+00  -1.1710559E+00
   5.5754405E-01  -7.8191012E-03   1.1374477E+00  -1.1801020E+00
   5.6130195E-01   1.3712784E-03   1.1096498E+00  -1.1864127E+00
   5.6488657E-01  -1.5261127E-03   9.7990364E-01  -1.1903759E+00
   5.6775069E-01   2.8467519E-04   8.3049881E-01  -1.1904905E+00
   5.7154536E-01  -7.3046261E-03   6.5643209E-01  -1.1993316E+00
   5.7429516E-01   2.6893637E-03   6.1782885E-01  -1.1981061E+00
   5.7815111E-01  -4.8231729E-03   5.3082365E-01  -1.2092997E+00
   5.8159006E-01  -2.7119811E-03   3.7938294E-01  -1.2007563E+00
   5.8491534E-01  -1.2014975E-02   1.9861856E-01  -1.2065799E+00
   5.8803046E-01  -1.9648068E-02   1.0391841E-01  -1.2105750E+00
   5.9110159E-01  -8.6688539E-03   9.8482147E-03  -1.2122799E+00
   5.9483218E-01  -4.0090415E-03  -1.5249055E-02  -1.2090659E+00
   5.9808105E-01  -1.2184748E-02  -8.5042715E-02  -1.2072893E+00
   6.0136157E-01  -3.2545663E-02  -2.0611942E-01  -1.2155503E+00
   6.0469747E-01  -1.2222013E-02  -5.9788978E-01  -1.2098533E+00
   6.0802126E-01  -2.1736609E-02  -6.4414644E-01  -1.2073516E+00
   6.1103457E-01  -8.1452159E-03  -4.9937376E-01  -1.2044282E+00
   6.1503446E-01   1.2569880E-03  -5.4312623E-01  -1.2039508E+00
   6.1782491E-01  -7.1967201E-04  -7.7451873E-01  -1.2030510E+00
   6.2099737E-01  -2.1889513E-02  -9.7650421E-01  -1.1953984E+00
   6.2431788E-01  -2.1525104E-02  -1.0330287E+00  -1.1989137E+00
   6.2772280E-01  -2.2829458E-02  -1.0186889E+00  -1.1977202E+00
   6.3144153E-01  -1.4181208E-02  -1.1373810E+00  -1.1939803E+00
   6.3499272E-01   2.0775385E-03  -1.2943344E+00  -1.1872648E+00
   6.3835704E-01  -3.5869374E-03  -1.4521570E+00  -1.1900063E+00
   6.4115870E-01  -1.8787922E-02  -1.5092411E+00  -1.1860901E+00
   6.4450437E-01  -1.9556731E-02  -1.6156510E+00  -1.1835952E+00
   6.4773709E-01  -2.3986516E-03  -1.5531603E+00  -1.1742592E+00
   6.5183324E-01  -8.8573657E-03  -1.6946088E+00  -1.1687163E+00
   6.5463632E-01  -3.1485748E-02  -1.8473088E+00  -1.1632471E+00
   6.5798026E-01  -1.3533039E-02  -1.9942744E+00  -1.1658189E+00
   6.6107112E-01   2.5572181E-02  -2.0006728E+00  -1.1563808E+00
   6.6514546E-01  -1.3689864E-03  -2.1049314E+00  -1.1448405E+00
   6.6783416E-01  -7.9876008E-03  -2.1214101E+00  -1.1436123E+00
   6.7172587E-01   2.7882254E-02  -2.4071903E+00  -1.1330178E+00
   6.7474264E-01   7.5542456E-03  -2.3975856E+00  -1.1310494E+00
   6.7826819E-01  -1.0398799E-02  -2.4027898E+00  -1.1225957E+00
   6.8158811E-01   1.3919809E-03  -2.4652715E+00  -1.1165106E+00
   6.8483818E-01  -1.0825024E-02  -2.6399837E+00  -1.1067911E+00
   6.8804044E-01  -6.7890333E-03  -2.7308819E+00  -1.1033914E+00
   6.9122285E-01  -2.0172941E-02  -2.7867327E+00  -1.0985501E+00
   6.9511974E-01  -6.0753925E-03  -2.8583679E+00  -1.0846415E+00
   6.9842225E-01  -2.3241716E-02  -2.9261379E+00  -1.0772560E+00
   7.0174223E-01  -4.9126032E-03  -2.9929860E+00  -1.0669392E+00
   7.0515221E-01  -5.5869655E-03  -3.1460757E+00  -1.0587945E+00
   7.0794410E-01  -1.4406445E-02  -3.0898433E+00  -1.0468419E+00
   7.1156675E-01  -3.0656790E-03  -3.2127013E+00  -1.0463635E+00
   7.1519721E-01  -1.5458426E-02  -3.2995567E+00  -1.0334952E+00
   7.1806431E-01  -3.1574843E-03  -3.4369273E+00  -1.0295496E+00
   7.2167677E-01  -1.9333201E-03  -3.4953966E+00  -1.0212849E+00
   7.2480983E-01  -1.5654661E-02  -3.4952829E+00  -1.0116247E+00
   7.2815657E-01  -9.2869131E-03  -3.5619886E+00  -1.0103275E+00
   7.3158759E-01  -1.1671501E-02  -3.6124184E+00  -9.7218698E-01
   7.3497969E-01  -1.2523965E-02  -3.7681231E+00  -9.9515593E-01
   7.3833746E-01  -1.0928089E-02  -3.8090503E+00  -9.8150748E-01
   7.4166870E-01  -1.0332585E-02  -3.8373840E+00  -9.7224492E-01
   7.4497485E-01  -1.3708072E-02  -3.8832214E+00  -9.7151208E-01
   7.4825728E-01  -1.2367311E-02  -3.9856675E+00  -9.5194358E-01
   7.5150973E-01  -1.4997634E-02  -4.0311017E+00  -9.4667339E-01
   7.5474179E-01  -2.4842398E-02  -4.1006145E+00  -9.4031423E-01
   7.5795162E-01  -6.3393624E-03  -4.1378322E+00  -9.2807227E-01
   7.6193488E-01  -5.0842199E-03  -4.1927247E+00  -9.2394829E-01
   7.6497090E-01  -1.0102533E-02  -4.2385626E+00  -9.1580743E-01
   7.6800007E-01  -1.3965821E-02  -4.3000607E+00  -9.0679902E-01
   7.7175301E-01  -1.8079722E-02  -4.3747644E+00  -8.9251375E-01
   7.7529532E-01  -5.1477840E-03  -4.4057775E+00  -8.8882142E-01
   7.7797729E-01  -2.0718290E-03  -4.4297972E+00  -8.7704551E-01
   7.8168201E-01  -1.5263871E-03  -4.5015898E+00  -8.6664927E-01
   7.8513420E-01  -1.6005779E-02  -4.5711074E+00  -8.5431653E-01
   7.8850454E-01  -1.3785365E-02  -4.5920243E+00  -8.4892952E-01
   7.9148400E-01  -6.9198664E-03  -4.6172867E+00  -8.4117013E-01
   7.9540211E-01  -1.7551443E-02  -4.6627378E+00  -8.2584476E-01
   7.9871070E-01   9.9862264E-03  -4.7299728E+00  -8.1798339E-01
   8.0216855E-01  -2.0349370E-02  -4.7819099E+00  -8.1512892E-01
   8.0523884E-01  -1.6551374E-02  -4.7861753E+00  -7.9939193E-01
   8.0860388E-01  -2.2605197E-03  -4.8202538E+00  -7.9366344E-01
   8.1139129E-01  -8.7787630E-03  -4.8720908E+00  -7.8854322E-01
   8.1537580E-01  -4.0292773E-02  -4.8939629E+00  -7.7855682E-01
   8.1877410E-01   2.3241740E-02  -4.9359002E+00  -7.5750852E-01
   8.2158262E-01  -4.5292992E-03  -4.9677501E+00  -7.5638855E-01
   8.2476890E-01  -2.9280774E-02  -4.9827309E+00  -7.4816221E-01
   8.2895774E-01   2.2073867E-02  -5.0128751E+00  -7.4202389E-01
   8.3232039E-01  -6.3136779E-02  -5.0564976E+00  -7.3005319E-01
   8.3547157E-01  -7.8100529E-03  -5.0737042E+00  -7.1933967E-01
   8.3829665E-01   1.0730438E-02  -5.1151433E+00  -7.1048987E-01
   8.4132546E-01  -3.6235403E-02  -5.1093655E+00  -7.0553160E-01
   8.4542763E-01   1.4007944E-02  -5.1584182E+00  -6.9654477E-01
   8.4887224E-01   1.8363856E-02  -5.1962385E+00  -6.8428606E-01
   8.5195833E-01   1.1347788E-02  -5.2159481E+00  -6.8128449E-01
   8.5551715E-01  -2.0649066E-02  -5.2314487E+00  -6.7188746E-01
   8.5864061E-01  -4.5648487E-03  -5.2555466E+00  -6.6195154E-01
   8.6168307E-01  -1.3585507E-02  -5.2843413E+00  -6.5068936E-01
   8.6549914E-01  -1.3863966E-02  -5.2874422E+00  -6.3961285E-01
   8.6839277E-01   7.8018028E-03  -5.3235364E+00  -6.3123012E-01
   8.7225753E-01  -1.8378539E-02  -5.3205857E+00  -6.1598569E-01
