  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   12:40:53  02/26/2024 isnw     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      939      0.000E+00      1.713E+00
   time              pfxob_1         pfyob_1         pfzob_1
   4.5643061E-01   4.5122401E-04   2.6258044E+00   1.8385916E+00
   4.5787933E-01  -1.0167919E-03   2.5366967E+00   1.8382821E+00
   4.5930740E-01  -1.9244380E-04   2.4788060E+00   1.8380747E+00
   4.6075904E-01   7.2295940E-04   2.3861582E+00   1.8377975E+00
   4.6217981E-01   1.1682532E-03   2.3335037E+00   1.8376402E+00
   4.6496454E-01   1.2451796E-03   2.1873863E+00   1.8373512E+00
   4.6633810E-01   1.1088711E-03   2.1349645E+00   1.8372641E+00
   4.6770486E-01   1.4620295E-03   2.0543098E+00   1.8371674E+00
   4.6906516E-01   1.4158710E-03   2.0069544E+00   1.8371434E+00
   4.7177336E-01   1.6659711E-03   1.8850051E+00   1.8372133E+00
   4.7312289E-01   2.1170625E-03   1.8177912E+00   1.8372868E+00
   4.7447011E-01   2.1966542E-03   1.7505345E+00   1.8373928E+00
   4.7581536E-01   2.3924545E-03   1.6866614E+00   1.8375255E+00
   4.7850049E-01   2.5029194E-03   1.5507526E+00   1.8378600E+00
   4.7984043E-01   5.8516837E-03   1.4818835E+00   1.8380548E+00
   4.8117861E-01   1.1441778E-02   1.4089179E+00   1.8382788E+00
   4.8251483E-01   9.9722147E-03   1.3276155E+00   1.8386283E+00
   4.8518074E-01   1.2133948E-03   1.2143120E+00   1.8393530E+00
   4.8651004E-01   5.1681553E-03   1.1569062E+00   1.8397671E+00
   4.8783672E-01  -3.0404439E-03   1.1131672E+00   1.8401729E+00
   4.9048179E-01  -1.0461408E-03   1.0047259E+00   1.8408167E+00
   4.9180019E-01   1.2627143E-02   9.8168415E-01   1.8411582E+00
   4.9311590E-01   7.3985532E-03   8.9776492E-01   1.8413715E+00
   4.9574015E-01   2.8792645E-03   7.4028689E-01   1.8417718E+00
   4.9704924E-01   5.2056536E-03   6.7609954E-01   1.8419410E+00
   4.9835685E-01   6.9180983E-03   6.0178399E-01   1.8420784E+00
   4.9966332E-01   6.9731399E-03   5.8547711E-01   1.8421248E+00
   5.0227463E-01   7.0664156E-03   4.2618287E-01   1.8423868E+00
   5.0358039E-01   2.1461870E-03   3.2006225E-01   1.8425505E+00
   5.0488693E-01   4.2122775E-03   2.9713014E-01   1.8425798E+00
   5.0732267E-01   1.0813495E-02   2.1585301E-01   1.8428289E+00
   5.0850695E-01  -1.5577428E-03   2.0473264E-01   1.8428944E+00
   5.1105613E-01   4.8058727E-03   7.4940592E-02   1.8429471E+00
   5.1237673E-01   6.9176205E-03   1.8687388E-02   1.8429266E+00
   5.1370192E-01   4.3095956E-03  -2.6002396E-02   1.8428907E+00
   5.1637018E-01   4.7604423E-03  -1.4192916E-01   1.8427421E+00
   5.1771569E-01   4.7875238E-03  -1.9858234E-01   1.8426512E+00
   5.1907122E-01   9.7900061E-03  -2.4966766E-01   1.8425546E+00
   5.2043962E-01   6.8765269E-03  -3.1816798E-01   1.8424605E+00
   5.2323037E-01   1.5807966E-02  -4.0872052E-01   1.8423033E+00
   5.2464557E-01   1.5783880E-02  -4.8386836E-01   1.8422388E+00
   5.2607286E-01   1.5127664E-02  -5.4961741E-01   1.8421824E+00
   5.2747458E-01  -2.9315667E-03  -5.7377309E-01   1.8421361E+00
   5.2882147E-01   4.5671896E-03  -6.3504940E-01   1.8420936E+00
   5.3152102E-01   7.7673318E-03  -7.5023562E-01   1.8420290E+00
   5.3288537E-01   9.8892860E-03  -8.1380999E-01   1.8420050E+00
   5.3424841E-01   8.8125039E-03  -8.7425715E-01   1.8419945E+00
   5.3561074E-01   1.8902149E-02  -8.9013606E-01   1.8419958E+00
   5.3780240E-01   1.4211058E-03  -9.8166698E-01   1.8420196E+00
   5.3959286E-01   7.3508476E-03  -1.0819417E+00   1.8419870E+00
   5.4156685E-01   1.4931980E-02  -1.1990204E+00   1.8418738E+00
   5.4262853E-01   1.6704338E-02  -1.2163106E+00   1.8418695E+00
   5.4491365E-01   9.2763286E-03  -1.2227684E+00   1.8419178E+00
   5.4614264E-01  -7.9475250E-03  -1.2632877E+00   1.8419753E+00
   5.4878801E-01   4.6426449E-03  -1.3945086E+00   1.8418639E+00
   5.5015618E-01   8.1305793E-03  -1.4854195E+00   1.8416412E+00
   5.5152839E-01   1.1450061E-02  -1.5174102E+00   1.8414311E+00
   5.5290514E-01   2.1444801E-03  -1.5596209E+00   1.8412693E+00
   5.5567449E-01   1.0984111E-02  -1.6257392E+00   1.8411654E+00
   5.5706906E-01   1.7175147E-02  -1.7106906E+00   1.8411524E+00
   5.5847228E-01   1.2708737E-02  -1.7225385E+00   1.8411427E+00
   5.5988634E-01   1.0360824E-02  -1.9418949E+00   1.8404794E+00
   5.6131488E-01   7.4138460E-03  -1.9604143E+00   1.8403633E+00
   5.6403458E-01   1.4481618E-02  -1.8992317E+00   1.8403403E+00
   5.6536794E-01   5.9139496E-03  -1.9090315E+00   1.8404379E+00
   5.6676793E-01   1.5649354E-02  -1.9532311E+00   1.8404057E+00
   5.6823790E-01  -7.4151251E-03  -2.0664606E+00   1.8400859E+00
   5.7117730E-01   9.5669078E-03  -2.2045114E+00   1.8392897E+00
   5.7259732E-01   3.9772694E-03  -2.2870586E+00   1.8387359E+00
   5.7406956E-01  -1.9269950E-05  -2.3332644E+00   1.8384993E+00
   5.7554913E-01   1.9062873E-02  -2.3909228E+00   1.8383077E+00
   5.7703722E-01   1.9595372E-02  -2.4558816E+00   1.8381920E+00
   5.7966298E-01   2.5969755E-04  -2.5199668E+00   1.8380247E+00
   5.8107513E-01   7.0258612E-03  -2.5640957E+00   1.8379086E+00
   5.8253241E-01  -1.6087688E-04  -2.6384385E+00   1.8377570E+00
   5.8386922E-01  -1.2714653E-05  -2.7170911E+00   1.8373309E+00
   5.8665192E-01   1.3041402E-02  -2.7391348E+00   1.8368105E+00
   5.8803660E-01   1.0348936E-02  -2.8276389E+00   1.8363808E+00
