  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   10:29:12  02/26/2024 qiqb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      337      0.000E+00      2.367E+00
   time              pfxob_1         pfyob_1         pfzob_1
   8.7217492E-01  -1.5499543E-02  -2.7624252E-01   3.8744030E+00
   8.7976819E-01  -1.5505203E-02  -2.8612980E-01   3.8743577E+00
   8.8747478E-01  -1.5837243E-02  -1.9731107E-01   3.8748920E+00
   8.9498961E-01  -1.5776031E-02  -2.1007510E-01   3.8747962E+00
   9.0240860E-01  -1.6552815E-02  -1.6145216E-01   3.8748970E+00
   9.0977180E-01  -1.6497085E-02  -1.6417822E-01   3.8748274E+00
   9.1703582E-01  -1.6920011E-02  -9.0610057E-02   3.8751702E+00
   9.2440706E-01  -1.6874194E-02  -9.3377225E-02   3.8750958E+00
   9.3169117E-01  -1.7456893E-02  -3.0051770E-02   3.8754759E+00
   9.3827862E-01  -1.7338213E-02  -8.7656168E-04   3.8754158E+00
   9.4519538E-01  -1.7507128E-02   1.1224298E-02   3.8753726E+00
   9.5178843E-01  -1.7694220E-02   1.0644668E-01   3.8761780E+00
   9.5871109E-01  -1.7637346E-02   1.2618689E-01   3.8761976E+00
   9.6586269E-01  -1.6995281E-02   2.0355137E-01   3.8771467E+00
   9.7301006E-01  -1.6652584E-02   2.3486024E-01   3.8772852E+00
   9.8018593E-01  -1.7107537E-02   3.4238562E-01   3.8788996E+00
   9.8692304E-01  -1.7291021E-02   3.8070005E-01   3.8790607E+00
   9.9399698E-01  -1.7237335E-02   4.7116220E-01   3.8807406E+00
   1.0011901E+00  -1.6980609E-02   5.3183597E-01   3.8818283E+00
   1.0083988E+00  -1.6101712E-02   6.0115385E-01   3.8825467E+00
   1.0156416E+00  -1.6371809E-02   6.7889053E-01   3.8832815E+00
   1.0229663E+00  -1.6443832E-02   7.6015455E-01   3.8839386E+00
   1.0303141E+00  -1.6715202E-02   8.4337103E-01   3.8845594E+00
   1.0375993E+00  -1.6657665E-02   9.2761368E-01   3.8851981E+00
   1.0448586E+00  -1.6648116E-02   1.0088784E+00   3.8858521E+00
   1.0521266E+00  -1.6535025E-02   1.0873035E+00   3.8865039E+00
   1.0594636E+00  -1.6188106E-02   1.1621335E+00   3.8871465E+00
   1.0668634E+00  -1.6082000E-02   1.2356930E+00   3.8877649E+00
   1.0742120E+00  -1.6027838E-02   1.3085138E+00   3.8883564E+00
   1.0817590E+00  -1.6554408E-02   1.3787050E+00   3.8889232E+00
   1.0893382E+00  -1.6541945E-02   1.4473110E+00   3.8894925E+00
   1.0970587E+00  -1.6659370E-02   1.5151081E+00   3.8900876E+00
   1.1048071E+00  -1.6563276E-02   1.5509418E+00   3.8901083E+00
   1.1125510E+00  -1.6803024E-02   1.6676060E+00   3.8919950E+00
   1.1203023E+00  -1.6237248E-02   1.6913974E+00   3.8920386E+00
   1.1281943E+00  -1.6492194E-02   1.7647958E+00   3.8932335E+00
   1.1362439E+00  -1.6080173E-02   1.8017458E+00   3.8938243E+00
   1.1443954E+00  -1.6050622E-02   1.8384531E+00   3.8946531E+00
   1.1526560E+00  -1.5624089E-02   1.8738062E+00   3.8959618E+00
   1.1610508E+00  -1.5327423E-02   1.9044557E+00   3.8975627E+00
   1.1696018E+00  -1.5063331E-02   1.9365032E+00   3.8992615E+00
   1.1781754E+00  -1.4384834E-02   1.9639815E+00   3.9009547E+00
   1.1871777E+00  -1.4113564E-02   1.9874426E+00   3.9025717E+00
   1.1963359E+00  -1.3356611E-02   2.0076873E+00   3.9041970E+00
   1.2056894E+00  -1.3082480E-02   2.0236712E+00   3.9058058E+00
   1.2148148E+00  -1.3045123E-02   2.0343475E+00   3.9073987E+00
   1.2241508E+00  -1.2886804E-02   2.0453150E+00   3.9088273E+00
   1.2334325E+00  -1.2329150E-02   2.0613434E+00   3.9101892E+00
   1.2426717E+00  -1.1483717E-02   2.0798872E+00   3.9114804E+00
   1.2518833E+00  -1.0915830E-02   2.1023259E+00   3.9127250E+00
   1.2610755E+00  -1.0396052E-02   2.1264644E+00   3.9139323E+00
   1.2702541E+00  -1.0118179E-02   2.1528370E+00   3.9151556E+00
   1.2794225E+00  -9.4384784E-03   2.1833887E+00   3.9164212E+00
   1.2885834E+00  -8.7812217E-03   2.2157311E+00   3.9177642E+00
   1.2977386E+00  -8.6664120E-03   2.2562881E+00   3.9191477E+00
   1.3068892E+00  -8.2395338E-03   2.3038220E+00   3.9206588E+00
   1.3160365E+00  -7.0094522E-03   2.3604586E+00   3.9223287E+00
   1.3251809E+00  -6.2875245E-03   2.4219625E+00   3.9242136E+00
   1.3343211E+00  -5.5840840E-03   2.4909930E+00   3.9262972E+00
   1.3434514E+00  -4.1595446E-03   2.5592198E+00   3.9285629E+00
   1.3525766E+00  -3.3806353E-03   2.6298306E+00   3.9308631E+00
   1.3619728E+00  -3.0549176E-03   2.7041886E+00   3.9331231E+00
   1.3713448E+00  -2.1664042E-03   2.7871001E+00   3.9354329E+00
   1.3806268E+00  -1.0771622E-03   2.8807065E+00   3.9381082E+00
   1.3898629E+00   3.1591891E-04   2.9591405E+00   3.9398754E+00
   1.3990862E+00   5.0582882E-04   3.0557950E+00   3.9419830E+00
   1.4083025E+00   1.2919973E-03   3.1295581E+00   3.9436183E+00
   1.4175252E+00   1.7369676E-03   3.2177207E+00   3.9454422E+00
   1.4267462E+00   2.4240490E-03   3.2833543E+00   3.9469612E+00
   1.4359719E+00   3.0609714E-03   3.3626556E+00   3.9487360E+00
   1.4452833E+00   3.6321513E-03   3.4231999E+00   3.9503050E+00
   1.4544435E+00   4.5101754E-03   3.4970465E+00   3.9522069E+00
   1.4639331E+00   4.6038469E-03   3.5485957E+00   3.9538429E+00
   1.4734387E+00   5.1473649E-03   3.6097362E+00   3.9558873E+00
   1.4827719E+00   5.7294033E-03   3.6509709E+00   3.9579613E+00
   1.4920287E+00   6.0051950E-03   3.6856728E+00   3.9600666E+00
   1.5012674E+00   6.9073122E-03   3.7170014E+00   3.9624941E+00
   1.5105022E+00   7.5230924E-03   3.7469771E+00   3.9650123E+00
   1.5197376E+00   8.2678720E-03   3.7708457E+00   3.9675314E+00
   1.5289701E+00   9.0831947E-03   3.7889771E+00   3.9700074E+00
   1.5381966E+00   9.2712641E-03   3.8026588E+00   3.9724600E+00
   1.5473268E+00   9.3511324E-03   3.8119552E+00   3.9748888E+00
   1.5565305E+00   9.8788114E-03   3.8164155E+00   3.9772410E+00
   1.5658827E+00   1.0470323E-02   3.8166213E+00   3.9795201E+00
   1.5750129E+00   1.1097608E-02   3.8185833E+00   3.9817324E+00
   1.5838882E+00   1.2270778E-02   3.8218431E+00   3.9837501E+00
   1.5923866E+00   1.3236544E-02   3.8271310E+00   3.9855747E+00
   1.6008372E+00   1.3803773E-02   3.8322666E+00   3.9872124E+00
   1.6093338E+00   1.4501017E-02   3.8357267E+00   3.9887061E+00
   1.6177540E+00   1.4738103E-02   3.8478589E+00   3.9905562E+00
   1.6260501E+00   1.5495304E-02   3.8525653E+00   3.9920642E+00
   1.6346203E+00   1.5740758E-02   3.8628519E+00   3.9937172E+00
   1.6431848E+00   1.5934356E-02   3.8727849E+00   3.9952524E+00
   1.6516680E+00   1.6523235E-02   3.8884335E+00   3.9970553E+00
   1.6594445E+00   1.6980672E-02   3.9064815E+00   3.9986510E+00
   1.6667039E+00   1.7318789E-02   3.9264193E+00   4.0002832E+00
   1.6737136E+00   1.7072199E-02   3.9474032E+00   4.0020480E+00
   1.6806177E+00   1.7525505E-02   3.9685385E+00   4.0037398E+00
   1.6874790E+00   1.7376080E-02   3.9958029E+00   4.0054302E+00
   1.6943098E+00   1.7821809E-02   4.0153351E+00   4.0072203E+00
   1.7010950E+00   1.7929094E-02   4.0358810E+00   4.0089664E+00
   1.7079501E+00   1.8087186E-02   4.0614147E+00   4.0091028E+00
   1.7149941E+00   1.8065516E-02   4.0783148E+00   4.0127707E+00
   1.7220998E+00   1.8443853E-02   4.1078258E+00   4.0130305E+00
   1.7293471E+00   1.8303566E-02   4.1268821E+00   4.0156183E+00
   1.7364945E+00   1.8353159E-02   4.1610579E+00   4.0157590E+00
   1.7431849E+00   1.7648837E-02   4.1725502E+00   4.0186410E+00
   1.7494785E+00   1.7399058E-02   4.2006717E+00   4.0188031E+00
   1.7555377E+00   1.7111313E-02   4.2040758E+00   4.0206904E+00
   1.7614853E+00   1.6811220E-02   4.2246432E+00   4.0207100E+00
   1.7673941E+00   1.5946481E-02   4.2198148E+00   4.0221257E+00
   1.7733012E+00   1.5360788E-02   4.2367992E+00   4.0221701E+00
   1.7792130E+00   1.5159078E-02   4.2241807E+00   4.0235486E+00
   1.7851111E+00   1.4553386E-02   4.2368011E+00   4.0235558E+00
   1.7910407E+00   1.4174618E-02   4.2444105E+00   4.0235600E+00
   1.7969345E+00   1.2719318E-02   4.1878633E+00   4.0266614E+00
