  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   12:10:22  02/16/2024 bnvl     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.0709161E+00  -1.2350690E-03   4.3925577E-01  -3.4806544E-01
   1.0757396E+00  -1.5202039E-03   4.4126862E-01  -3.4846079E-01
   1.0803381E+00  -1.7387322E-03   4.5961693E-01  -3.4863973E-01
   1.0847788E+00  -1.8009369E-03   4.9471968E-01  -3.4881061E-01
   1.0891021E+00  -1.7373286E-03   5.2830982E-01  -3.4949282E-01
   1.0950739E+00  -1.2805996E-03   5.4535395E-01  -3.4716836E-01
   1.0988731E+00  -1.5531098E-03   5.5617106E-01  -3.4899223E-01
   1.1046643E+00  -1.8302790E-03   5.7346857E-01  -3.4911659E-01
   1.1101173E+00  -2.1525051E-03   5.9606212E-01  -3.4886494E-01
   1.1136136E+00  -1.0618921E-03   6.1807162E-01  -3.4920207E-01
   1.1187001E+00  -2.2716571E-03   6.3060302E-01  -3.4653625E-01
   1.1236446E+00  -2.0721999E-03   6.4312935E-01  -3.4903041E-01
   1.1284924E+00  -1.9937970E-03   6.7053622E-01  -3.4984404E-01
   1.1332849E+00  -1.9835525E-03   6.9144922E-01  -3.4991175E-01
   1.1394476E+00  -2.4185481E-03   7.1344692E-01  -3.5008922E-01
   1.1442332E+00  -1.9296197E-03   7.2838330E-01  -3.5024002E-01
   1.1490538E+00  -2.3942825E-03   7.5598258E-01  -3.5231242E-01
   1.1540866E+00  -2.2164409E-03   7.7651286E-01  -3.5757494E-01
   1.1595044E+00  -3.1248911E-03   7.8821081E-01  -3.5916665E-01
   1.1629046E+00  -2.4530427E-03   7.9901630E-01  -3.4465063E-01
   1.1684448E+00  -2.1534585E-03   8.3056289E-01  -3.4995431E-01
   1.1742582E+00  -2.4949322E-03   8.5187024E-01  -3.5270089E-01
