  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:20:22  02/26/2024 iqiq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   9.2181039E-01  -2.5737658E-03  -2.8829601E-02   1.2293738E+00
   9.2638314E-01  -3.3223378E-03  -4.5542452E-02   1.2293627E+00
   9.3255919E-01  -2.1727763E-03  -6.2831834E-02   1.2292943E+00
   9.3638015E-01  -3.2245757E-03  -3.9948802E-02   1.2293831E+00
   9.4182485E-01  -2.8370700E-03   4.8220124E-02   1.2299970E+00
   9.4714320E-01  -1.5357934E-03   8.8446021E-02   1.2303140E+00
   9.5106810E-01  -5.3677135E-03   1.0660955E-01   1.2304748E+00
   9.5772243E-01  -4.4060787E-03   1.4014792E-01   1.2306920E+00
   9.6273166E-01  -4.5677437E-03   1.7728281E-01   1.2308999E+00
   9.6531051E-01  -4.2790058E-03   1.9914567E-01   1.2310407E+00
   9.7027355E-01  -4.2989152E-03   2.3770362E-01   1.2313321E+00
   9.7508168E-01  -3.8708895E-03   2.6939958E-01   1.2316616E+00
   9.8239267E-01  -4.8286230E-03   3.0960912E-01   1.2321837E+00
   9.8496425E-01  -4.3533128E-03   3.2778624E-01   1.2323819E+00
   9.9027681E-01  -4.3326295E-03   3.9112028E-01   1.2331606E+00
   9.9597567E-01  -3.0863094E-03   3.9605415E-01   1.2334002E+00
   1.0019437E+00  -4.3588025E-03   4.6248740E-01   1.2339665E+00
   1.0051534E+00  -4.8039928E-03   4.6976709E-01   1.2341863E+00
   1.0119619E+00  -4.7012232E-03   5.2276933E-01   1.2348466E+00
   1.0151066E+00  -4.9889227E-03   5.3787583E-01   1.2350817E+00
   1.0218756E+00  -4.6039228E-03   5.6681579E-01   1.2355767E+00
   1.0253829E+00  -5.4038400E-03   6.1018115E-01   1.2361217E+00
   1.0289099E+00  -5.0591389E-03   6.3002455E-01   1.2364433E+00
   1.0360262E+00  -5.3737788E-03   6.9445741E-01   1.2371150E+00
   1.0396174E+00  -5.0541870E-03   7.0211565E-01   1.2374257E+00
   1.0468702E+00  -5.3373086E-03   7.5449175E-01   1.2383569E+00
   1.0505338E+00  -4.6518766E-03   7.6243442E-01   1.2385900E+00
   1.0542235E+00  -5.4643168E-03   7.7166420E-01   1.2387869E+00
   1.0594045E+00  -6.1432556E-03   8.4362686E-01   1.2395875E+00
   1.0651164E+00  -4.7692242E-03   8.5571635E-01   1.2401986E+00
   1.0700678E+00  -6.5767490E-03   8.7340212E-01   1.2405765E+00
   1.0751598E+00  -5.6782323E-03   9.4378859E-01   1.2412829E+00
   1.0803125E+00  -6.2081506E-03   9.5216852E-01   1.2417059E+00
   1.0849333E+00  -5.8426308E-03   9.6246016E-01   1.2419217E+00
   1.0894234E+00  -5.5667190E-03   1.0026037E+00   1.2423811E+00
   1.0943738E+00  -6.6883708E-03   1.0865822E+00   1.2434566E+00
   1.0998693E+00  -4.7768774E-03   1.0272173E+00   1.2435833E+00
   1.1046803E+00  -7.2740484E-03   1.0828273E+00   1.2439244E+00
   1.1089574E+00  -5.7949265E-03   1.1440213E+00   1.2448715E+00
   1.1139088E+00  -7.2759748E-03   1.1703694E+00   1.2453358E+00
   1.1196407E+00  -6.3197189E-03   1.1829783E+00   1.2456273E+00
   1.1239555E+00  -6.3747014E-03   1.1962444E+00   1.2458392E+00
   1.1287125E+00  -7.3358575E-03   1.2254536E+00   1.2462335E+00
   1.1339571E+00  -6.0861874E-03   1.3177358E+00   1.2475842E+00
   1.1397394E+00  -7.5382791E-03   1.3096272E+00   1.2479750E+00
   1.1428491E+00  -5.7152193E-03   1.2996897E+00   1.2480017E+00
   1.1489120E+00  -7.4777524E-03   1.3006537E+00   1.2482265E+00
   1.1549338E+00  -8.0192899E-03   1.4182122E+00   1.2498196E+00
   1.1581724E+00  -7.7998647E-03   1.4202935E+00   1.2502648E+00
   1.1651434E+00  -5.7851076E-03   1.4110780E+00   1.2506746E+00
   1.1688925E+00  -7.2463574E-03   1.4164963E+00   1.2508518E+00
   1.1729630E+00  -9.4378144E-03   1.4449900E+00   1.2515963E+00
   1.1787970E+00  -5.5396846E-03   1.5348763E+00   1.2534797E+00
   1.1829630E+00  -7.8233825E-03   1.5390378E+00   1.2538246E+00
   1.1883484E+00  -8.6875437E-03   1.5331707E+00   1.2538855E+00
   1.1931362E+00  -7.3201894E-03   1.5719535E+00   1.2541962E+00
   1.1986787E+00  -6.4491332E-03   1.7162066E+00   1.2560897E+00
   1.2028509E+00  -6.1452943E-03   1.6473887E+00   1.2559252E+00
   1.2074509E+00  -6.2260921E-03   1.6280253E+00   1.2559752E+00
   1.2125223E+00  -7.1046199E-03   1.6469741E+00   1.2562326E+00
   1.2181135E+00  -7.6825880E-03   1.8003560E+00   1.2586008E+00
   1.2242779E+00  -4.1249851E-03   1.7294363E+00   1.2590889E+00
   1.2275931E+00  -5.4745506E-03   1.7395285E+00   1.2595021E+00
   1.2310741E+00  -8.1960950E-03   1.8156767E+00   1.2600505E+00
   1.2385669E+00  -5.4904651E-03   1.8368452E+00   1.2610706E+00
   1.2417470E+00  -4.7824699E-03   1.8461514E+00   1.2614475E+00
   1.2479047E+00  -4.0107439E-03   1.9266649E+00   1.2635361E+00
   1.2520250E+00  -3.9002940E-03   1.9112946E+00   1.2654166E+00
   1.2567470E+00  -4.1655856E-03   1.9373361E+00   1.2655858E+00
   1.2624866E+00   1.1533884E-03   2.1153729E+00   1.2664590E+00
   1.2675893E+00  -1.1119855E-02   2.0032449E+00   1.2655376E+00
   1.2714306E+00   2.6857096E-03   2.0083108E+00   1.2652764E+00
   1.2779431E+00  -2.7862308E-03   2.0841303E+00   1.2669885E+00
   1.2828457E+00   1.6073615E-04   2.1443257E+00   1.2710884E+00
   1.2882507E+00  -1.5405925E-03   2.1395717E+00   1.2711145E+00
   1.2911576E+00  -1.2454846E-02   2.1888282E+00   1.2709837E+00
   1.2959155E+00  -7.2773886E-03   2.2015285E+00   1.2717334E+00
   1.3023881E+00   2.4014306E-03   2.2252653E+00   1.2722758E+00
   1.3072605E+00  -6.2097702E-03   2.2761629E+00   1.2728308E+00
   1.3126324E+00  -5.2722115E-03   2.3590672E+00   1.2744788E+00
   1.3155214E+00  -4.0646829E-03   2.3519773E+00   1.2747071E+00
   1.3214352E+00  -3.7294012E-03   2.3491418E+00   1.2750577E+00
   1.3269987E+00  -4.7718994E-03   2.3718514E+00   1.2754941E+00
   1.3299907E+00  -5.8252071E-03   2.4648545E+00   1.2782440E+00
   1.3364247E+00  -4.6460489E-03   2.4700773E+00   1.2791921E+00
   1.3421478E+00  -5.6131822E-03   2.4817958E+00   1.2796109E+00
   1.3452257E+00  -6.4104153E-03   2.4978597E+00   1.2798766E+00
   1.3503951E+00  -7.0780031E-03   2.6188316E+00   1.2817533E+00
   1.3560942E+00  -6.0712821E-03   2.6096928E+00   1.2821453E+00
   1.3622174E+00  -8.7566031E-03   2.6040623E+00   1.2819512E+00
