  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:31:13  02/26/2024 iqbp     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.4358870E-01  -4.0508498E-02   2.3314927E+00   3.2857063E+00
   5.4860413E-01  -5.0118905E-02   2.1313584E+00   3.2816007E+00
   5.5114055E-01  -3.7104435E-02   1.9383910E+00   3.2790275E+00
   5.5369788E-01  -5.3605039E-02   1.8514218E+00   3.2768946E+00
   5.5773485E-01  -5.6109700E-02   1.7266510E+00   3.2737701E+00
   5.6144148E-01  -4.0265117E-02   1.5048099E+00   3.2703812E+00
   5.6439072E-01  -5.4643195E-02   1.4508502E+00   3.2697544E+00
   5.6764227E-01  -4.3088835E-02   1.2279230E+00   3.2664580E+00
   5.7115459E-01  -4.5106806E-02   1.0014794E+00   3.2639184E+00
   5.7495087E-01  -5.2847270E-02   9.6992397E-01   3.2628567E+00
   5.7695723E-01  -4.7741182E-02   9.3120289E-01   3.2619910E+00
   5.8127588E-01  -4.4665895E-02   6.4072019E-01   3.2578576E+00
   5.8359849E-01  -5.5710759E-02   5.4450917E-01   3.2564871E+00
   5.8859783E-01  -4.3354370E-02   2.9909140E-01   3.2514505E+00
   5.9128654E-01  -4.7653086E-02   2.3012185E-01   3.2497323E+00
   5.9410965E-01  -5.9416857E-02   1.2023285E-01   3.2481918E+00
   5.9688610E-01  -5.0610498E-02  -1.4229532E-01   3.2447937E+00
   6.0181707E-01  -4.4501018E-02  -2.5271794E-01   3.2424712E+00
   6.0436392E-01  -4.5721490E-02  -3.9275262E-01   3.2412882E+00
   6.0703814E-01  -5.4605961E-02  -5.4192102E-01   3.2405889E+00
   6.1261022E-01  -4.7093831E-02  -7.8612524E-01   3.2376106E+00
   6.1514395E-01  -4.4494472E-02  -8.4004599E-01   3.2371681E+00
   6.1757857E-01  -5.0043538E-02  -9.7995108E-01   3.2358978E+00
   6.2120104E-01  -6.2271100E-02  -1.1874757E+00   3.2318578E+00
   6.2508154E-01  -4.1195028E-02  -1.3875178E+00   3.2307916E+00
   6.2710625E-01  -3.7324280E-02  -1.4101646E+00   3.2321045E+00
   6.3138568E-01  -4.0211309E-02  -1.5838159E+00   3.2324917E+00
   6.3368714E-01  -1.5623189E-02  -1.6893703E+00   3.2317839E+00
   6.3864106E-01  -6.6563927E-02  -1.9346193E+00   3.2326064E+00
   6.4130527E-01  -6.1809599E-02  -2.0498056E+00   3.2289903E+00
   6.4410275E-01  -5.1250029E-02  -2.1311762E+00   3.2295890E+00
   6.4700967E-01  -6.0243513E-02  -2.5628471E+00   3.2207506E+00
   6.5296352E-01  -6.2264230E-02  -2.5328650E+00   3.2293198E+00
   6.5605879E-01  -6.8461001E-02  -2.5386076E+00   3.2306972E+00
   6.5915900E-01  -3.5084888E-02  -2.6214726E+00   3.2295611E+00
   6.6212153E-01  -3.2947093E-02  -2.8060508E+00   3.2338817E+00
   6.6495544E-01  -9.6839055E-02  -2.8954589E+00   3.2341518E+00
   6.6773325E-01  -6.6312954E-02  -3.0885875E+00   3.2279665E+00
   6.7046332E-01  -5.0625261E-02  -3.2652247E+00   3.2300515E+00
   6.7553586E-01  -6.2386109E-03  -3.5752912E+00   3.2286570E+00
   6.7814326E-01  -3.3235971E-02  -3.5947311E+00   3.2318320E+00
   6.8088108E-01  -1.0543647E-01  -3.5049288E+00   3.2351592E+00
   6.8375582E-01  -9.3596406E-02  -3.7566822E+00   3.2307110E+00
   6.8937230E-01  -6.1137628E-02  -3.9856799E+00   3.2400162E+00
   6.9230455E-01  -9.1802506E-03  -4.1066070E+00   3.2334063E+00
   6.9514978E-01  -2.7306391E-02  -4.4416585E+00   3.2284753E+00
   6.9773418E-01  -4.4261832E-02  -4.4559917E+00   3.2255850E+00
   7.0266920E-01  -1.4373936E-01  -4.4280343E+00   3.2251413E+00
   7.0524746E-01  -2.5981586E-02  -4.4833965E+00   3.2327690E+00
   7.0795459E-01  -3.3447262E-02  -4.5389895E+00   3.2379646E+00
   7.1073788E-01  -4.6898946E-02  -4.6457801E+00   3.2375693E+00
   7.1585399E-01  -2.8902967E-02  -5.0394182E+00   3.2337339E+00
   7.1826607E-01  -5.9199020E-02  -5.0821748E+00   3.2298670E+00
   7.2058839E-01  -2.5254093E-02  -5.0924277E+00   3.2337792E+00
   7.2501457E-01  -1.2106532E-02  -5.2008810E+00   3.2385008E+00
   7.2729290E-01  -2.2689365E-02  -5.2639952E+00   3.2372155E+00
   7.3199975E-01  -7.6267712E-02  -5.4608250E+00   3.2311053E+00
   7.3415726E-01  -1.0745111E-01  -5.5614967E+00   3.2183278E+00
   7.3848283E-01  -8.1733942E-02  -5.7604675E+00   3.2128716E+00
   7.4210519E-01  -4.4100702E-02  -5.8047857E+00   3.2077990E+00
   7.4534917E-01  -5.0838608E-02  -5.9788909E+00   3.2089829E+00
   7.4856621E-01  -1.6025265E-04  -6.0490508E+00   3.2017713E+00
   7.5209898E-01  -2.7729636E-02  -6.1414471E+00   3.2040007E+00
   7.5599384E-01  -3.8408186E-02  -6.2145758E+00   3.2063925E+00
   7.5808853E-01  -3.1660222E-02  -6.3121972E+00   3.2087092E+00
   7.6259732E-01  -1.0607640E-01  -6.3950033E+00   3.2110014E+00
   7.6497245E-01  -7.2009571E-02  -6.4345427E+00   3.2138760E+00
   7.6735693E-01  -7.6097153E-02  -6.5158782E+00   3.2156360E+00
   7.7180624E-01  -2.5239162E-02  -6.6830792E+00   3.2065783E+00
