  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:52:28  02/16/2024 tcgi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      995      0.000E+00      1.713E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.4112014E-01   1.2817553E-02   3.3971756E+00   7.6458287E-01
   2.4259377E-01   8.5960869E-03   3.4271677E+00   7.6343572E-01
   2.4576575E-01   9.0579065E-03   3.4855678E+00   7.6319247E-01
   2.4738358E-01   4.3598167E-03   3.5109684E+00   7.6517051E-01
   2.4908230E-01   1.1916602E-02   3.5484750E+00   7.6391363E-01
   2.5079864E-01   6.9749737E-03   3.5938549E+00   7.6475632E-01
   2.5230345E-01   5.6803892E-03   3.6246207E+00   7.6455760E-01
   2.5386998E-01   7.5197951E-03   3.6204872E+00   7.5990683E-01
   2.5551483E-01   8.3403355E-03   3.6576045E+00   7.5954753E-01
   2.5724193E-01   3.9741425E-03   3.6858995E+00   7.6139069E-01
   2.5898939E-01   3.5600865E-03   3.7146926E+00   7.6336879E-01
   2.6073202E-01   4.9879998E-03   3.7425928E+00   7.6168102E-01
   2.6231965E-01   2.0185346E-03   3.7851868E+00   7.5992751E-01
   2.6384047E-01   6.3128495E-03   3.8170314E+00   7.6056302E-01
   2.6543730E-01   5.5244099E-03   3.8374674E+00   7.5884771E-01
   2.6711401E-01   5.5474024E-03   3.8609972E+00   7.5750607E-01
   2.6884928E-01   5.2417452E-03   3.8846107E+00   7.5649637E-01
   2.7044654E-01   4.5938063E-03   3.9155531E+00   7.4957460E-01
   2.7212363E-01   5.4207509E-03   3.9392223E+00   7.5316221E-01
   2.7386013E-01   7.4132644E-03   3.9596736E+00   7.4987751E-01
   2.7577186E-01   1.6020147E-02   4.0247574E+00   7.4719387E-01
   2.7787954E-01   3.6731455E-03   4.0461645E+00   7.4361891E-01
   2.7901304E-01   1.1147261E-02   4.0543036E+00   7.4309540E-01
   2.8145295E-01   7.8274477E-03   4.0831261E+00   7.4213552E-01
   2.8276512E-01   6.9888323E-03   4.0980697E+00   7.4075824E-01
   2.8414294E-01   9.1063604E-03   4.1151004E+00   7.3975259E-01
   2.8558961E-01   6.9235289E-03   4.1310177E+00   7.3671895E-01
   2.8710863E-01   8.3663445E-03   4.1453733E+00   7.3565543E-01
   2.9033202E-01   3.7870612E-03   4.1836958E+00   7.2982633E-01
   2.9193187E-01   5.7205949E-03   4.2043281E+00   7.2823155E-01
   2.9354957E-01   1.0212013E-02   4.2205429E+00   7.2559953E-01
   2.9516309E-01   1.0518089E-02   4.2396736E+00   7.2385246E-01
   2.9677284E-01   1.3048611E-02   4.2574296E+00   7.2263139E-01
   2.9838011E-01   7.3710945E-03   4.2732325E+00   7.1952349E-01
   2.9990447E-01   8.6271735E-03   4.2919397E+00   7.1795130E-01
   3.0120417E-01   8.3324425E-03   4.3130198E+00   7.1687084E-01
   3.0355400E-01   1.0903459E-02   4.3423486E+00   7.1677554E-01
   3.0532292E-01   1.3790341E-02   4.3409190E+00   7.1831059E-01
   3.0627424E-01   6.7085605E-03   4.3479886E+00   7.1279657E-01
   3.0832198E-01   7.5240862E-03   4.3757305E+00   7.1805793E-01
   3.1057960E-01   1.0346356E-02   4.3788705E+00   7.1007574E-01
   3.1179377E-01   8.5341008E-03   4.3823919E+00   7.0812035E-01
   3.1306863E-01   1.1161557E-02   4.3844752E+00   7.0549577E-01
   3.1581280E-01   1.4141176E-02   4.4057393E+00   7.0173353E-01
   3.1720147E-01   1.0292376E-02   4.4203181E+00   6.9948322E-01
   3.1865957E-01   1.2620663E-02   4.4270635E+00   6.9666821E-01
   3.2011345E-01   6.2998459E-03   4.4406137E+00   6.9488508E-01
   3.2210466E-01   1.5275486E-02   4.4532290E+00   6.9056261E-01
   3.2424614E-01   9.8944185E-03   4.4626451E+00   6.8844992E-01
   3.2529747E-01   1.1206953E-02   4.4668012E+00   6.8760055E-01
   3.2756045E-01   1.1404980E-02   4.4664145E+00   6.8443722E-01
   3.2900524E-01   2.0315873E-02   4.4819975E+00   6.8332392E-01
   3.3056408E-01   1.6378975E-02   4.4892139E+00   6.8571860E-01
   3.3228272E-01   5.0060679E-03   4.4979897E+00   6.7869139E-01
   3.3417749E-01   1.5952658E-02   4.4997773E+00   6.7848313E-01
   3.3626649E-01   7.6744552E-03   4.4951830E+00   6.7581320E-01
   3.3738998E-01   8.3138878E-03   4.4841886E+00   6.7459929E-01
