  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:13:18  02/14/2024 liqi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      943      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.4133832E-01   7.5311842E-03  -1.6251674E+00   1.8404233E+00
   5.4333192E-01   2.4479548E-03  -1.7619383E+00   1.8401456E+00
   5.4440409E-01   1.1629375E-02  -1.8696640E+00   1.8398385E+00
   5.4671192E-01  -3.7021289E-04  -1.9103112E+00   1.8397309E+00
   5.4795307E-01  -2.9748587E-03  -1.9477763E+00   1.8396447E+00
   5.5043697E-01   8.1046420E-04  -1.9898214E+00   1.8395721E+00
   5.5176514E-01   2.3853686E-03  -2.0377698E+00   1.8394790E+00
   5.5315971E-01   1.4635288E-02  -2.1004889E+00   1.8393500E+00
   5.5456680E-01   1.3612667E-02  -2.1509705E+00   1.8391980E+00
   5.5715501E-01  -1.9962518E-03  -2.1907516E+00   1.8389413E+00
   5.5854696E-01   6.9573391E-03  -2.3825724E+00   1.8384441E+00
   5.5995965E-01   3.0291514E-03  -2.3955028E+00   1.8382633E+00
   5.6137651E-01   5.5801598E-03  -2.4091437E+00   1.8380404E+00
   5.6419933E-01   1.7451398E-02  -2.4496484E+00   1.8376058E+00
   5.6563365E-01   8.4783649E-03  -2.5149217E+00   1.8374450E+00
   5.6705546E-01   3.7353239E-03  -2.5772069E+00   1.8372284E+00
   5.6845313E-01   1.6400623E-03  -2.6507339E+00   1.8369887E+00
   5.7112050E-01  -2.4929666E-05  -2.7350054E+00   1.8362601E+00
   5.7245654E-01   2.7694171E-03  -2.7954075E+00   1.8360298E+00
   5.7377768E-01   1.6014267E-02  -2.8388414E+00   1.8357847E+00
   5.7507926E-01   4.8694322E-03  -2.8655176E+00   1.8355716E+00
   5.7758319E-01   1.3511367E-03  -2.8943233E+00   1.8351309E+00
   5.7884407E-01   1.8543862E-03  -2.9861639E+00   1.8346713E+00
   5.8139336E-01  -1.9373283E-03  -3.0856788E+00   1.8339964E+00
   5.8256346E-01   1.4531746E-02  -3.1068139E+00   1.8336116E+00
   5.8369666E-01   3.4259334E-03  -3.1111255E+00   1.8334843E+00
   5.8610928E-01   2.3849073E-03  -3.2285464E+00   1.8329934E+00
   5.8731830E-01  -8.4858999E-04  -3.2873344E+00   1.8324138E+00
   5.8969951E-01   5.8746319E-03  -3.3786516E+00   1.8318118E+00
   5.9086758E-01   5.3975969E-03  -3.3859537E+00   1.8316420E+00
   5.9318501E-01   5.3273962E-04  -3.5055377E+00   1.8310488E+00
   5.9432679E-01  -1.1530938E-04  -3.5179451E+00   1.8307047E+00
   5.9654951E-01   4.6650996E-03  -3.6331975E+00   1.8302257E+00
   5.9766459E-01   6.5834873E-04  -3.6438754E+00   1.8300967E+00
   5.9984624E-01   5.9478334E-03  -3.7051687E+00   1.8295830E+00
   6.0194165E-01  -5.3052469E-03  -3.8170607E+00   1.8288968E+00
   6.0301995E-01   7.7247777E-04  -3.8397512E+00   1.8287741E+00
   6.0515833E-01   3.9263503E-03  -3.9370074E+00   1.8282509E+00
   6.0616606E-01   5.4341363E-04  -3.8905842E+00   1.8281355E+00
   6.0826266E-01   4.1103442E-03  -4.0116849E+00   1.8277105E+00
   6.1035275E-01   5.6271756E-04  -4.0875554E+00   1.8273393E+00
   6.1135250E-01   5.9438427E-03  -4.1356697E+00   1.8270649E+00
   6.1330581E-01  -8.4825826E-04  -4.1571770E+00   1.8269078E+00
   6.1535132E-01  -9.8130817E-04  -4.2565374E+00   1.8266542E+00
   6.1636662E-01   5.7709469E-03  -4.3151641E+00   1.8264846E+00
   6.1828762E-01   2.2251983E-03  -4.3102016E+00   1.8263499E+00
   6.2027180E-01  -2.1265722E-03  -4.4011559E+00   1.8261474E+00
   6.2225908E-01  -3.6670368E-03  -4.4844499E+00   1.8260987E+00
   6.2323773E-01  -3.8264336E-03  -4.5018792E+00   1.8260686E+00
   6.2512606E-01  -5.0729993E-03  -4.5027452E+00   1.8260143E+00
   6.2709039E-01   9.1240536E-03  -4.6762962E+00   1.8258033E+00
   6.2904263E-01   1.7762891E-03  -4.7268577E+00   1.8256215E+00
   6.3087535E-01   1.7064707E-03  -4.7249675E+00   1.8253973E+00
   6.3180536E-01  -3.5973550E-03  -4.7328119E+00   1.8253261E+00
   6.3372415E-01  -3.6488529E-03  -4.8504643E+00   1.8252565E+00
   6.3563389E-01  -3.8889786E-03  -4.8939919E+00   1.8253053E+00
   6.3744861E-01   3.7416643E-03  -4.9686522E+00   1.8253440E+00
   6.3930112E-01   1.8738527E-03  -4.9650187E+00   1.8253605E+00
   6.4118260E-01  -4.8679863E-03  -5.0723319E+00   1.8252542E+00
   6.4212221E-01   7.6956471E-04  -5.1077628E+00   1.8251789E+00
   6.4392471E-01  -1.3977396E-03  -5.1960559E+00   1.8249462E+00
   6.4567906E-01  -7.7807400E-03  -5.1453576E+00   1.8248856E+00
   6.4753014E-01  -6.3220933E-03  -5.2542715E+00   1.8247904E+00
   6.4938807E-01  -1.3259304E-03  -5.3214235E+00   1.8247080E+00
   6.5119529E-01  -1.7118334E-03  -5.3674288E+00   1.8245136E+00
   6.5292627E-01  -4.5789086E-05  -5.3990650E+00   1.8243146E+00
