  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   14:30:35  02/22/2024 pnht     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing tfxob, tfyob, tfzob       
       1      999      0.000E+00      3.341E+00
   time              tfxob_1         tfyob_1         tfzob_1
   4.6060848E-01   1.8648381E-03   4.5303712E+00   1.9189678E+00
   4.6442840E-01  -9.0488273E-04   4.3516860E+00   1.9179730E+00
   4.6726069E-01  -1.4840249E-03   4.2346053E+00   1.9173617E+00
   4.7099689E-01  -5.6245853E-03   4.1120896E+00   1.9166416E+00
   4.7469118E-01  -8.0331456E-04   4.0049701E+00   1.9158449E+00
   4.7743863E-01  -2.5753379E-03   3.7911160E+00   1.9154166E+00
   4.8108041E-01  -7.7980021E-03   3.6066797E+00   1.9149735E+00
   4.8470646E-01  -2.8967545E-03   3.5725355E+00   1.9145664E+00
   4.8741746E-01  -3.9126677E-03   3.4991131E+00   1.9140836E+00
   4.9102452E-01  -1.8664408E-03   3.3437448E+00   1.9131597E+00
   4.9463409E-01  -5.4994463E-03   3.0454907E+00   1.9120249E+00
   4.9735001E-01  -5.1508388E-03   2.9706812E+00   1.9112449E+00
   5.0099856E-01  -3.3539888E-03   2.8560102E+00   1.9104112E+00
   5.0421637E-01  -1.3201907E-02   2.8531718E+00   1.9094061E+00
   5.0799912E-01  -2.2137831E-03   2.4643173E+00   1.9078579E+00
   5.1081681E-01  -7.0427535E-03   2.4804282E+00   1.9067696E+00
   5.1424170E-01  -6.5960605E-03   2.3894670E+00   1.9049970E+00
   5.1808763E-01  -1.1744546E-02   2.1871567E+00   1.9032533E+00
   5.2101439E-01  -1.0879673E-02   2.0866601E+00   1.9023671E+00
   5.2486891E-01  -7.7470751E-03   1.9218094E+00   1.9015292E+00
   5.2769005E-01  -7.1306447E-03   1.8032042E+00   1.9008123E+00
   5.3140932E-01  -8.1594242E-03   1.5996424E+00   1.8995640E+00
   5.3419191E-01  -3.2884798E-03   1.4667650E+00   1.8985033E+00
   5.3790110E-01  -4.7380948E-03   1.3808856E+00   1.8970436E+00
   5.4077733E-01  -1.5336119E-02   1.2195618E+00   1.8958331E+00
   5.4462230E-01  -1.2222428E-02   1.1271921E+00   1.8944530E+00
   5.4752541E-01  -6.4036585E-03   9.4143409E-01   1.8931564E+00
   5.5144542E-01  -2.0037821E-02   7.6421714E-01   1.8917836E+00
   5.5432945E-01  -1.0042606E-02   6.3871729E-01   1.8908162E+00
   5.5810761E-01  -4.2083608E-03   4.5488620E-01   1.8891071E+00
   5.6091392E-01  -2.0752126E-02   3.4978592E-01   1.8876643E+00
   5.6463331E-01  -1.7931730E-02   2.0353575E-01   1.8860526E+00
   5.6829095E-01  -2.1932898E-03  -4.5319773E-02   1.8836243E+00
