  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:09:47  02/16/2024 cisn     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      858      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.0426946E-01   1.2661410E-02   5.8672662E+00   3.3147151E+00
   3.0658352E-01   1.0762874E-02   5.9207377E+00   3.3143356E+00
   3.0890009E-01   8.4735481E-03   5.9311409E+00   3.3242223E+00
   3.1121191E-01   2.8021244E-04   5.8935895E+00   3.3011086E+00
   3.1352216E-01   1.4399447E-02   5.9394264E+00   3.3058760E+00
   3.1583151E-01   1.3146093E-02   5.9497128E+00   3.3032992E+00
   3.1798664E-01   6.1730770E-03   5.9438558E+00   3.3011038E+00
   3.2024953E-01   1.0602876E-02   5.9522448E+00   3.2978597E+00
   3.2250094E-01   8.4073348E-03   5.9619951E+00   3.2956440E+00
   3.2472348E-01   1.0943503E-02   5.9729095E+00   3.2931502E+00
   3.2691684E-01   9.2252195E-03   5.9672337E+00   3.2912283E+00
   3.2908475E-01   1.1874764E-02   5.9746084E+00   3.2927525E+00
   3.3122769E-01   3.6795898E-03   5.9685726E+00   3.2891686E+00
   3.3334571E-01   3.8714907E-03   5.9327269E+00   3.2838051E+00
   3.3544007E-01   1.0701890E-02   5.9434791E+00   3.2841053E+00
   3.3751214E-01   1.4867950E-02   5.9451423E+00   3.2835681E+00
   3.3960533E-01   6.0143601E-03   5.9382167E+00   3.2796810E+00
   3.4168780E-01   7.8203166E-03   5.9255095E+00   3.2777638E+00
   3.4374481E-01   5.4061976E-03   5.9124751E+00   3.2758746E+00
   3.4580702E-01   1.2199335E-02   5.8934989E+00   3.2738419E+00
   3.4789675E-01   9.9072037E-03   5.8771405E+00   3.2715666E+00
   3.4995362E-01   2.9349956E-05   5.8626146E+00   3.2693179E+00
   3.5197851E-01   9.0977531E-03   5.8414702E+00   3.2675383E+00
   3.5397431E-01   8.2589081E-03   5.8208427E+00   3.2657368E+00
   3.5594341E-01   1.3347355E-02   5.8067279E+00   3.2639842E+00
   3.5788780E-01   1.6512888E-02   5.7743292E+00   3.2628419E+00
   3.5981005E-01   1.3753674E-02   5.7571349E+00   3.2607436E+00
   3.6171192E-01   1.2588412E-02   5.7320843E+00   3.2591798E+00
   3.6359528E-01   1.0893362E-02   5.6936884E+00   3.2575803E+00
   3.6546010E-01   1.0991764E-02   5.6782627E+00   3.2560117E+00
   3.6729252E-01   1.4540544E-02   5.6535406E+00   3.2572603E+00
   3.6909491E-01   1.2219896E-02   5.6400719E+00   3.2530348E+00
   3.7086949E-01   1.4405845E-02   5.6241574E+00   3.2499871E+00
   3.7261969E-01   1.0319773E-02   5.5839062E+00   3.2500262E+00
   3.7434885E-01   2.1969050E-03   5.5588379E+00   3.2468033E+00
   3.7605986E-01   7.0523219E-03   5.5008311E+00   3.2447283E+00
   3.7775481E-01  -2.9214825E-03   5.4938617E+00   3.2416093E+00
   3.7943536E-01   1.7303167E-02   5.4475675E+00   3.2477789E+00
   3.8110268E-01   1.0973546E-02   5.4186082E+00   3.2403507E+00
   3.8275802E-01   5.0708740E-03   5.4011950E+00   3.2441576E+00
   3.8440183E-01   9.0823798E-03   5.3519855E+00   3.2380173E+00
   3.8603398E-01   8.5602934E-03   5.3326468E+00   3.2363579E+00
   3.8765416E-01   1.2422794E-02   5.3048501E+00   3.2353232E+00
   3.8926196E-01   7.4302163E-03   5.2761321E+00   3.2336702E+00
   3.9085722E-01   9.8203430E-03   5.2125783E+00   3.2324426E+00
   3.9243987E-01   2.2530206E-03   5.1895318E+00   3.2304025E+00
   3.9400980E-01   6.7223297E-03   5.1295772E+00   3.2297943E+00
   3.9556691E-01  -4.8858143E-04   5.1029997E+00   3.2282860E+00
   3.9711124E-01   1.8896463E-03   5.0500917E+00   3.2280669E+00
   3.9864287E-01   1.6067697E-04   5.0250511E+00   3.2266996E+00
   4.0016213E-01   6.5939962E-03   4.9951448E+00   3.2257440E+00
   4.0316585E-01   4.6327887E-03   4.8899822E+00   3.2242372E+00
   4.0465191E-01  -4.1796868E-03   4.8685169E+00   3.2228684E+00
   4.0612876E-01   5.6773028E-03   4.8355150E+00   3.2217493E+00
   4.0759736E-01   1.6168848E-03   4.7777419E+00   3.2209086E+00
   4.0905863E-01   9.0978394E-04   4.7527952E+00   3.2201033E+00
   4.1051343E-01   1.7077781E-03   4.7170091E+00   3.2181315E+00
   4.1340694E-01  -1.4535689E-03   4.6363831E+00   3.2147861E+00
   4.1484740E-01  -5.1897333E-04   4.5547624E+00   3.2129982E+00
   4.1628480E-01   2.3467932E-03   4.5353246E+00   3.2115984E+00
   4.1772002E-01  -4.6290071E-03   4.4816031E+00   3.2102358E+00
   4.1915387E-01  -2.5261196E-03   4.4497924E+00   3.2089124E+00
   4.2202058E-01  -4.1697985E-03   4.3758454E+00   3.2062466E+00
   4.2345488E-01  -7.1407449E-03   4.3347487E+00   3.2049611E+00
   4.2489073E-01  -6.5584346E-03   4.2917876E+00   3.2032664E+00
   4.2632875E-01   1.0358625E-03   4.2534933E+00   3.2020767E+00
   4.2776954E-01  -1.4552571E-02   4.2131677E+00   3.2030957E+00
   4.3066186E-01   5.1580821E-03   4.1329994E+00   3.1885815E+00
   4.3211746E-01  -4.3118889E-03   4.0900412E+00   3.1951456E+00
   4.3357381E-01  -6.4173085E-03   3.9890850E+00   3.1960144E+00
   4.3502742E-01   3.0611414E-03   3.9745915E+00   3.1967821E+00
   4.3647662E-01   9.3484391E-03   3.9329822E+00   3.1951671E+00
   4.3792203E-01  -2.4344882E-03   3.8695753E+00   3.1975296E+00
   4.4083139E-01  -1.4547152E-02   3.8344824E+00   3.1942551E+00
   4.4230381E-01  -9.3812887E-03   3.7787676E+00   3.1940327E+00
   4.4379258E-01  -8.5623004E-03   3.7603478E+00   3.1939778E+00
   4.4530079E-01  -2.2286400E-02   3.7430379E+00   3.1946402E+00
   4.4685915E-01  -2.9136904E-02   3.7133715E+00   3.1936276E+00
   4.4846225E-01   2.3404282E-02   3.6544931E+00   3.1929717E+00
   4.5010686E-01   3.2837927E-02   3.5919402E+00   3.1927710E+00
   4.5179501E-01   3.3041309E-03   3.5120535E+00   3.1917846E+00
   4.5353365E-01  -1.8155716E-02   3.3769774E+00   3.1916993E+00
