  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   21:13:44  02/15/2024 jupc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      924      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.5520245E-01  -1.1260023E-02  -1.5579597E+00   3.1304584E+00
   6.5994996E-01  -9.5824087E-03  -1.5156360E+00   3.1305478E+00
   6.6582841E-01  -9.8746251E-03  -1.3614464E+00   3.1232991E+00
   6.6997576E-01  -7.4080979E-03  -1.4002502E+00   3.1272750E+00
   6.7614329E-01  -9.9471705E-03  -1.4595240E+00   3.1263616E+00
   6.7970890E-01  -1.0479193E-02  -1.3678144E+00   3.1291022E+00
   6.8575412E-01  -8.8619282E-03  -1.4643037E+00   3.1283450E+00
   6.9030482E-01  -1.2347838E-02  -1.2839248E+00   3.1238530E+00
   6.9532198E-01  -8.7708924E-03  -1.3647605E+00   3.1243141E+00
   7.0085335E-01  -1.0252701E-02  -1.3677548E+00   3.1251464E+00
   7.0382822E-01  -1.0136946E-02  -1.3518903E+00   3.1254485E+00
   7.1082789E-01  -7.9908650E-03  -1.2683966E+00   3.1265085E+00
   7.1609712E-01  -9.5000528E-03  -1.2378697E+00   3.1273744E+00
   7.1893096E-01  -9.0580415E-03  -1.2196873E+00   3.1276722E+00
   7.2503072E-01  -8.7282117E-03  -1.1949174E+00   3.1277525E+00
   7.2831124E-01  -9.0593146E-03  -1.1943901E+00   3.1276486E+00
   7.3537248E-01  -9.1412915E-03  -1.1835867E+00   3.1271970E+00
   7.3917007E-01  -9.2584994E-03  -1.1771481E+00   3.1270680E+00
   7.4315751E-01  -9.6961530E-03  -1.1483880E+00   3.1263678E+00
   7.5174052E-01  -8.5916584E-03  -1.0274763E+00   3.1221819E+00
   7.5635654E-01  -9.1538597E-03  -1.0531132E+00   3.1220717E+00
   7.6120329E-01  -9.0921707E-03  -1.0741429E+00   3.1225624E+00
   7.6629245E-01  -9.5632318E-03  -1.0763857E+00   3.1233282E+00
   7.7163601E-01  -9.5007103E-03  -1.0593235E+00   3.1242898E+00
   7.7724677E-01  -9.3855327E-03  -9.4555324E-01   3.1284060E+00
   7.8313804E-01  -9.5369676E-03  -9.4759762E-01   3.1282878E+00
   7.8932393E-01  -8.9959353E-03  -9.4358438E-01   3.1279540E+00
   7.9581904E-01  -8.9961868E-03  -8.8541430E-01   3.1256015E+00
   8.0263901E-01  -8.4386151E-03  -8.7682635E-01   3.1253903E+00
   8.0979991E-01  -9.0727527E-03  -8.1807894E-01   3.1247938E+00
   8.1731886E-01  -8.8653564E-03  -8.1363064E-01   3.1248186E+00
   8.2482320E-01  -9.5029576E-03  -7.4511671E-01   3.1256139E+00
   8.3231372E-01  -9.3576740E-03  -7.3611504E-01   3.1257174E+00
   8.3949399E-01  -9.1115171E-03  -6.7455178E-01   3.1269090E+00
   8.4672046E-01  -8.1722997E-03  -6.4040011E-01   3.1272788E+00
   8.5271204E-01  -8.2999161E-03  -5.9103334E-01   3.1274238E+00
   8.5795379E-01  -8.6378874E-03  -5.8461946E-01   3.1274762E+00
   8.6267614E-01  -8.1098070E-03  -5.4541236E-01   3.1280179E+00
   8.6702752E-01  -8.7118968E-03  -5.2503687E-01   3.1279871E+00
   8.7108874E-01  -9.0541448E-03  -4.9881607E-01   3.1279621E+00
   8.7850696E-01  -9.3557304E-03  -4.6896204E-01   3.1282091E+00
   8.8192779E-01  -9.0937112E-03  -4.4943193E-01   3.1284814E+00
   8.8831908E-01  -1.0249545E-02  -3.5831690E-01   3.1287942E+00
   8.9131719E-01  -1.0190576E-02  -3.4241402E-01   3.1289611E+00
   8.9697480E-01  -9.7123217E-03  -3.3929545E-01   3.1293569E+00
