  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:47:44  02/22/2024 jupc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      909      0.000E+00      3.344E+00
   time              pfxob_1         pfyob_1         pfzob_1
   4.6391618E-01  -5.4939341E-02   5.3987627E+00   3.9873478E+00
   4.6812174E-01  -5.6812290E-02   5.2958689E+00   3.9876206E+00
   4.7021621E-01  -5.7150714E-02   5.1847348E+00   3.9878209E+00
   4.7438112E-01  -5.9009600E-02   5.0124617E+00   3.9881525E+00
   4.7850823E-01  -5.9336808E-02   4.8273969E+00   3.9884763E+00
   4.8055670E-01  -5.9932470E-02   4.7906785E+00   3.9885621E+00
   4.8462313E-01  -6.1709523E-02   4.6005406E+00   3.9889894E+00
   4.8865587E-01  -6.1744612E-02   4.4281039E+00   3.9894891E+00
   4.9065825E-01  -6.1513260E-02   4.3396173E+00   3.9897528E+00
   4.9464038E-01  -6.5240294E-02   4.1173739E+00   3.9904699E+00
   4.9859357E-01  -6.5496869E-02   3.9936278E+00   3.9910274E+00
   5.0056320E-01  -6.8262771E-02   3.9741895E+00   3.9911540E+00
   5.0448453E-01  -6.8025559E-02   3.8420129E+00   3.9915705E+00
   5.0838095E-01  -6.3789427E-02   3.6522534E+00   3.9914222E+00
   5.1031947E-01  -6.8118781E-02   3.6309776E+00   3.9913199E+00
   5.1417667E-01  -6.9979534E-02   3.4968638E+00   3.9908845E+00
   5.1800811E-01  -7.2237641E-02   3.2755630E+00   3.9902077E+00
   5.2181518E-01  -7.2256416E-02   2.9986374E+00   3.9884448E+00
   5.2371031E-01  -7.3527224E-02   2.9679585E+00   3.9881802E+00
   5.2748531E-01  -7.6542333E-02   2.8558722E+00   3.9873476E+00
   5.3123999E-01  -7.3806778E-02   2.7307346E+00   3.9866350E+00
   5.3498286E-01  -7.8221396E-02   2.6003373E+00   3.9856322E+00
   5.3871089E-01  -8.0415092E-02   2.3998687E+00   3.9839499E+00
   5.4056758E-01  -8.2787462E-02   2.3474870E+00   3.9834712E+00
   5.4427516E-01  -8.5255265E-02   2.1167886E+00   3.9817708E+00
   5.4798007E-01  -8.3593294E-02   1.9245080E+00   3.9801745E+00
   5.5169612E-01  -8.2983904E-02   1.7948216E+00   3.9789753E+00
   5.5544198E-01  -8.8505380E-02   1.6134790E+00   3.9776466E+00
   5.5733287E-01  -8.2195975E-02   1.5138426E+00   3.9768455E+00
   5.6115842E-01  -8.5060924E-02   1.2809595E+00   3.9745266E+00
   5.6501710E-01  -8.1325829E-02   1.1404823E+00   3.9730396E+00
   5.6695521E-01  -9.1353253E-02   1.0640724E+00   3.9724879E+00
   5.7084394E-01  -9.0170801E-02   8.8643444E-01   3.9713624E+00
   5.7474452E-01  -9.3109094E-02   6.9553351E-01   3.9699051E+00
   5.7865560E-01  -9.1963291E-02   4.2271692E-01   3.9673049E+00
