  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   22:11:33  02/15/2024 tgtc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.932E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.0849122E-01   2.8420230E-03  -1.8578389E+00   6.8456620E-01
   5.1149279E-01   1.4207473E-03  -1.8664033E+00   6.8404490E-01
   5.1731926E-01   1.9572563E-03  -1.8814856E+00   6.8381143E-01
   5.2291983E-01   2.9622533E-03  -1.8753086E+00   6.8418437E-01
   5.2831328E-01   2.8950495E-03  -1.8443282E+00   6.8422687E-01
   5.3352201E-01   2.3861129E-03  -1.8209066E+00   6.8424827E-01
   5.3857011E-01   2.8498485E-03  -1.8160344E+00   6.8403435E-01
   5.4245567E-01   3.2143642E-03  -1.8098950E+00   6.8371087E-01
   5.4665458E-01   2.6488663E-03  -1.8009233E+00   6.8388200E-01
   5.5126393E-01   2.7815986E-03  -1.7838607E+00   6.8391609E-01
   5.5813050E-01   2.9258060E-03  -1.7685351E+00   6.8357038E-01
   5.6266278E-01   3.3629911E-03  -1.7288157E+00   6.8303055E-01
   5.6713772E-01   2.6458646E-03  -1.7396754E+00   6.8233812E-01
   5.7155055E-01   2.9977045E-03  -1.7504286E+00   6.8226284E-01
   5.7592088E-01   3.3311788E-03  -1.7389678E+00   6.8247467E-01
   5.8242476E-01   3.2149812E-03  -1.6735959E+00   6.8302149E-01
   5.8654153E-01   2.9122592E-03  -1.6926022E+00   6.8307191E-01
   5.9081554E-01   3.4728607E-03  -1.6972713E+00   6.8323368E-01
   5.9689140E-01   2.9177279E-03  -1.6550356E+00   6.8382299E-01
   6.0094321E-01   2.3614087E-03  -1.6210159E+00   6.8268037E-01
   6.0693163E-01   2.2675651E-03  -1.6089861E+00   6.8300933E-01
   6.1097246E-01   2.0342222E-03  -1.6042374E+00   6.8338770E-01
   6.1690950E-01   1.9919407E-03  -1.5896389E+00   6.8321407E-01
   6.2078464E-01   2.0358802E-03  -1.5641671E+00   6.8338835E-01
   6.2608814E-01   2.4293582E-03  -1.5493846E+00   6.8346542E-01
   6.3114017E-01   2.0829160E-03  -1.5286976E+00   6.8364364E-01
   6.3615906E-01   2.3776852E-03  -1.5172772E+00   6.8385834E-01
   6.4139825E-01   2.3408150E-03  -1.4935640E+00   6.8438178E-01
   6.4672893E-01   2.4716575E-03  -1.4748691E+00   6.8454194E-01
   6.5019870E-01   2.5170967E-03  -1.4623641E+00   6.8446869E-01
   6.5533465E-01   2.7022855E-03  -1.4478076E+00   6.8458331E-01
   6.6032130E-01   2.4684959E-03  -1.4290844E+00   6.8490422E-01
   6.6506314E-01   2.3979917E-03  -1.4034837E+00   6.8542796E-01
   6.6989809E-01   2.4592187E-03  -1.3864666E+00   6.8590283E-01
   6.7494875E-01   2.1461518E-03  -1.3789554E+00   6.8601394E-01
   6.8116534E-01   1.9074160E-03  -1.3520035E+00   6.8620890E-01
   6.8457514E-01   1.7295089E-03  -1.3407900E+00   6.8900234E-01
   6.8961519E-01   2.6120208E-03  -1.3170736E+00   6.8677253E-01
