  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:05:49  02/16/2024 liqi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   7.7865803E-01   1.3479318E-02  -5.5742364E+00   5.1341486E-01
   7.8139585E-01   1.9057062E-02  -5.6020327E+00   5.2068257E-01
   7.8498667E-01   7.5274240E-03  -5.7134767E+00   5.2890301E-01
   7.8858060E-01   1.7315419E-02  -5.7475948E+00   5.3260142E-01
   7.9197067E-01  -7.3906188E-03  -5.7886848E+00   5.3860080E-01
   7.9476321E-01   1.5328221E-02  -5.8231301E+00   5.4159546E-01
   7.9822397E-01  -8.1453361E-03  -5.8703580E+00   5.4505724E-01
   8.0208313E-01  -9.3435245E-03  -5.9490833E+00   5.5171013E-01
   8.0517024E-01   1.5110326E-02  -6.0046320E+00   5.5652285E-01
   8.0857050E-01  -1.3045484E-03  -6.0575728E+00   5.5527794E-01
   8.1199396E-01   4.5717629E-03  -6.1272264E+00   5.6213772E-01
   8.1473088E-01  -2.1800458E-02  -6.1257648E+00   5.7970983E-01
   8.1789923E-01  -6.9831721E-03  -6.1910191E+00   5.7203913E-01
   8.2226604E-01  -4.6449548E-04  -6.2379003E+00   5.7765222E-01
   8.2532877E-01   5.8448832E-02  -6.2965612E+00   5.8523959E-01
   8.2827353E-01   2.1140182E-02  -6.3643818E+00   5.8681184E-01
   8.3156753E-01   1.2730759E-02  -6.3860102E+00   5.9179431E-01
   8.3494091E-01   2.4592927E-02  -6.4453502E+00   5.9618443E-01
   8.3837289E-01   2.0689407E-02  -6.4863262E+00   6.0050178E-01
   8.4161335E-01   5.7589398E-03  -6.4866300E+00   6.0394484E-01
   8.4503585E-01   1.4442489E-03  -6.5997562E+00   6.0887730E-01
   8.4803098E-01   8.4940949E-03  -6.6022320E+00   6.0901433E-01
   8.5204470E-01  -1.0211468E-02  -6.6403408E+00   6.1385912E-01
   8.5500187E-01   1.6444869E-02  -6.6798701E+00   6.1719108E-01
   8.5814613E-01   4.1136213E-02  -6.7130432E+00   6.1844504E-01
   8.6230075E-01  -4.5102485E-03  -6.7744379E+00   6.2385166E-01
