  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:32:44  03/20/2024 txso     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   7.2488850E-01   1.3985842E-02  -5.3546729E+00   4.5342287E-01
   7.2842866E-01  -1.2339137E-02  -5.4295678E+00   4.6159121E-01
   7.3195845E-01   2.4541203E-02  -5.5151744E+00   4.7401822E-01
   7.3469895E-01   1.4455541E-03  -5.5789409E+00   4.7438979E-01
   7.3834920E-01  -1.9607957E-02  -5.6684723E+00   4.8761594E-01
   7.4210501E-01   2.1742759E-02  -5.7422695E+00   4.9174139E-01
   7.4484479E-01  -4.9352744E-03  -5.7567935E+00   5.0044495E-01
   7.4807250E-01   5.3221150E-03  -5.8166528E+00   5.0528979E-01
   7.5125849E-01   3.0263704E-03  -5.9374542E+00   5.1277769E-01
   7.5488144E-01  -4.4076745E-03  -5.9662118E+00   5.1121712E-01
   7.5827670E-01  -8.0660060E-03  -6.1129689E+00   5.1556647E-01
   7.6193422E-01   6.0659191E-03  -6.1591644E+00   5.2447349E-01
   7.6480806E-01  -2.1346359E-02  -6.1509919E+00   5.2889508E-01
   7.6807004E-01   2.1326521E-02  -6.2827473E+00   5.3390259E-01
   7.7158701E-01   1.0571526E-02  -6.2989702E+00   5.4624742E-01
   7.7530229E-01   2.0543473E-02  -6.3133669E+00   5.5054766E-01
   7.7822959E-01   3.6948410E-04  -6.3734450E+00   5.5393720E-01
   7.8178775E-01   2.6750637E-02  -6.4634614E+00   5.6149113E-01
   7.8463042E-01   6.7600743E-03  -6.4996567E+00   5.6654710E-01
   7.8849179E-01  -5.1918677E-03  -6.4728022E+00   5.6892598E-01
   7.9130960E-01  -8.0330558E-03  -6.5897870E+00   5.7363993E-01
   7.9527688E-01   3.9752722E-02  -6.6063638E+00   5.7666248E-01
   7.9870737E-01   3.9854079E-02  -6.7205930E+00   5.7967484E-01
   8.0182207E-01  -5.4408633E-03  -6.7640691E+00   5.8517021E-01
   8.0479980E-01   3.8489718E-02  -6.8282614E+00   5.9118319E-01
   8.0843121E-01   2.1570872E-03  -6.8553734E+00   5.9542894E-01
   8.1201237E-01   4.1315187E-02  -6.9148550E+00   6.0165328E-01
   8.1486064E-01   1.2876398E-02  -6.9455476E+00   6.0629195E-01
   8.1843209E-01   7.4929139E-03  -6.9919429E+00   6.0933673E-01
   8.2154936E-01   1.6949356E-03  -7.0261021E+00   6.1188143E-01
   8.2533842E-01   2.2344135E-02  -7.0830612E+00   6.1689651E-01
   8.2845032E-01   1.4962958E-02  -7.1025791E+00   6.1831540E-01
   8.3153868E-01  -8.4525684E-04  -7.1331196E+00   6.1969429E-01
   8.3536124E-01   1.9932693E-02  -7.1256733E+00   6.1999762E-01
   8.3845186E-01  -1.0459909E-02  -7.2040629E+00   6.2430942E-01
   8.4144372E-01   1.5098814E-02  -7.2569580E+00   6.2319702E-01
   8.4491789E-01   2.0290092E-02  -7.2526803E+00   6.2075096E-01
   8.4815437E-01   6.8385759E-03  -7.2917762E+00   6.2759691E-01
   8.5190737E-01  -1.4025883E-02  -7.3373737E+00   6.2896931E-01
   8.5488153E-01   2.6136070E-02  -7.3709078E+00   6.3331169E-01
   8.5866058E-01   5.3151008E-03  -7.3662715E+00   6.2900060E-01
   8.6160755E-01   3.5087503E-02  -7.4314923E+00   6.3175237E-01
   8.6559576E-01   1.7554207E-02  -7.4157028E+00   6.3643920E-01
   8.6853987E-01   2.6263451E-04  -7.4608912E+00   6.3216168E-01
   8.7144846E-01   2.4964649E-02  -7.4997602E+00   6.3860595E-01
   8.7530184E-01   2.9221743E-02  -7.5154233E+00   6.4306569E-01
   8.7826753E-01   8.4215635E-03  -7.5205016E+00   6.4615506E-01
   8.8218659E-01   6.2711854E-03  -7.5391130E+00   6.4019126E-01
   8.8509542E-01   3.3738106E-02  -7.5554972E+00   6.5099436E-01
   8.8895988E-01   1.2954276E-02  -7.5866990E+00   6.4951009E-01
   8.9199567E-01   3.2380458E-02  -7.5884004E+00   6.5041023E-01
   8.9501017E-01   1.6347080E-02  -7.6128287E+00   6.5501779E-01
   8.9872164E-01   1.7583365E-02  -7.6164074E+00   6.5088212E-01
   9.0237987E-01   2.9623831E-02  -7.6103230E+00   6.5763444E-01
   9.0508378E-01   2.5073243E-02  -7.6212077E+00   6.5943742E-01
   9.0887678E-01   9.2536574E-03  -7.6346774E+00   6.5831667E-01
   9.1215742E-01   3.1510092E-02  -7.6512604E+00   6.6436231E-01
   9.1498947E-01   2.1353884E-02  -7.6169968E+00   6.5691251E-01
   9.1909772E-01   1.7626464E-02  -7.6527133E+00   6.5861690E-01
   9.2216957E-01   9.4421739E-03  -7.6745801E+00   6.6618794E-01
   9.2528957E-01   4.6273437E-03  -7.5759382E+00   6.6205108E-01
   9.2842710E-01   2.3795370E-02  -7.6149635E+00   6.5725178E-01
   9.3200761E-01   5.0704394E-02  -7.6381125E+00   6.6484338E-01
   9.3543595E-01   4.2922283E-03  -7.6539974E+00   6.5699571E-01
   9.3836761E-01   1.3090179E-02  -7.6493554E+00   6.6663200E-01
   9.4244063E-01   1.0014169E-02  -7.6487279E+00   6.7120230E-01
   9.4522959E-01   2.9020764E-02  -7.6140289E+00   6.7302525E-01
