  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:04:42  03/14/2024 ttgt     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       4     1001      1.033E-02      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.5085337E-01  -2.6227754E-02  -6.1662769E-01   1.9196137E+00
   5.5450386E-01  -1.8506667E-02  -8.6978322E-01   1.9186614E+00
   5.5814564E-01  -2.9699156E-02  -9.7384769E-01   1.9178435E+00
   5.6086111E-01  -1.6496239E-02  -1.0798513E+00   1.9173647E+00
   5.6443566E-01  -2.1676816E-02  -1.2730869E+00   1.9158514E+00
   5.6798661E-01  -2.5722813E-02  -1.4116278E+00   1.9152757E+00
   5.7143736E-01  -1.7549759E-02  -1.6180985E+00   1.9145149E+00
   5.7418144E-01  -1.1157538E-02  -1.7873566E+00   1.9132805E+00
   5.7786900E-01  -1.8234389E-02  -1.9272487E+00   1.9122908E+00
   5.8129317E-01  -4.4531193E-02  -2.0601580E+00   1.9119802E+00
   5.8496940E-01  -2.0485913E-02  -2.1969647E+00   1.9110034E+00
   5.8772433E-01  -2.0381702E-02  -2.3985415E+00   1.9096918E+00
   5.9155744E-01  -4.4350699E-02  -2.5822043E+00   1.9091238E+00
   5.9443939E-01  -2.5964430E-02  -2.6629550E+00   1.9088500E+00
   5.9746188E-01  -8.6099468E-03  -2.8634970E+00   1.9080895E+00
   6.0161144E-01  -3.4331027E-02  -3.0484893E+00   1.9071122E+00
   6.0467875E-01  -1.2643674E-02  -3.1549208E+00   1.9065179E+00
   6.0772884E-01  -7.5792791E-03  -3.2961404E+00   1.9055898E+00
   6.1182493E-01  -5.5783473E-02  -3.4888649E+00   1.9045368E+00
   6.1496246E-01  -4.0157936E-03  -3.7169478E+00   1.9039643E+00
   6.1817461E-01  -2.5970763E-02  -3.8427103E+00   1.9032061E+00
   6.2137771E-01  -6.8302721E-02  -3.9514999E+00   1.9024473E+00
   6.2440807E-01   4.7477288E-03  -4.0453596E+00   1.9018029E+00
   6.2847942E-01  -3.5665162E-02  -4.3491888E+00   1.9008365E+00
   6.3134736E-01  -5.6100484E-02  -4.5213432E+00   1.8998277E+00
   6.3474035E-01  -1.0413775E-01  -4.6169167E+00   1.8990972E+00
   6.3775688E-01  -3.1117076E-02  -4.8727016E+00   1.8983862E+00
   6.4177513E-01   4.7807969E-02  -4.8668623E+00   1.8968797E+00
   6.4447695E-01  -1.4000218E-01  -5.1836762E+00   1.8965495E+00
   6.4839113E-01  -4.0854909E-02  -5.2082744E+00   1.8959414E+00
   6.5103436E-01  -7.9113487E-03  -5.4415021E+00   1.8954724E+00
   6.5482271E-01  -7.5286459E-03  -5.4771986E+00   1.8948041E+00
   6.5805393E-01  -1.5961125E-02  -5.8501129E+00   1.8930607E+00
   6.6188252E-01  -4.8376713E-02  -5.9040351E+00   1.8923849E+00
   6.6495174E-01  -3.2285538E-02  -6.0652905E+00   1.8919152E+00
   6.6801190E-01  -1.4348858E-03  -6.2239113E+00   1.8904818E+00
   6.7099005E-01  -1.4249782E-01  -6.3872142E+00   1.8893732E+00
   6.7463732E-01  -1.0083266E-02  -6.2953711E+00   1.8885055E+00
   6.7854154E-01   5.2033737E-02  -7.0653691E+00   1.8871046E+00
   6.8151748E-01  -7.0828676E-02  -7.0384951E+00   1.8862685E+00
   6.8502980E-01  -5.1520888E-02  -7.0213890E+00   1.8859131E+00
   6.8831784E-01  -6.2657744E-02  -7.2138577E+00   1.8843443E+00
   6.9152015E-01  -3.0847719E-02  -7.2457342E+00   1.8833594E+00
   6.9523144E-01  -2.7102323E-02  -7.5120907E+00   1.8818620E+00
   6.9793475E-01  -7.5246627E-04  -7.5886278E+00   1.8805164E+00
   7.0149934E-01   2.4853181E-02  -7.7197399E+00   1.8792373E+00
   7.0499992E-01  -1.1459299E-01  -7.7687273E+00   1.8782381E+00
   7.0856738E-01  -6.3392743E-02  -8.1062994E+00   1.8763729E+00
   7.1118253E-01  -6.6062927E-02  -8.0226669E+00   1.8758909E+00
   7.1468091E-01  -5.2559629E-02  -8.2417097E+00   1.8748410E+00
   7.1812356E-01   6.7352608E-02  -8.4038200E+00   1.8716662E+00
   7.2153181E-01  -9.3513697E-02  -8.3801594E+00   1.8705795E+00
   7.2495180E-01  -3.5475098E-02  -8.6722794E+00   1.8701909E+00
   7.2833449E-01  -2.6382383E-02  -8.8255768E+00   1.8691138E+00
   7.3171932E-01  -8.4124714E-02  -8.8554392E+00   1.8673682E+00
   7.3505056E-01  -4.4421494E-02  -8.9437971E+00   1.8648196E+00
   7.3842043E-01  -1.4926811E-02  -9.0008287E+00   1.8642663E+00
   7.4164087E-01   1.1315374E-02  -9.2457066E+00   1.8628420E+00
   7.4495471E-01  -7.2509497E-02  -9.2773151E+00   1.8620634E+00
   7.4818224E-01  -1.5734677E-01  -9.3405561E+00   1.8558493E+00
