  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:38:25  03/07/2024 ntjb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   4.0426797E-01  -5.6824367E-03   6.6211915E+00   1.9397942E+00
   4.0771782E-01  -6.5839258E-03   6.4550681E+00   1.9396101E+00
   4.1112021E-01  -9.0609612E-03   6.2885766E+00   1.9394828E+00
   4.1448027E-01  -9.1109807E-03   6.0584588E+00   1.9394630E+00
   4.1779962E-01  -8.1064040E-03   5.8411942E+00   1.9393682E+00
   4.2107648E-01  -1.2757524E-02   5.6982718E+00   1.9393358E+00
   4.2431009E-01  -1.1215082E-02   5.4798169E+00   1.9392725E+00
   4.2750296E-01  -1.2623013E-02   5.3133287E+00   1.9391010E+00
   4.3065846E-01  -1.4398485E-02   5.1662841E+00   1.9390516E+00
   4.3455914E-01  -1.5738631E-02   4.9043818E+00   1.9388691E+00
   4.3765321E-01  -1.2295241E-02   4.7763371E+00   1.9388815E+00
   4.4071600E-01  -1.7629044E-02   4.6051850E+00   1.9389304E+00
   4.4448650E-01  -1.5257524E-02   4.3687572E+00   1.9388162E+00
   4.4749781E-01  -2.2378072E-02   4.1916685E+00   1.9388976E+00
   4.5125929E-01  -2.2431308E-02   4.0001960E+00   1.9387707E+00
   4.5423833E-01  -2.2772152E-02   3.8132308E+00   1.9387512E+00
   4.5790613E-01  -2.1299880E-02   3.5851779E+00   1.9387896E+00
   4.6081504E-01  -2.7485393E-02   3.4317050E+00   1.9386685E+00
   4.6443909E-01  -2.4688780E-02   3.2322755E+00   1.9385633E+00
   4.6733311E-01  -2.1188777E-02   3.0755558E+00   1.9384420E+00
   4.7102886E-01  -3.1043870E-02   2.7876017E+00   1.9382209E+00
   4.7400078E-01  -2.3290433E-02   2.7241521E+00   1.9381164E+00
   4.7759441E-01  -2.3967601E-02   2.5026901E+00   1.9380763E+00
   4.8118761E-01  -1.9893156E-02   2.3001709E+00   1.9377908E+00
   4.8414430E-01  -2.1156276E-02   2.0715842E+00   1.9375741E+00
   4.8790753E-01  -2.9002527E-02   1.9345765E+00   1.9375106E+00
   4.9097317E-01  -3.3821747E-02   1.7520202E+00   1.9374514E+00
   4.9429229E-01  -2.1542581E-02   1.7367224E+00   1.9381285E+00
   4.9769574E-01  -3.6708016E-02   1.3123937E+00   1.9374287E+00
   5.0094581E-01  -2.8653225E-02   1.2501373E+00   1.9365008E+00
   5.0473571E-01  -4.4067200E-02   1.1372259E+00   1.9357262E+00
   5.0777972E-01  -6.2293939E-02   8.7613422E-01   1.9344608E+00
