  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:28:01  03/14/2024 upci     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.5058942E-01   1.6517775E-02   8.3895531E+00   5.7576728E-01
   3.5393590E-01   1.6799225E-02   8.1542072E+00   5.6833816E-01
   3.5750991E-01   5.0803762E-02   9.2856054E+00   5.7107377E-01
   3.6075601E-01   5.1259525E-05   7.9674678E+00   5.7344443E-01
   3.6420444E-01   2.3519246E-02   7.8701549E+00   5.4770303E-01
   3.6750445E-01   3.8003601E-02   7.8502059E+00   5.4298168E-01
   3.7109697E-01   7.8817867E-03   8.2970371E+00   6.3340926E-01
   3.7371287E-01   1.9086689E-02   7.3482184E+00   5.0281036E-01
   3.7724149E-01   2.9255006E-02   8.3662777E+00   5.4216468E-01
   3.8114089E-01   2.1901350E-03   7.6345878E+00   5.7572275E-01
   3.8409600E-01   4.9830675E-02   7.7218180E+00   5.5536723E-01
   3.8704211E-01   2.1995651E-02   7.6549234E+00   5.4904532E-01
   3.9093372E-01   3.5603516E-02   7.4560833E+00   5.4141766E-01
   3.9429873E-01   5.5344503E-02   7.1651239E+00   5.3338879E-01
   3.9737776E-01   7.7875000E-03   7.1414371E+00   5.6045681E-01
   4.0061817E-01   9.9062156E-03   7.3767729E+00   5.5682230E-01
   4.0414584E-01   3.6577951E-02   7.0760846E+00   5.3044641E-01
   4.0729028E-01   3.1233691E-02   6.7858891E+00   5.1372218E-01
   4.1085112E-01   1.3948482E-02   6.7670503E+00   5.0004113E-01
   4.1375300E-01   1.9914379E-02   6.8192086E+00   5.0093013E-01
   4.1758138E-01  -2.7702171E-02   6.6410942E+00   5.0962549E-01
   4.2047685E-01   2.1043710E-02   6.0192537E+00   5.5931377E-01
   4.2402729E-01  -2.6720809E-02   6.7687640E+00   5.4651099E-01
