  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:55:37  02/12/2024 urib     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      997      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.0079694E-01  -7.3937878E-02  -1.1642740E+00   1.9761280E+00
   6.0497975E-01  -7.6820314E-02  -1.4028109E+00   1.9699051E+00
   6.0788345E-01   2.1392027E-02  -1.6141657E+00   1.9727215E+00
   6.1082393E-01  -8.8394225E-02  -1.7697253E+00   1.9399232E+00
   6.1497849E-01   3.1245293E-02  -2.1387627E+00   1.9577044E+00
   6.1778581E-01  -8.8907629E-02  -2.1679151E+00   2.0096960E+00
   6.2062192E-01  -2.0751975E-01  -2.3536155E+00   1.9774624E+00
   6.2501621E-01  -6.6596195E-02  -2.3933840E+00   1.9790803E+00
   6.2801027E-01  -4.4471554E-02  -2.5183463E+00   1.9855455E+00
   6.3108462E-01  -1.1380772E-01  -2.8380024E+00   1.9978535E+00
   6.3447398E-01   4.1661751E-02  -2.9972131E+00   2.0023625E+00
   6.3793808E-01  -4.1668463E-02  -3.2151618E+00   1.9996073E+00
   6.4090610E-01  -3.3585433E-02  -3.5587564E+00   2.0019720E+00
   6.4477372E-01   1.4822050E-02  -3.6268706E+00   2.0038891E+00
   6.4758468E-01  -3.8824074E-02  -3.7399187E+00   2.0046546E+00
   6.5218323E-01  -1.7982604E-02  -3.8356211E+00   2.0174420E+00
   6.5550542E-01   2.1827769E-02  -3.8933384E+00   2.0186918E+00
   6.5916806E-01  -2.6328536E-03  -4.1497321E+00   2.0235405E+00
   6.6113788E-01  -7.2752193E-02  -4.3479214E+00   2.0233309E+00
   6.6500252E-01  -1.3249451E-01  -4.7824073E+00   2.0099587E+00
   6.6874152E-01  -4.4670023E-02  -4.6174283E+00   2.0215328E+00
   6.7219198E-01   4.3521106E-02  -4.6660924E+00   2.0249281E+00
   6.7536229E-01   2.7645426E-02  -4.7774153E+00   2.0404129E+00
   6.7872292E-01   6.2556975E-03  -5.0519009E+00   2.0530949E+00
   6.8209898E-01  -2.5815919E-02  -5.2820344E+00   2.0591114E+00
   6.8557721E-01  -1.6007733E-01  -5.3727279E+00   2.0661464E+00
   6.8915594E-01  -1.0359800E-02  -5.6039929E+00   2.0546768E+00
   6.9304436E-01  -5.2935001E-02  -5.6186428E+00   2.0599067E+00
   6.9498390E-01  -1.0784704E-02  -5.6390233E+00   2.0607400E+00
   6.9899774E-01  -2.8724667E-02  -5.8565650E+00   2.0581415E+00
   7.0114970E-01  -4.7681630E-02  -5.9009500E+00   2.0651147E+00
   7.0563740E-01  -5.0977651E-02  -6.2162981E+00   2.0533020E+00
   7.0802307E-01  -1.1862858E-02  -6.2153606E+00   2.0518117E+00
   7.1244156E-01  -1.1991257E-01  -6.4488149E+00   2.0568600E+00
   7.1648926E-01  -3.3181727E-02  -6.5538163E+00   2.0619376E+00
   7.1829641E-01  -4.7284983E-02  -6.5370951E+00   2.0715969E+00
   7.2168630E-01  -2.0723531E-02  -6.5103388E+00   2.0846910E+00
   7.2641885E-01  -8.8783115E-02  -6.8293443E+00   2.0977437E+00
   7.2937655E-01  -9.0415008E-02  -6.9494109E+00   2.1074936E+00
   7.3222512E-01  -3.3700299E-02  -7.0597043E+00   2.1183252E+00
   7.3630130E-01  -1.2363597E-02  -7.1645546E+00   2.1236041E+00
   7.3890197E-01   7.5719133E-03  -7.1855817E+00   2.1182573E+00
   7.4260509E-01  -8.3313912E-02  -7.3552394E+00   2.1256948E+00
   7.4616224E-01   8.7662444E-02  -7.4100776E+00   2.1268244E+00
   7.4959594E-01  -1.5546468E-03  -7.5606375E+00   2.1231022E+00
   7.5303650E-01  -2.8061718E-02  -7.6320033E+00   2.1402318E+00
   7.5645894E-01  -1.5812280E-02  -7.7348065E+00   2.1439309E+00
   7.5975531E-01  -6.1752688E-02  -7.8124571E+00   2.1537285E+00
   7.6291531E-01  -1.0864894E-02  -7.8751841E+00   2.1526892E+00
   7.6599258E-01  -4.1985605E-02  -8.0115776E+00   2.1645100E+00
   7.7010161E-01  -3.3243097E-02  -8.0455112E+00   2.1738548E+00
   7.7332932E-01  -4.7100667E-02  -8.1594000E+00   2.1758533E+00
   7.7659494E-01  -3.7305541E-02  -8.2259874E+00   2.1784525E+00
   7.7984941E-01  -1.1324050E-01  -8.2999907E+00   2.1792855E+00
   7.8307539E-01  -2.3988612E-02  -8.3739967E+00   2.1751590E+00
   7.8629774E-01   2.4780175E-02  -8.3996439E+00   2.1766961E+00
   7.8989846E-01  -2.2380736E-02  -8.5373487E+00   2.1727397E+00
   7.9345107E-01   2.0622535E-02  -8.5540972E+00   2.1702442E+00
   7.9699570E-01  -2.5330976E-02  -8.6221161E+00   2.1685371E+00
   8.0076796E-01  -7.8791492E-02  -8.6655788E+00   2.1678610E+00
   8.0344617E-01  -5.0165113E-02  -8.7374039E+00   2.1651754E+00
   8.0635148E-01  -2.2772804E-02  -8.8195972E+00   2.1675775E+00
   8.1072927E-01  -6.2823795E-02  -8.8666725E+00   2.1791086E+00
   8.1360471E-01  -3.1232746E-02  -8.8600025E+00   2.1751745E+00
   8.1644571E-01   5.5584457E-02  -8.8695126E+00   2.1737695E+00
   8.2064319E-01   9.9769505E-03  -8.9132195E+00   2.1773527E+00
   8.2339936E-01  -9.1947332E-02  -8.9526024E+00   2.1685059E+00
   8.2747197E-01  -6.8399549E-02  -8.9901075E+00   2.1702344E+00
   8.3014673E-01  -5.5664908E-02  -9.1258459E+00   2.1682074E+00
   8.3409959E-01  -7.9741143E-03  -9.0730267E+00   2.1664829E+00
   8.3669621E-01  -6.2474128E-02  -9.1399794E+00   2.1675158E+00
   8.4053493E-01  -3.4963124E-02  -9.1870050E+00   2.1782389E+00
   8.4452254E-01  -2.2771593E-02  -9.1742535E+00   2.1717632E+00
   8.4752429E-01   7.4160673E-02  -9.1409922E+00   2.1685607E+00
   8.5079134E-01  -6.4821698E-02  -9.2274227E+00   2.1727540E+00
   8.5403985E-01  -8.5186370E-02  -9.2667599E+00   2.1738489E+00
   8.5724628E-01  -2.6296854E-02  -9.2501020E+00   2.1832068E+00
   8.6033010E-01   5.6840960E-02  -9.1426649E+00   2.1770866E+00
   8.6478740E-01  -3.0804088E-02  -9.3577232E+00   2.1873896E+00
   8.6736435E-01   4.7444016E-02  -9.3462753E+00   2.1721473E+00
