  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:27:43  02/12/2024 xsog     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   9.4844329E-01   2.9728083E-02  -7.3062005E+00  -2.5031418E-01
   9.5177746E-01  -1.1402397E-02  -7.2958121E+00  -2.3208383E-01
   9.5563066E-01   2.2209145E-02  -7.2669029E+00  -2.1757807E-01
   9.5890301E-01   1.5237608E-02  -7.2615623E+00  -2.0724568E-01
   9.6214813E-01  -1.3936567E-02  -7.2466230E+00  -2.0387968E-01
   9.6536678E-01   4.9684025E-02  -7.2059450E+00  -1.9905713E-01
   9.6908933E-01  -2.4689061E-03  -7.2120886E+00  -1.9504060E-01
   9.7225308E-01   1.1913782E-02  -7.1897593E+00  -1.8704988E-01
   9.7591347E-01   3.7011532E-03  -7.1554737E+00  -1.8399711E-01
   9.7902542E-01  -2.9937310E-02  -7.1290274E+00  -1.7841356E-01
   9.8262709E-01   1.9623408E-02  -7.1286526E+00  -1.7102115E-01
   9.8569012E-01  -5.6667812E-03  -7.0987444E+00  -1.6773181E-01
   9.8923624E-01   7.5608939E-03  -7.0244656E+00  -1.5964417E-01
   9.9275368E-01  -5.4972544E-03  -7.0164509E+00  -1.6111672E-01
   9.9574643E-01   1.0331057E-02  -7.0213466E+00  -1.6523451E-01
   9.9921268E-01   1.9417508E-03  -6.9967790E+00  -1.4850672E-01
   1.0026524E+00   7.8329099E-03  -6.9185424E+00  -1.4715907E-01
   1.0060664E+00   2.1406982E-02  -6.9177170E+00  -1.4363298E-01
   1.0094552E+00   6.3673165E-03  -6.8934941E+00  -1.3993475E-01
   1.0128196E+00   1.5924554E-02  -6.8242974E+00  -1.4032847E-01
   1.0161601E+00   1.7220590E-02  -6.8115129E+00  -1.3394453E-01
   1.0194775E+00  -1.5438173E-02  -6.7727609E+00  -1.2926386E-01
   1.0227721E+00   9.2839804E-03  -6.7296052E+00  -1.2371901E-01
   1.0265104E+00   8.8725807E-03  -6.7196689E+00  -1.2051774E-01
   1.0297582E+00   7.4787969E-03  -6.6589494E+00  -1.2172180E-01
   1.0329850E+00   1.0446250E-03  -6.5292335E+00  -1.1318269E-01
   1.0366477E+00  -5.7545989E-03  -6.6898384E+00  -1.1501266E-01
   1.0398312E+00   2.3407996E-02  -6.5570636E+00  -1.0851253E-01
   1.0429950E+00   8.7982733E-03  -6.4261951E+00  -1.0491754E-01
   1.0465875E+00   4.8513669E-03  -6.4391961E+00  -9.9240750E-02
   1.0501555E+00  -2.8949304E-04  -6.3936725E+00  -1.0069571E-01
   1.0532582E+00   2.9947309E-02  -6.1846132E+00  -9.2314303E-02
   1.0567822E+00   1.1516053E-02  -6.3967824E+00  -9.8563172E-02
   1.0598472E+00   1.8523768E-02  -6.2491584E+00  -9.2129521E-02
   1.0633292E+00   1.2877105E-02  -6.0995741E+00  -8.5963704E-02
   1.0667895E+00   2.1618256E-02  -6.1765289E+00  -8.1570849E-02
   1.0702286E+00   1.3688657E-02  -6.0729585E+00  -7.5649478E-02
   1.0736469E+00   5.9880083E-03  -5.9884534E+00  -7.3731303E-02
   1.0770451E+00   8.8222101E-03  -5.9490194E+00  -7.1815886E-02
   1.0804234E+00   6.8953149E-03  -5.9306231E+00  -6.9372982E-02
   1.0837823E+00  -1.7348034E-03  -5.8539128E+00  -6.5764070E-02
   1.0871223E+00   3.6770289E-05  -5.7931356E+00  -6.3047446E-02
   1.0904437E+00   6.8820762E-03  -5.7632709E+00  -5.5186287E-02
   1.0937470E+00   1.0716099E-02  -5.7219038E+00  -4.9685474E-02
   1.0970324E+00  -6.7576524E-03  -5.6401420E+00  -5.5779397E-02
   1.1007078E+00   9.9702077E-03  -5.5662351E+00  -5.1756531E-02
   1.1039567E+00   8.2824351E-03  -5.5394826E+00  -5.1097974E-02
   1.1075170E+00   8.5968757E-03  -5.4122381E+00  -5.7845954E-02
   1.1105117E+00  -3.7337450E-04  -5.4231563E+00  -5.3070012E-02
   1.1143007E+00   1.2112341E-02  -5.3621931E+00  -4.6377119E-02
   1.1177754E+00   1.8854894E-02  -5.2537184E+00  -4.2897932E-02
   1.1208645E+00   4.0639704E-03  -5.2451868E+00  -3.8296748E-02
   1.1243725E+00   4.0462539E-03  -5.1964169E+00  -3.6073200E-02
   1.1280159E+00   7.8647612E-03  -5.1256957E+00  -3.5285484E-02
   1.1304102E+00   9.9882437E-03  -5.0799479E+00  -3.6372870E-02
   1.1342897E+00   1.2111194E-02  -4.9769750E+00  -3.8675141E-02
   1.1376289E+00   6.0234065E-03  -4.9690037E+00  -3.2767538E-02
   1.1405976E+00   9.7475154E-03  -4.9456277E+00  -3.0908313E-02
   1.1449959E+00   1.3547006E-02  -4.8374190E+00  -2.6576096E-02
   1.1482635E+00   1.3077051E-02  -4.7292328E+00  -2.6791861E-02
   1.1515524E+00   3.5108380E-02  -4.7029696E+00  -1.2655004E-02
   1.1550013E+00   2.2617078E-03  -4.6628804E+00  -2.2415349E-02
   1.1583509E+00   9.1448715E-03  -4.6032677E+00  -2.1006286E-02
   1.1616126E+00   1.4859718E-02  -4.5217414E+00  -2.3217494E-02
   1.1647956E+00   2.0473754E-02  -4.4713812E+00  -2.1067724E-02
