  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:24:45  02/13/2024 txso     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.3139045E-01  -8.8053232E-04  -2.8470168E+00  -1.4180121E+00
   6.3501251E-01  -3.6970139E-03  -3.0052397E+00  -1.3907604E+00
   6.3810831E-01  -2.3211977E-02  -3.0685017E+00  -1.3949645E+00
   6.4125967E-01  -3.9287684E-03  -3.2107122E+00  -1.3647268E+00
   6.4483994E-01  -6.0087671E-03  -3.4330432E+00  -1.3530992E+00
   6.4847428E-01  -4.2255823E-02  -3.4908805E+00  -1.3397439E+00
   6.5152735E-01  -6.2852427E-02  -3.5760360E+00  -1.3186340E+00
   6.5482545E-01  -5.8246616E-02  -3.7770612E+00  -1.3103876E+00
   6.5839034E-01   9.5076598E-03  -3.9263716E+00  -1.3185558E+00
   6.6163802E-01   1.8705117E-02  -3.9831624E+00  -1.2723231E+00
   6.6481382E-01   1.2836024E-02  -4.0720415E+00  -1.2562274E+00
   6.6855735E-01  -2.5729904E-02  -4.2305741E+00  -1.2158815E+00
   6.7198586E-01  -2.8883843E-02  -4.3390403E+00  -1.2166091E+00
   6.7534399E-01  -8.2722921E-03  -4.4317961E+00  -1.1814846E+00
   6.7858183E-01   1.0557175E-02  -4.5367975E+00  -1.1732064E+00
   6.8172914E-01  -4.5564461E-02  -4.6105185E+00  -1.1434901E+00
   6.8529546E-01   3.0309346E-02  -4.7514467E+00  -1.1523378E+00
   6.8902761E-01   3.9178180E-03  -4.8797779E+00  -1.1343335E+00
   6.9208187E-01   2.8112361E-02  -4.9038835E+00  -1.1125396E+00
   6.9518316E-01   3.5963189E-02  -5.0075402E+00  -1.0940762E+00
   6.9858086E-01   3.2246009E-02  -5.1277466E+00  -1.0960854E+00
   7.0210642E-01  -5.0727725E-03  -5.1877170E+00  -1.0731757E+00
   7.0596087E-01   2.4067547E-02  -5.2928047E+00  -1.0458424E+00
   7.0928180E-01   3.1406630E-02  -5.3620768E+00  -1.0347749E+00
   7.1206099E-01   1.3002599E-02  -5.3835950E+00  -1.0182332E+00
