  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:15:46  02/12/2024 gpju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       5      505      1.034E-02      1.698E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.8551207E-01  -4.7447801E-02  -4.7459702E+00  -1.2602044E+00
   6.8889773E-01  -1.4233362E-02  -4.8312988E+00  -1.2440196E+00
   6.9231433E-01  -3.9149079E-02  -4.9617014E+00  -1.2163498E+00
   6.9516414E-01  -9.6658925E-03  -5.0021715E+00  -1.2060504E+00
   6.9851941E-01  -6.1305225E-02  -5.1266789E+00  -1.1884552E+00
   7.0236301E-01  -7.4753910E-04  -5.2184634E+00  -1.1644861E+00
   7.0559168E-01  -4.8886023E-02  -5.2617016E+00  -1.1510302E+00
   7.0893502E-01  -4.3279114E-03  -5.3580608E+00  -1.1399440E+00
   7.1249771E-01  -1.3373581E-02  -5.4072642E+00  -1.1358435E+00
   7.1537811E-01  -2.1664027E-02  -5.4788265E+00  -1.1076187E+00
   7.1926326E-01   3.8024068E-03  -5.5769787E+00  -1.1019895E+00
   7.2230518E-01  -3.8287047E-02  -5.6558962E+00  -1.0888735E+00
   7.2590417E-01  -3.8673259E-02  -5.6979527E+00  -1.0725766E+00
   7.2945857E-01  -9.7596208E-03  -5.7782292E+00  -1.0662010E+00
   7.3246419E-01  -1.0157679E-02  -5.8528886E+00  -1.0387778E+00
   7.3605490E-01  -2.2163937E-02  -5.8973522E+00  -1.0298802E+00
   7.3917931E-01   1.4061442E-02  -5.9106793E+00  -1.0032880E+00
   7.4252397E-01   8.0687506E-03  -6.0189543E+00  -9.8200905E-01
   7.4601614E-01   7.5207255E-03  -6.0924191E+00  -9.6194088E-01
   7.4922401E-01  -2.0477714E-02  -6.1633401E+00  -9.6494812E-01
   7.5315285E-01   8.8578719E-04  -6.2551837E+00  -9.3977225E-01
   7.5649047E-01   1.6795815E-06  -6.2957687E+00  -9.2896378E-01
   7.5989056E-01  -1.5775196E-02  -6.3002696E+00  -9.0579116E-01
