  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:48:07  02/09/2024 bnvl     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.378E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.5793419E-01  -1.7983812E-01  -5.3845215E+00   3.2251205E+00
   6.6137892E-01  -1.2848194E-01  -5.5785365E+00   3.2225451E+00
   6.6517675E-01  -1.1428654E-01  -5.8039436E+00   3.2254851E+00
   6.6786021E-01  -2.3625188E-01  -5.9070106E+00   3.2301519E+00
   6.7161757E-01   1.0475977E-01  -7.2703791E+00   3.2046225E+00
   6.7523301E-01  -3.0964555E-02  -6.5650506E+00   3.2171402E+00
   6.7813390E-01  -1.5135080E-01  -6.6518536E+00   3.2154663E+00
   6.8153781E-01  -7.3308833E-02  -6.5627990E+00   3.2068157E+00
   6.8504369E-01  -2.2463259E-01  -6.8303132E+00   3.2028015E+00
   6.8913805E-01  -1.8724082E-01  -6.9886904E+00   3.1864448E+00
   6.9211930E-01  -2.2783908E-01  -7.3151836E+00   3.1855471E+00
   6.9557053E-01   1.7206145E-02  -7.3433890E+00   3.1861885E+00
   6.9816852E-01   1.7072456E-02  -7.5113149E+00   3.1867919E+00
   7.0257324E-01  -1.3263617E-01  -7.6317301E+00   3.1917508E+00
   7.0588899E-01  -1.4834042E-01  -7.9057860E+00   3.1926265E+00
   7.0919985E-01  -1.5726443E-01  -7.9320140E+00   3.1921206E+00
   7.1234685E-01  -1.5656869E-01  -8.0198889E+00   3.1907408E+00
   7.1580565E-01  -9.5103689E-02  -8.2641115E+00   3.1852047E+00
   7.1931416E-01  -9.1918133E-02  -8.4022560E+00   3.1822057E+00
   7.2279501E-01  -9.6810780E-02  -8.4852819E+00   3.1736362E+00
   7.2625399E-01  -2.3489501E-01  -8.5644512E+00   3.1812234E+00
   7.2968924E-01  -4.1160256E-02  -8.7926273E+00   3.1860054E+00
   7.3319757E-01  -1.3107833E-02  -8.8900328E+00   3.1767504E+00
   7.3508435E-01  -3.2576356E-02  -8.9114513E+00   3.1844187E+00
   7.3914564E-01  -2.0429261E-01  -9.0952301E+00   3.1793251E+00
   7.4332559E-01  -1.9996205E-01  -9.2787514E+00   3.1870868E+00
   7.4535811E-01  -7.3876455E-02  -9.4473209E+00   3.1855731E+00
   7.4915785E-01  -5.4880630E-02  -9.3658600E+00   3.1858535E+00
   7.5236231E-01  -3.9846845E-02  -9.6834869E+00   3.1749482E+00
   7.5571394E-01  -1.6519451E-01  -9.7191935E+00   3.1801746E+00
   7.5898182E-01   2.6255295E-02  -9.8339157E+00   3.2014525E+00
   7.6325625E-01  -1.1145352E-01  -9.7604218E+00   3.1834984E+00
   7.6617169E-01  -1.0807361E-01  -9.9424019E+00   3.1845739E+00
   7.6992726E-01   8.8975579E-02  -1.0013515E+01   3.1778686E+00
   7.7314407E-01  -1.3851106E-01  -1.0145546E+01   3.1541722E+00
   7.7679020E-01  -9.5606983E-02  -1.0215736E+01   3.1505649E+00
   7.7935380E-01  -5.3521719E-02  -1.0061122E+01   3.1474619E+00
   7.8342032E-01  -4.7529805E-03  -1.0437148E+01   3.1401162E+00
   7.8728247E-01  -5.7471469E-02  -1.0458088E+01   3.1305707E+00
   7.8996885E-01  -6.0630579E-02  -1.0387777E+01   3.1254396E+00
   7.9335397E-01  -1.5316276E-01  -1.0483473E+01   3.1064141E+00
   7.9670560E-01  -8.0732875E-02  -1.0544012E+01   3.1115413E+00
   8.0009061E-01  -4.3519717E-03  -1.0706442E+01   3.0780714E+00
   8.0351871E-01  -7.1459003E-02  -1.0571317E+01   3.1050210E+00
   8.0701631E-01  -9.0385996E-02  -1.0719441E+01   3.0860307E+00
   8.1062651E-01  -2.6411343E-02  -1.0720933E+01   3.0916622E+00
   8.1309360E-01  -2.5679357E-02  -1.0771758E+01   3.1123097E+00
   8.1691426E-01  -5.5519130E-02  -1.0681939E+01   3.0904262E+00
   8.2062012E-01   5.9430908E-02  -1.0667692E+01   3.0944903E+00
   8.2418019E-01  -4.5501087E-02  -1.0752312E+01   3.0891941E+00
   8.2755798E-01  -6.5705381E-02  -1.0826156E+01   3.0884769E+00
   8.3080101E-01  -2.1936703E-02  -1.0846924E+01   3.0790951E+00
   8.3407009E-01   1.3809109E-02  -1.0707085E+01   3.0729961E+00
   8.3770001E-01   5.4323087E-03  -1.0724534E+01   3.0885870E+00
   8.4111387E-01  -1.6292362E-02  -1.0903893E+01   3.0817287E+00
   8.4442431E-01  -9.3990840E-02  -1.0638547E+01   3.0648704E+00
   8.4787124E-01   1.3010596E-01  -1.0742872E+01   3.0813379E+00
   8.5046601E-01  -1.9652365E-02  -1.0762478E+01   3.0901549E+00
   8.5486531E-01  -1.8364137E-01  -1.0795656E+01   3.0769026E+00
   8.5815763E-01  -9.6006036E-02  -1.0790225E+01   3.0894277E+00
   8.6140198E-01   1.4906314E-01  -1.0753743E+01   3.1003504E+00
   8.6459607E-01   8.6811492E-03  -1.0719568E+01   3.0991518E+00
   8.6811757E-01  -2.1798432E-01  -1.0662087E+01   3.0938127E+00
   8.7182152E-01  -6.3019574E-02  -1.0701362E+01   3.0956924E+00
   8.7364817E-01  -7.3944088E-03  -1.0686671E+01   3.0906401E+00
   8.7727886E-01   6.1272951E-03  -1.0548438E+01   3.0913761E+00
   8.8099772E-01  -7.0220418E-02  -1.0503957E+01   3.0813584E+00
   8.8472593E-01  -7.4635781E-02  -1.0579191E+01   3.0813153E+00
   8.8846284E-01   8.5285408E-03  -1.0462153E+01   3.0738404E+00
   8.9033806E-01   4.7098715E-03  -1.0485226E+01   3.0719371E+00
