  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   22:15:24  02/09/2024 jjxh     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      500      0.000E+00      1.688E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.6114481E-01   1.5892280E-02   1.1525366E+01   2.7143726E+00
   3.6402389E-01   8.9216158E-02   1.1455687E+01   2.7132692E+00
   3.6858785E-01   9.7912364E-02   1.1317256E+01   2.7146544E+00
   3.7202352E-01   7.0041083E-02   1.1286132E+01   2.7131350E+00
   3.7427345E-01   3.3088639E-02   1.1183302E+01   2.7177212E+00
   3.7808803E-01   5.2948520E-02   1.1003040E+01   2.7130778E+00
   3.8095957E-01   5.0645154E-02   1.0984720E+01   2.7086391E+00
   3.8412544E-01   7.7262260E-02   1.0904400E+01   2.7070065E+00
   3.8761583E-01   1.2979269E-01   1.0873666E+01   2.7010250E+00
   3.9136383E-01   3.4316473E-02   1.0807012E+01   2.7056119E+00
   3.9435539E-01   4.1180413E-02   1.0714295E+01   2.6914654E+00
   3.9765358E-01   3.2133143E-02   1.0452353E+01   2.6786590E+00
   4.0128985E-01   5.6504667E-02   1.0306911E+01   2.6932712E+00
   4.0503204E-01   3.0112084E-02   1.0180000E+01   2.6664534E+00
   4.0854132E-01   4.9548566E-02   1.0097101E+01   2.6672094E+00
   4.1182566E-01   6.7432910E-02   9.9636822E+00   2.6612775E+00
   4.1554913E-01   3.2572459E-02   9.7914038E+00   2.6624932E+00
   4.1830015E-01   5.2989453E-02   9.7089100E+00   2.6644840E+00
   4.2133313E-01  -2.5788132E-02   9.5609779E+00   2.6515954E+00
   4.2467698E-01  -1.8056126E-02   9.5009651E+00   2.6586385E+00
   4.2815167E-01   7.3791191E-02   9.2095442E+00   2.6359260E+00
   4.3154898E-01   5.1917173E-03   9.0295305E+00   2.6399112E+00
   4.3507302E-01   5.8042277E-02   8.8702698E+00   2.6279390E+00
   4.3895826E-01  -4.4814643E-02   8.7587872E+00   2.6267245E+00
   4.4242248E-01  -2.5433738E-02   8.5824699E+00   2.6279874E+00
   4.4565049E-01   2.7004160E-02   8.0248747E+00   2.5954251E+00
   4.4902027E-01   6.6045308E-03   7.9245424E+00   2.6162384E+00
   4.5268878E-01   7.4627516E-03   8.0487547E+00   2.6073718E+00
   4.5536000E-01  -1.3378288E-02   8.0514574E+00   2.5973463E+00
   4.5958775E-01  -8.5707771E-04   7.7852883E+00   2.5921621E+00
   4.6203193E-01  -2.7052559E-02   7.5493832E+00   2.5845122E+00
   4.6617588E-01   2.4219999E-02   7.1748691E+00   2.5832307E+00
   4.6929532E-01  -4.6148177E-02   6.9256997E+00   2.5680521E+00
   4.7273454E-01  -1.1058515E-03   6.6894679E+00   2.5657225E+00
   4.7652626E-01   3.0322021E-02   6.5387259E+00   2.5634394E+00
   4.7856545E-01   3.4813562E-03   6.5078311E+00   2.5611539E+00
   4.8232785E-01   1.6003266E-02   6.3007264E+00   2.5577121E+00
   4.8647586E-01   1.1878597E-03   6.0792904E+00   2.5550804E+00
   4.8860061E-01   6.8048104E-03   5.9456491E+00   2.5575464E+00
   4.9285361E-01   4.6407897E-02   5.6405997E+00   2.5548234E+00
   4.9708268E-01  -3.3608245E-04   5.3584766E+00   2.5424659E+00
   4.9913913E-01   8.7063760E-03   5.1901922E+00   2.5399466E+00
   5.0319594E-01   1.9626224E-02   4.8578544E+00   2.5387878E+00
   5.0648588E-01  -2.5893748E-03   4.6789250E+00   2.5300891E+00
   5.0949466E-01  -1.3835819E-02   4.4693165E+00   2.5224628E+00
   5.1297766E-01   1.4535639E-02   4.3040318E+00   2.5255742E+00
   5.1700974E-01   1.3310200E-03   4.1180692E+00   2.5198441E+00
   5.1985484E-01   1.4357282E-02   3.8918483E+00   2.5203862E+00
   5.2265960E-01   9.2206985E-02   3.7090967E+00   2.5192904E+00
   5.2688915E-01  -2.1835685E-02   3.2620585E+00   2.4986076E+00
   5.2968669E-01   5.0196406E-02   3.1738229E+00   2.5117848E+00
   5.3399205E-01   4.8095208E-02   2.9482071E+00   2.5097563E+00
   5.3676051E-01  -4.0190082E-02   2.6860225E+00   2.4930060E+00
   5.3976947E-01   8.7815985E-02   2.6436353E+00   2.5084476E+00
   5.4300511E-01   3.3087691E-03   2.3452241E+00   2.4993870E+00
   5.4745710E-01   3.2332089E-02   2.0435512E+00   2.4952204E+00
   5.5045336E-01  -1.9086281E-02   1.8510460E+00   2.4854321E+00
   5.5322587E-01   2.0205798E-02   1.6847419E+00   2.4956939E+00
   5.5712295E-01   2.1061936E-02   1.4170271E+00   2.4881744E+00
   5.5999154E-01  -4.0655196E-02   1.2528622E+00   2.4847856E+00
   5.6308943E-01   3.5045113E-02   1.1143383E+00   2.4790716E+00
   5.6774545E-01   3.8060851E-02   8.5995704E-01   2.4753704E+00
   5.7076859E-01   7.2974913E-02   4.6558827E-01   2.4578502E+00
   5.7383293E-01  -3.2905329E-02   2.8957424E-01   2.4569290E+00
   5.7708699E-01   4.1312646E-02   9.8382778E-02   2.4653397E+00
   5.8059102E-01   3.9460368E-02   3.4858931E-03   2.4560838E+00
   5.8445424E-01  -5.4500677E-02  -1.5450579E-01   2.4537945E+00
   5.8839363E-01  -5.2813981E-02  -5.6326884E-01   2.4426045E+00
   5.9047884E-01   4.1601993E-02  -7.1903485E-01   2.4265683E+00
   5.9451836E-01   7.9278022E-02  -9.6773618E-01   2.4367020E+00
   5.9850883E-01   6.4231113E-02  -1.1403060E+00   2.4355991E+00
   6.0051745E-01   1.0840245E-01  -1.1837734E+00   2.4396439E+00
   6.0445786E-01  -8.8571586E-02  -1.4243366E+00   2.4402671E+00
   6.0832918E-01   2.4273226E-02  -1.7067565E+00   2.4225905E+00
   6.1023593E-01   2.5434747E-02  -1.7184290E+00   2.4371500E+00
   6.1405379E-01  -1.0239269E-02  -2.0147491E+00   2.4098265E+00
   6.1784518E-01  -4.5532517E-02  -2.2011285E+00   2.4414599E+00
   6.2161356E-01   1.2557723E-01  -2.4878109E+00   2.4285305E+00
   6.2536448E-01  -4.9490150E-02  -2.6265538E+00   2.4472122E+00
