  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   21:00:13  02/09/2024 bpnh     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      554      0.000E+00      1.866E+00
   time              pfxob_1         pfyob_1         pfzob_1
   4.3216792E-01   5.7083055E-02   8.8490934E+00   3.4395168E+00
   4.3533021E-01   5.3046167E-02   8.5887537E+00   3.4382384E+00
   4.3843552E-01  -2.1820998E-02   8.4657183E+00   3.4289608E+00
   4.4193715E-01   5.6837466E-02   8.2828064E+00   3.4265528E+00
   4.4622576E-01  -2.6300089E-02   8.0583286E+00   3.4247074E+00
   4.4870514E-01  -4.7135029E-02   7.9274011E+00   3.4263873E+00
   4.5290869E-01  -2.5632391E-03   7.6140790E+00   3.4176593E+00
   4.5607305E-01   1.6898030E-02   7.3992095E+00   3.4095500E+00
   4.5912045E-01   2.5342336E-02   7.1458864E+00   3.4108849E+00
   4.6191823E-01   3.4224324E-02   6.8725395E+00   3.4057043E+00
   4.6616235E-01   1.1339166E-01   6.4470768E+00   3.3989716E+00
   4.6898487E-01   6.1043877E-02   6.4018469E+00   3.3970735E+00
   4.7225228E-01   2.7529569E-02   6.2423754E+00   3.3996713E+00
   4.7603473E-01   4.4130705E-02   6.1945906E+00   3.3904536E+00
   4.7888207E-01   1.0182138E-02   6.0345964E+00   3.3862505E+00
   4.8201641E-01   4.6074078E-03   5.7464032E+00   3.3800256E+00
   4.8649210E-01   1.7771950E-02   5.3258958E+00   3.3854892E+00
   4.8922041E-01   2.8526708E-02   5.0737047E+00   3.3717034E+00
   4.9221766E-01  -7.6018418E-03   4.9172425E+00   3.3656969E+00
   4.9655798E-01   4.0369261E-02   4.6924148E+00   3.3676107E+00
   4.9944708E-01   6.5762609E-02   4.5246944E+00   3.3610659E+00
   5.0242329E-01   5.8548849E-02   4.2949791E+00   3.3574212E+00
   5.0714844E-01   3.9932527E-02   3.8730431E+00   3.3538034E+00
   5.1031357E-01  -1.2186258E-02   3.7215912E+00   3.3505917E+00
   5.1349688E-01   2.4253328E-03   3.3524606E+00   3.3472874E+00
   5.1654625E-01  -3.1159765E-03   3.1883504E+00   3.3441691E+00
   5.1965791E-01   2.2312601E-03   3.0059202E+00   3.3395653E+00
   5.2290279E-01  -7.4478812E-03   2.8154280E+00   3.3399525E+00
   5.2730668E-01   1.8295099E-01   2.5054507E+00   3.3341062E+00
   5.3056425E-01   9.9799223E-02   2.3404806E+00   3.3297997E+00
   5.3386062E-01  -4.9769074E-02   2.1742282E+00   3.3249507E+00
   5.3735226E-01  -7.0835330E-02   1.8600969E+00   3.3129337E+00
   5.3967810E-01  -1.5489097E-02   1.7625372E+00   3.3201509E+00
   5.4322827E-01   1.0493173E-01   1.2971479E+00   3.3007121E+00
   5.4687142E-01   4.9481582E-02   1.1449717E+00   3.3061593E+00
   5.5047214E-01   2.7995909E-02   1.0666596E+00   3.3205960E+00
   5.5414075E-01   5.7594702E-03   6.5828830E-01   3.3006241E+00
   5.5685377E-01  -8.7363046E-04   5.4796821E-01   3.3065648E+00
   5.6101537E-01  -2.8323838E-02   3.7346944E-01   3.3144143E+00
   5.6373191E-01   1.8198119E-02   6.4068079E-02   3.2943175E+00
   5.6646800E-01  -1.2444972E-01  -1.0956213E-01   3.2933693E+00
   5.7108170E-01  -7.7433675E-03  -4.3937555E-01   3.2968318E+00
   5.7347536E-01  -7.3351912E-02  -6.1225086E-01   3.2892582E+00
   5.7737970E-01  -3.3469278E-02  -5.8707994E-01   3.3047578E+00
   5.8040917E-01  -7.9898804E-02  -1.0421593E+00   3.2902291E+00
   5.8391619E-01  -1.5436982E-01  -1.3040321E+00   3.2992179E+00
   5.8797598E-01  -3.6423665E-02  -1.3004633E+00   3.2790754E+00
   5.9103209E-01  -9.3268074E-02  -1.6994392E+00   3.2787075E+00
   5.9440148E-01   1.5728289E-02  -1.8957090E+00   3.2930222E+00
   5.9811622E-01  -1.1159630E-01  -2.2285795E+00   3.2820020E+00
   6.0105222E-01  -6.1121184E-02  -2.1632597E+00   3.2856417E+00
   6.0428911E-01  -2.5894748E-02  -2.4569197E+00   3.2880628E+00
   6.0777497E-01  -4.2556126E-02  -2.6856134E+00   3.2851593E+00
   6.1108989E-01  -5.7877317E-02  -2.7335789E+00   3.2829888E+00
   6.1426008E-01  -1.3835555E-01  -2.9632654E+00   3.2862887E+00
   6.1841315E-01  -7.3431015E-02  -3.3073068E+00   3.2703369E+00
   6.2124223E-01  -2.7562806E-02  -3.7255077E+00   3.2662156E+00
   6.2410682E-01  -2.2437517E-02  -3.5744956E+00   3.2746482E+00
   6.2719083E-01  -2.4025520E-02  -3.6696265E+00   3.2703984E+00
   6.3047898E-01  -1.1291575E-01  -3.7209978E+00   3.2720611E+00
   6.3393664E-01  -1.3752222E-01  -4.0319066E+00   3.2671638E+00
   6.3751751E-01   1.5541534E-02  -4.3040228E+00   3.2650740E+00
   6.4220411E-01  -1.3241516E-01  -4.5324855E+00   3.2605031E+00
   6.4543712E-01  -7.9023227E-02  -4.7770638E+00   3.2592757E+00
   6.4885825E-01  -1.0717273E-01  -4.8741651E+00   3.2620223E+00
   6.5232915E-01  -5.8805991E-02  -5.1233864E+00   3.2602639E+00
   6.5582186E-01  -1.9670412E-02  -5.2216749E+00   3.2577517E+00
   6.5758634E-01  -3.3593282E-02  -5.3063803E+00   3.2611415E+00
   6.6124678E-01  -5.7747949E-02  -5.5079365E+00   3.2684548E+00
   6.6528243E-01  -7.1375251E-02  -5.8799238E+00   3.2580462E+00
   6.6829002E-01   8.5016660E-02  -6.0138307E+00   3.2709842E+00
   6.7146981E-01   8.7620214E-02  -6.0818019E+00   3.2581005E+00
   6.7497545E-01  -1.7782135E-01  -6.2554283E+00   3.2531519E+00
   6.7884052E-01  -1.6512227E-01  -6.5216889E+00   3.2530921E+00
