  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:08:25  02/06/2024 httg     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing p, p, pfyob       
       3      996      5.409E-03      2.376E+00
   time              p_1             p_2             pfyob_1
   4.0841153E-01   4.7738262E+03   4.6918257E+03   7.9128561E+00
   4.1138172E-01   4.7738784E+03   4.6918604E+03   7.7407374E+00
   4.1358632E-01   4.7732939E+03   4.6915352E+03   7.6596279E+00
   4.1576865E-01   4.7726445E+03   4.6913340E+03   7.4791164E+00
   4.1792899E-01   4.7725146E+03   4.6913477E+03   7.3590221E+00
   4.2077956E-01   4.7720986E+03   4.6913540E+03   7.1449199E+00
   4.2290863E-01   4.7716465E+03   4.6912329E+03   7.0158367E+00
   4.2503500E-01   4.7711030E+03   4.6910850E+03   6.8762512E+00
   4.2785943E-01   4.7707437E+03   4.6909688E+03   6.7050624E+00
   4.2996541E-01   4.7700420E+03   4.6905620E+03   6.5166736E+00
   4.3275487E-01   4.7690190E+03   4.6900581E+03   6.3846941E+00
   4.3483290E-01   4.7685513E+03   4.6898394E+03   6.2539277E+00
   4.3689924E-01   4.7680791E+03   4.6895039E+03   6.1272531E+00
   4.3963739E-01   4.7670015E+03   4.6889810E+03   5.9419203E+00
   4.4167894E-01   4.7664224E+03   4.6886899E+03   5.8089814E+00
   4.4438475E-01   4.7653848E+03   4.6881489E+03   5.6031132E+00
   4.4640163E-01   4.7644629E+03   4.6876426E+03   5.4577007E+00
   4.4907463E-01   4.7635400E+03   4.6871187E+03   5.2926712E+00
   4.5173079E-01   4.7627495E+03   4.6866167E+03   5.1406751E+00
   4.5371345E-01   4.7616973E+03   4.6859321E+03   4.9964976E+00
   4.5634755E-01   4.7600674E+03   4.6849595E+03   4.7933955E+00
   4.5831868E-01   4.7592349E+03   4.6844380E+03   4.6741300E+00
   4.6093625E-01   4.7582661E+03   4.6838120E+03   4.4969316E+00
   4.6355638E-01   4.7563076E+03   4.6826123E+03   4.2932281E+00
   4.6554410E-01   4.7552759E+03   4.6820254E+03   4.1641040E+00
   4.6827313E-01   4.7542847E+03   4.6812979E+03   4.0082726E+00
   4.7042257E-01   4.7531206E+03   4.6805020E+03   3.8856575E+00
   4.7256616E-01   4.7519424E+03   4.6796782E+03   3.7736230E+00
   4.7543362E-01   4.7498125E+03   4.6782358E+03   3.5378234E+00
   4.7758913E-01   4.7481987E+03   4.6772661E+03   3.3728907E+00
   4.7976997E-01   4.7470146E+03   4.6765083E+03   3.2418327E+00
   4.8256892E-01   4.7458628E+03   4.6757397E+03   3.0822530E+00
   4.8470876E-01   4.7445361E+03   4.6748652E+03   2.9320552E+00
   4.8684317E-01   4.7430137E+03   4.6738926E+03   2.7885423E+00
   4.8972312E-01   4.7405371E+03   4.6720308E+03   2.7921758E+00
   4.9190441E-01   4.7382935E+03   4.6705278E+03   2.3678889E+00
   4.9408102E-01   4.7366157E+03   4.6689502E+03   2.2044368E+00
   4.9623221E-01   4.7348926E+03   4.6681680E+03   2.2381516E+00
   4.9913731E-01   4.7352979E+03   4.6686621E+03   2.0323286E+00
   5.0132471E-01   4.7339863E+03   4.6673315E+03   1.8672876E+00
   5.0351351E-01   4.7287349E+03   4.6637539E+03   1.6216341E+00
   5.0643021E-01   4.7271499E+03   4.6630200E+03   1.5184544E+00
   5.0861454E-01   4.7273237E+03   4.6628994E+03   1.4284347E+00
   5.1077932E-01   4.7261807E+03   4.6618330E+03   1.3455505E+00
   5.1293796E-01   4.7218457E+03   4.6586035E+03   1.1063421E+00
   5.1582170E-01   4.7183950E+03   4.6564355E+03   9.6539724E-01
   5.1798964E-01   4.7175557E+03   4.6557202E+03   8.2311487E-01
   5.2016449E-01   4.7151577E+03   4.6535649E+03   6.8567425E-01
   5.2306753E-01   4.7104341E+03   4.6506274E+03   4.2570329E-01
   5.2524477E-01   4.7101846E+03   4.6501245E+03   1.5990320E-01
   5.2742064E-01   4.7092983E+03   4.6496548E+03   2.7436656E-01
   5.2959430E-01   4.7085244E+03   4.6494321E+03   1.8818420E-01
   5.3250045E-01   4.7061025E+03   4.6471309E+03  -1.1379377E-02
   5.3468812E-01   4.6991245E+03   4.6420957E+03  -2.7225634E-01
   5.3687495E-01   4.6964858E+03   4.6397700E+03  -4.8170120E-01
   5.3905958E-01   4.6935020E+03   4.6374097E+03  -5.6277472E-01
   5.4197419E-01   4.6919644E+03   4.6365752E+03  -6.2790209E-01
   5.4415548E-01   4.6924297E+03   4.6369692E+03  -7.7806032E-01
   5.4634070E-01   4.6919370E+03   4.6364600E+03  -7.8094268E-01
   5.4853272E-01   4.6888389E+03   4.6342017E+03  -1.0457118E+00
   5.5145305E-01   4.6817446E+03   4.6287852E+03  -1.3623302E+00
   5.5364257E-01   4.6767969E+03   4.6248926E+03  -1.4702812E+00
   5.5583465E-01   4.6755527E+03   4.6239082E+03  -1.5701988E+00
   5.5802596E-01   4.6751123E+03   4.6233589E+03  -1.5130479E+00
   5.6095624E-01   4.6714102E+03   4.6202695E+03  -1.8016289E+00
   5.6315726E-01   4.6677642E+03   4.6176030E+03  -2.0202990E+00
   5.6536138E-01   4.6650415E+03   4.6158545E+03  -2.2256401E+00
