  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:14:12  02/13/2024 iqiq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.377E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.7785633E-01  -1.0140859E-01  -6.5067658E+00   2.9045393E+00
   6.8272585E-01  -7.7905878E-02  -6.6109238E+00   2.8872721E+00
   6.8451399E-01  -3.0346513E-02  -6.7727919E+00   2.8871698E+00
   6.8827069E-01  -1.3251166E-01  -7.0090075E+00   2.8855381E+00
   6.9202530E-01  -1.0225905E-02  -6.9910312E+00   2.8741038E+00
   6.9577533E-01  -9.3031079E-02  -7.3002205E+00   2.8714705E+00
   6.9952112E-01  -9.4891362E-02  -7.4485264E+00   2.8679056E+00
   7.0139277E-01  -2.4426771E-02  -7.6126060E+00   2.8705933E+00
   7.0512515E-01  -1.0307654E-01  -7.7566128E+00   2.8695951E+00
   7.0943546E-01  -1.4585632E-01  -7.9603553E+00   2.8649929E+00
   7.1213514E-01  -1.0942356E-01  -8.0332546E+00   2.8737171E+00
   7.1511155E-01  -1.1616049E-01  -8.1158028E+00   2.8736017E+00
   7.1830994E-01  -1.2299421E-01  -8.2930660E+00   2.8730447E+00
   7.2281313E-01  -4.3167047E-02  -8.4604769E+00   2.8704371E+00
   7.2609907E-01  -1.0049839E-01  -8.5760136E+00   2.8733926E+00
   7.2972178E-01  -1.1480752E-01  -8.7430439E+00   2.8824551E+00
   7.3348349E-01  -9.8651998E-02  -8.8854971E+00   2.8897779E+00
   7.3536432E-01  -7.9722449E-02  -8.9468699E+00   2.8898013E+00
   7.3893452E-01  -1.1384739E-01  -9.0986776E+00   2.8952193E+00
   7.4222088E-01  -1.2298661E-01  -9.2606697E+00   2.8987260E+00
   7.4559432E-01  -1.2464400E-01  -9.3610849E+00   2.8928592E+00
   7.4889928E-01  -1.2728369E-01  -9.4417486E+00   2.9112349E+00
   7.5216275E-01   1.1740862E-02  -9.5159931E+00   2.8915641E+00
   7.5586510E-01  -5.7851919E-03  -9.6065369E+00   2.8873780E+00
   7.6015097E-01  -5.3860713E-02  -9.8691740E+00   2.8969710E+00
   7.6331663E-01  -1.0709795E-01  -9.8218460E+00   2.8996468E+00
   7.6648653E-01  -1.3674536E-01  -1.0053482E+01   2.8926675E+00
   7.6964027E-01   4.3223642E-02  -1.0114005E+01   2.8839934E+00
   7.7278948E-01  -1.0241645E-01  -1.0140432E+01   2.8822176E+00
   7.7593201E-01  -7.7344619E-02  -1.0000811E+01   2.8706293E+00
   7.7908081E-01   1.0284563E-01  -1.0401455E+01   2.8653061E+00
   7.8384233E-01  -3.7292190E-02  -1.0444378E+01   2.8462031E+00
   7.8702599E-01  -9.1912765E-03  -1.0391962E+01   2.8400540E+00
   7.9023159E-01  -4.0124003E-02  -1.0401803E+01   2.8343675E+00
   7.9300427E-01  -7.4548960E-02  -1.0547494E+01   2.8220601E+00
   7.9705471E-01   4.2409029E-02  -1.0617615E+01   2.8251705E+00
   7.9972118E-01  -2.7204309E-02  -1.0475609E+01   2.8206170E+00
   8.0374056E-01   2.4239153E-02  -1.0871330E+01   2.8162932E+00
   8.0647075E-01   6.2450703E-02  -1.0678997E+01   2.8134065E+00
   8.1056166E-01   5.0132656E-03  -1.0753361E+01   2.8111620E+00
   8.1326354E-01  -5.6807287E-02  -1.0699226E+01   2.8081899E+00
   8.1701720E-01   4.9101911E-02  -1.0768501E+01   2.8039608E+00
   8.2060593E-01  -1.7218044E-01  -1.0854519E+01   2.8058033E+00
   8.2419920E-01  -6.6710901E-03  -1.0874392E+01   2.7799520E+00
   8.2758927E-01   7.3371790E-02  -1.0927381E+01   2.7855313E+00
   8.3002162E-01   4.8927661E-02  -1.0849637E+01   2.7783859E+00
   8.3414555E-01  -9.2918567E-02  -1.0876822E+01   2.7879617E+00
   8.3722383E-01   2.2169821E-02  -1.0842617E+01   2.7852139E+00
   8.4088606E-01   3.3080723E-02  -1.0862304E+01   2.7946961E+00
   8.4410250E-01  -1.0156660E-02  -1.0933091E+01   2.7882466E+00
   8.4739161E-01  -1.1319079E-01  -1.0987200E+01   2.8049750E+00
   8.5119921E-01   1.7795494E-01  -1.0658528E+01   2.7875264E+00
   8.5406548E-01   1.7057020E-02  -1.0691689E+01   2.7848814E+00
   8.5722548E-01  -4.3950822E-02  -1.0778564E+01   2.7902553E+00
   8.6062723E-01  -4.5186967E-02  -1.0729815E+01   2.7854180E+00
   8.6382556E-01   1.7051801E-02  -1.0702910E+01   2.7960069E+00
   8.6704314E-01  -1.0139848E-02  -1.0696370E+01   2.7983420E+00
   8.7175161E-01   6.1786495E-02  -1.0610354E+01   2.7530744E+00
   8.7490398E-01   7.7323742E-02  -1.0634289E+01   2.7741101E+00
   8.7800550E-01   7.3897220E-02  -1.0561866E+01   2.7776213E+00
   8.8141912E-01   9.6995719E-02  -1.0479144E+01   2.7724814E+00
   8.8485819E-01  -4.1494183E-02  -1.0538047E+01   2.7834270E+00
   8.8828731E-01  -4.1123438E-03  -1.0371559E+01   2.7752113E+00
   8.9174801E-01  -5.1887497E-02  -1.0356044E+01   2.7839317E+00
   8.9514816E-01   5.2996874E-02  -1.0328012E+01   2.7843783E+00
   8.9851964E-01   4.6497986E-02  -1.0328243E+01   2.7904487E+00
   9.0204740E-01   5.9704818E-02  -1.0410154E+01   2.7878056E+00
   9.0561283E-01   3.6488559E-02  -1.0184065E+01   2.7813511E+00
   9.0741539E-01  -4.5430392E-02  -1.0138514E+01   2.7799685E+00
   9.1106397E-01   1.3551172E-02  -1.0161563E+01   2.7717679E+00
   9.1467321E-01   1.0053408E-01  -1.0153716E+01   2.7690263E+00
   9.1812396E-01   6.2348116E-02  -1.0091333E+01   2.7680786E+00
   9.2137188E-01  -3.3309218E-02  -1.0013804E+01   2.7629182E+00
   9.2439187E-01  -3.3232562E-02  -9.9261255E+00   2.7596729E+00
   9.2856091E-01  -5.3428212E-04  -1.0087124E+01   2.7600181E+00
   9.3213362E-01  -1.7626939E-02  -9.9443455E+00   2.7480304E+00
   9.3521023E-01   1.1689142E-01  -9.8767805E+00   2.7389870E+00
   9.3821490E-01   6.4452916E-02  -9.8603764E+00   2.7344055E+00
   9.4227672E-01   7.6766282E-02  -9.6687737E+00   2.7320318E+00
   9.4563675E-01  -1.5272959E-02  -9.7148619E+00   2.7343435E+00
   9.4807965E-01  -2.6235731E-02  -9.6603889E+00   2.7321527E+00
   9.5211810E-01   6.6865101E-02  -9.5771999E+00   2.7254910E+00
   9.5508361E-01   4.2774364E-02  -9.5866051E+00   2.7238684E+00
   9.5821953E-01   4.9933128E-02  -9.5604582E+00   2.7347355E+00
   9.6157730E-01   1.0001734E-03  -9.3176680E+00   2.7288303E+00
   9.6513271E-01  -8.3770165E-03  -9.3357477E+00   2.7091928E+00
   9.6887225E-01  -7.7519268E-03  -9.2962627E+00   2.7105927E+00
   9.7168732E-01   3.6107760E-02  -9.1256332E+00   2.7123795E+00
   9.7645998E-01  -5.0664879E-02  -9.0937243E+00   2.7148833E+00
   9.7821259E-01  -2.8834896E-02  -9.0179672E+00   2.7145138E+00
   9.8198503E-01   4.2264711E-02  -9.0533457E+00   2.7174413E+00
   9.8612905E-01   1.4618145E-02  -8.9362717E+00   2.7157030E+00
   9.8821378E-01  -6.4664297E-02  -8.8723040E+00   2.7169142E+00
   9.9229819E-01  -2.1333028E-02  -8.8501129E+00   2.7095888E+00
   9.9627715E-01   1.3804983E-03  -8.7578564E+00   2.7223344E+00
   1.0001045E+00   2.0548744E-02  -8.6595392E+00   2.7218015E+00
   1.0018312E+00  -2.8601971E-03  -8.6588049E+00   2.7265208E+00
   1.0054271E+00   2.8992500E-02  -8.4979734E+00   2.7190764E+00
   1.0088100E+00  -6.4703718E-02  -8.4562397E+00   2.7064991E+00
   1.0124153E+00   5.5453129E-02  -8.4060612E+00   2.7153041E+00
   1.0159479E+00   3.2566328E-02  -8.3886719E+00   2.7142029E+00
   1.0194128E+00   5.4331119E-03  -8.2561522E+00   2.7148058E+00
   1.0227828E+00   2.2494074E-02  -8.2849674E+00   2.7130656E+00
   1.0260435E+00   3.8016640E-02  -8.2409678E+00   2.7136047E+00
   1.0291951E+00   3.4215685E-02  -8.1858301E+00   2.7116222E+00
   1.0338520E+00   3.3807945E-02  -7.7903175E+00   2.7030301E+00
   1.0370114E+00   1.2191825E-02  -7.9023838E+00   2.7054050E+00
   1.0401226E+00   5.5593483E-02  -7.8761468E+00   2.7108214E+00
