  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   16:31:12  02/12/2024 cero     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   4.8940423E-01  -1.2307436E-02   3.9512143E+00  -1.1020424E+00
   4.9298981E-01   1.2188424E-02   3.7410979E+00  -1.1152828E+00
   4.9647784E-01  -1.4017287E-03   3.6681173E+00  -1.1303470E+00
   4.9931499E-01  -3.1706826E-03   3.5306122E+00  -1.1347378E+00
   5.0280422E-01   2.2921752E-02   3.2528682E+00  -1.1610647E+00
   5.0637996E-01   6.7185606E-03   3.1806307E+00  -1.1838560E+00
   5.0990373E-01   2.2062778E-02   3.0686638E+00  -1.1898489E+00
   5.1328778E-01   2.0768709E-02   2.8201578E+00  -1.1958376E+00
   5.1682621E-01   2.2422511E-02   2.5481150E+00  -1.1984687E+00
   5.1959336E-01   8.3874809E-03   2.5825145E+00  -1.2190304E+00
   5.2355504E-01   2.8710565E-02   2.3552482E+00  -1.2446669E+00
   5.2635646E-01   1.2800309E-02   2.2013268E+00  -1.2469625E+00
   5.2977210E-01   2.6275221E-02   1.9898219E+00  -1.2600495E+00
   5.3371745E-01   2.4363818E-02   1.7903718E+00  -1.2775723E+00
   5.3691179E-01   1.1802668E-02   1.5982819E+00  -1.2734299E+00
   5.3997785E-01   1.4535655E-02   1.5380534E+00  -1.2990497E+00
   5.4363620E-01   9.5690964E-03   1.3324456E+00  -1.3038524E+00
   5.4672235E-01  -5.9104674E-03   1.1734245E+00  -1.3215451E+00
   5.5048764E-01   1.3206271E-02   9.7045118E-01  -1.3312979E+00
   5.5395788E-01   7.6868897E-03   8.1129509E-01  -1.3341244E+00
   5.5687338E-01   9.4725238E-03   6.8982512E-01  -1.3423748E+00
   5.6030780E-01   2.3664325E-02   4.8873731E-01  -1.3435985E+00
   5.6375045E-01  -2.0450288E-02   2.9324210E-01  -1.3582245E+00
   5.6720728E-01   6.8951356E-03   1.3859443E-01  -1.3708894E+00
   5.7078028E-01   2.2959331E-02  -1.5897993E-02  -1.3773789E+00
   5.7407886E-01   1.0077141E-02  -1.9042268E-01  -1.3724295E+00
   5.7734579E-01   3.1822685E-02  -4.0207797E-01  -1.3737684E+00
   5.8042294E-01  -5.1229559E-03  -5.0188547E-01  -1.3921211E+00
   5.8417261E-01   1.6014301E-03  -6.7020613E-01  -1.3863680E+00
   5.8723611E-01   2.2796968E-02  -8.8897783E-01  -1.3841434E+00
   5.9064829E-01  -5.9224106E-03  -9.6899074E-01  -1.4032100E+00
   5.9394616E-01  -3.1666048E-02  -1.1887232E+00  -1.4027952E+00
   5.9791523E-01  -9.0428945E-03  -1.4045664E+00  -1.3980997E+00
   6.0100996E-01   2.8028177E-02  -1.5127624E+00  -1.4112592E+00
   6.0417360E-01  -3.6290467E-02  -1.6458836E+00  -1.3873265E+00
   6.0732305E-01  -1.0504610E-02  -1.7726181E+00  -1.3886999E+00
   6.1092299E-01  -4.2524219E-02  -1.9137745E+00  -1.3744859E+00
   6.1450535E-01   6.9728307E-03  -2.1400630E+00  -1.3780905E+00
   6.1806214E-01   1.6920416E-02  -2.3491426E+00  -1.3629482E+00
   6.2143654E-01  -2.5825661E-02  -2.4300308E+00  -1.3596839E+00
   6.2448615E-01  -9.6950466E-03  -2.5483849E+00  -1.3497382E+00
   6.2775296E-01  -2.2157107E-02  -2.7415860E+00  -1.3308673E+00
   6.3153702E-01  -1.2739822E-02  -2.8172972E+00  -1.3136299E+00
   6.3495231E-01  -2.5424419E-02  -2.9879382E+00  -1.3029221E+00
   6.3789910E-01  -1.4573619E-02  -3.1917768E+00  -1.2961613E+00
   6.4147097E-01  -2.0323003E-02  -3.2432475E+00  -1.2747664E+00
   6.4507341E-01  -7.1945490E-04  -3.3416557E+00  -1.2538333E+00
   6.4844406E-01  -5.2017518E-03  -3.4830799E+00  -1.2448516E+00
   6.5183157E-01   2.3705033E-03  -3.7580118E+00  -1.2140011E+00
   6.5490144E-01  -1.9871391E-02  -3.8023705E+00  -1.2130796E+00
   6.5849060E-01  -6.2484358E-02  -3.8562226E+00  -1.2230785E+00
   6.6144884E-01  -7.6686352E-02  -3.9808023E+00  -1.1957839E+00
   6.6505468E-01   7.5894152E-03  -4.1521330E+00  -1.1607139E+00
   6.6816854E-01  -1.8332744E-02  -4.1763477E+00  -1.1389977E+00
   6.7204291E-01   3.5492223E-02  -4.3990321E+00  -1.1336653E+00
   6.7546159E-01  -1.7033758E-02  -4.4581876E+00  -1.1014786E+00
   6.7854887E-01  -4.1530650E-02  -4.5552564E+00  -1.0829357E+00
   6.8194288E-01  -4.0755026E-02  -4.6260080E+00  -1.0680784E+00
   6.8535823E-01  -2.0084376E-02  -4.7244444E+00  -1.0616148E+00
   6.8902469E-01  -7.5189926E-02  -4.8609562E+00  -1.0330240E+00
   6.9211465E-01  -5.5762690E-02  -4.9204159E+00  -1.0302764E+00
   6.9544035E-01   8.5306319E-04  -5.0343294E+00  -1.0062293E+00
   6.9933647E-01  -5.4585140E-02  -5.1215987E+00  -9.9747771E-01
   7.0244020E-01   2.2392981E-02  -5.1764565E+00  -9.8467273E-01
   7.0541579E-01  -4.4221852E-02  -5.2871308E+00  -9.6959186E-01
   7.0918536E-01   1.6966546E-03  -5.3752637E+00  -9.5883584E-01
   7.1245557E-01  -5.6390375E-02  -5.4327917E+00  -9.3970108E-01
   7.1565539E-01  -3.0247934E-02  -5.5503745E+00  -9.2437834E-01
   7.1943629E-01  -3.7743244E-02  -5.5935683E+00  -9.1894877E-01
   7.2235364E-01  -5.4241356E-02  -5.6519780E+00  -8.9835638E-01
   7.2581744E-01  -5.7002664E-02  -5.7546568E+00  -8.9817733E-01
   7.2948593E-01  -1.4120734E-02  -5.8256278E+00  -8.7201315E-01
   7.3282635E-01  -4.6306666E-02  -5.8720570E+00  -8.5406184E-01
   7.3627180E-01  -1.6482575E-02  -5.9326615E+00  -8.3915544E-01
   7.3957819E-01  -3.6886856E-02  -5.9914041E+00  -8.1731111E-01
   7.4290186E-01  -4.7590937E-02  -6.0686650E+00  -8.0302948E-01
   7.4641573E-01  -3.1746462E-02  -6.1040373E+00  -7.7820969E-01
   7.4917376E-01  -2.7506368E-02  -6.1414809E+00  -7.7197552E-01
   7.5312787E-01   4.3211775E-03  -6.1785207E+00  -7.5401163E-01
   7.5638080E-01  -4.5386761E-02  -6.2976956E+00  -7.2326452E-01
   7.5940186E-01  -2.5048912E-02  -6.3315516E+00  -7.2304928E-01
   7.6332760E-01  -2.4116198E-02  -6.3531060E+00  -7.0065850E-01
   7.6615447E-01   2.6851274E-02  -6.4857244E+00  -6.9387710E-01
   7.6999968E-01  -1.5336918E-02  -6.5148187E+00  -6.6850019E-01
   7.7346712E-01   5.2144430E-03  -6.5123053E+00  -6.4921767E-01
   7.7644897E-01  -2.1449687E-02  -6.5584412E+00  -6.4529467E-01
   7.7982432E-01  -3.2774460E-02  -6.5955725E+00  -6.3414770E-01
   7.8350401E-01  -4.2057220E-02  -6.6631575E+00  -6.0964376E-01
   7.8654069E-01  -1.1668589E-02  -6.6754308E+00  -5.9760487E-01
   7.9023576E-01  -3.9491810E-02  -6.7315502E+00  -5.9059799E-01
   7.9307336E-01  -4.8246674E-02  -6.7843018E+00  -5.7436311E-01
   7.9660296E-01  -4.5886483E-02  -6.8153415E+00  -5.5509096E-01
   8.0045807E-01  -1.9175582E-02  -6.8497787E+00  -5.5936533E-01
   8.0323416E-01  -1.6991029E-02  -6.9036798E+00  -5.4098213E-01
   8.0683333E-01  -6.2379979E-02  -6.8788934E+00  -5.2225852E-01
   8.0979526E-01  -1.3408807E-02  -6.9128633E+00  -5.0863892E-01
   8.1387812E-01  -5.8596324E-02  -7.0176849E+00  -4.9982747E-01
   8.1700122E-01  -9.2978710E-03  -6.9907055E+00  -4.8946607E-01
   8.2010132E-01  -2.9335098E-02  -7.0416927E+00  -4.8410475E-01
   8.2424372E-01  -2.6707560E-02  -7.1159220E+00  -4.7026563E-01
   8.2734072E-01  -1.2803509E-02  -7.0801368E+00  -4.5876923E-01
   8.3052695E-01  -2.6799181E-02  -7.1149940E+00  -4.4886801E-01
