  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   23:25:45  02/28/2024 bpnh     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.342E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.2081603E-01  -1.8458137E-02   1.8780390E+00   1.9205420E+00
   5.2429938E-01  -9.2543457E-03   1.7640128E+00   1.9200590E+00
   5.2783656E-01  -1.3794363E-02   1.6963394E+00   1.9197956E+00
   5.3141963E-01  -1.5958801E-02   1.4613287E+00   1.9187548E+00
   5.3490233E-01  -1.4165274E-03   1.3090916E+00   1.9176557E+00
   5.3755265E-01  -1.7170563E-02   1.1582346E+00   1.9168624E+00
   5.4109657E-01  -2.2915924E-02   1.0601350E+00   1.9162248E+00
   5.4462111E-01  -1.3356258E-02   8.8413811E-01   1.9153929E+00
   5.4821020E-01  -2.3774181E-02   6.8826467E-01   1.9140443E+00
   5.5095315E-01  -2.0106563E-02   5.6131482E-01   1.9133223E+00
   5.5459255E-01  -3.7464011E-02   3.6354777E-01   1.9127052E+00
   5.5810720E-01  -2.3212790E-02   2.5321200E-01   1.9120953E+00
   5.6160629E-01  -2.5564175E-02   4.8082136E-02   1.9116087E+00
   5.6422383E-01  -4.8812488E-03  -2.5669544E-03   1.9111004E+00
   5.6771183E-01  -3.5754342E-02  -3.4824452E-01   1.9102178E+00
   5.7132083E-01  -2.3021955E-02  -3.6717594E-01   1.9097781E+00
   5.7493365E-01  -2.9481541E-02  -5.6406349E-01   1.9096000E+00
   5.7759690E-01  -2.2415478E-02  -6.4273995E-01   1.9092268E+00
   5.8109409E-01  -3.5579184E-03  -9.4035405E-01   1.9079857E+00
   5.8456945E-01  -1.8610099E-02  -1.1362076E+00   1.9064741E+00
   5.8805305E-01  -3.8437679E-02  -1.2475606E+00   1.9059379E+00
   5.9168172E-01  -2.2753214E-02  -1.3910260E+00   1.9048718E+00
   5.9440053E-01  -8.7362090E-03  -1.4633012E+00   1.9044852E+00
   5.9797490E-01  -3.0118272E-02  -1.8137025E+00   1.9026902E+00
   6.0152602E-01  -1.9920666E-02  -2.0195880E+00   1.9015663E+00
   6.0506046E-01  -1.4080074E-02  -2.0100458E+00   1.9018271E+00
   6.0763103E-01  -4.6035342E-02  -2.1450822E+00   1.9015077E+00
   6.1137772E-01  -4.3910816E-02  -2.4604168E+00   1.9004283E+00
   6.1485779E-01  -1.7781179E-02  -2.5587475E+00   1.9000909E+00
   6.1787528E-01  -5.9782129E-02  -2.8389997E+00   1.8998083E+00
   6.2144053E-01  -6.1250973E-02  -2.9118056E+00   1.8992413E+00
   6.2443715E-01  -3.5932458E-03  -3.1195557E+00   1.8987346E+00
   6.2842077E-01  -7.6347090E-02  -3.3106768E+00   1.8979245E+00
   6.3146520E-01   8.0879843E-03  -3.5369759E+00   1.8971491E+00
   6.3460529E-01  -3.2359343E-02  -3.6092432E+00   1.8968509E+00
   6.3781214E-01  -1.1574067E-02  -3.8357711E+00   1.8965601E+00
   6.4120489E-01  -2.6519677E-02  -3.9122658E+00   1.8955611E+00
   6.4487922E-01  -9.7682662E-02  -4.1828146E+00   1.8945528E+00
   6.4850324E-01  -3.3922310E-04  -4.3297882E+00   1.8941895E+00
   6.5151685E-01  -6.8027496E-02  -4.4253855E+00   1.8937993E+00
   6.5471399E-01   9.8108770E-03  -4.7513232E+00   1.8928468E+00
   6.5859711E-01   8.3556370E-04  -5.1010385E+00   1.8920935E+00
   6.6147012E-01  -9.2250317E-02  -4.9087591E+00   1.8916078E+00
   6.6480875E-01  -3.2833211E-02  -5.1203141E+00   1.8897990E+00
   6.6831803E-01   6.8966285E-03  -5.4041710E+00   1.8902788E+00
   6.7172247E-01  -6.3889436E-02  -5.5700727E+00   1.8893032E+00
   6.7474645E-01   3.9959922E-02  -5.7204881E+00   1.8878015E+00
   6.7784148E-01  -5.6967802E-02  -5.8047633E+00   1.8868636E+00
   6.8199259E-01  -1.5728680E-02  -6.0109348E+00   1.8852341E+00
   6.8498188E-01  -9.8781735E-02  -6.1851439E+00   1.8840932E+00
   6.8801886E-01  -6.2068701E-03  -6.4268031E+00   1.8828858E+00
   6.9197905E-01   9.0989480E-03  -6.5577130E+00   1.8821052E+00
   6.9493508E-01  -5.7273754E-04  -6.6798744E+00   1.8809783E+00
   6.9781500E-01  -1.8008691E-01  -6.6393838E+00   1.8801975E+00
   7.0167613E-01   3.1511873E-02  -7.2143612E+00   1.8784063E+00
   7.0449013E-01   8.4298356E-03  -7.1394968E+00   1.8778328E+00
   7.0805305E-01  -5.4947034E-02  -7.3512597E+00   1.8771371E+00
   7.1142071E-01  -1.9120354E-02  -7.3736844E+00   1.8753719E+00
   7.1507281E-01  -1.2174004E-01  -7.6572819E+00   1.8743911E+00
   7.1828169E-01   5.9118751E-03  -7.7134671E+00   1.8726209E+00
   7.2179890E-01  -5.0968729E-02  -7.9075837E+00   1.8709266E+00
   7.2529387E-01  -9.1229126E-02  -7.8496599E+00   1.8697608E+00
   7.2792464E-01   7.4923337E-02  -8.2077560E+00   1.8686213E+00
   7.3139161E-01  -9.1366665E-03  -8.2680187E+00   1.8667183E+00
   7.3486954E-01   2.6713649E-02  -8.3836899E+00   1.8652856E+00
   7.3832273E-01  -1.4552075E-01  -8.6075239E+00   1.8639874E+00
   7.4176729E-01  -8.5262433E-03  -8.6524324E+00   1.8616599E+00
   7.4520361E-01   8.3158482E-03  -8.6729937E+00   1.8610970E+00
   7.4865991E-01  -3.4144765E-03  -9.0097275E+00   1.8544912E+00
   7.5123411E-01  -4.9377419E-02  -8.9097090E+00   1.8571512E+00
   7.5462633E-01  -1.1272778E-02  -8.9244156E+00   1.8590158E+00
   7.5805557E-01  -3.2348249E-02  -9.1305799E+00   1.8568134E+00
   7.6134259E-01  -2.5733210E-02  -9.3089104E+00   1.8530637E+00
   7.6470929E-01   2.4096344E-02  -9.3950090E+00   1.8517874E+00
   7.6798582E-01  -3.9448466E-02  -9.3907490E+00   1.8515706E+00
