  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   05:11:31  02/29/2024 jcer     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.7104133E-01   3.3295330E-02   8.5214796E+00   5.7948422E-01
   3.7423438E-01   2.0983985E-02   8.3292322E+00   5.6576961E-01
   3.7788886E-01   2.2756778E-02   8.2957239E+00   5.7296544E-01
   3.8054985E-01   1.9160809E-02   8.2803926E+00   5.6852669E-01
   3.8462174E-01   2.4314556E-02   8.2316484E+00   5.6289673E-01
   3.8749912E-01   1.3480032E-02   8.3314552E+00   5.9630603E-01
   3.9075422E-01   3.7849367E-02   7.9957280E+00   5.6400245E-01
   3.9394489E-01   3.5772707E-02   7.9163423E+00   5.5508089E-01
   3.9769554E-01   2.1625137E-02   7.9472523E+00   5.4615402E-01
   4.0088052E-01   3.4956787E-02   7.8931036E+00   5.4468977E-01
   4.0471399E-01  -1.4015476E-02   7.7127366E+00   5.4260641E-01
   4.0771541E-01   5.5727016E-02   7.5852637E+00   5.4178911E-01
   4.1071010E-01   4.4120427E-02   7.6166544E+00   5.4145771E-01
   4.1469294E-01   1.8579885E-02   7.5335913E+00   5.3986150E-01
   4.1767362E-01   4.7502834E-02   7.3767443E+00   5.3906673E-01
   4.2064732E-01   1.9061161E-02   7.2766623E+00   5.3674895E-01
   4.2440820E-01   9.0048574E-02   7.2354426E+00   5.3699505E-01
   4.2763335E-01  -1.9946633E-01   7.0275702E+00   4.9983066E-01
   4.3106273E-01   1.8271256E-02   6.9309096E+00   5.3895992E-01
   4.3442422E-01   4.3775715E-02   6.8935499E+00   5.2754301E-01
   4.3763426E-01   5.5849925E-02   6.7734265E+00   5.1698184E-01
   4.4082993E-01   1.0325963E-02   6.6768956E+00   5.1806879E-01
   4.4465110E-01   2.0527650E-02   6.4295473E+00   5.1585364E-01
   4.4749454E-01   3.9416466E-02   6.4238753E+00   5.1148438E-01
   4.5143878E-01   3.8709231E-02   6.3520360E+00   5.0426078E-01
   4.5441839E-01   1.1512671E-02   6.1969023E+00   5.0059909E-01
   4.5769408E-01   4.4321306E-02   6.1065855E+00   4.9905062E-01
   4.6134341E-01   1.9932626E-02   5.8395023E+00   4.9271193E-01
   4.6400064E-01   1.4985572E-02   5.8418007E+00   4.9656737E-01
   4.6805051E-01   7.2482675E-03   5.6829629E+00   4.9016166E-01
   4.7078112E-01   4.4664185E-02   5.5895977E+00   4.8452163E-01
   4.7440663E-01   2.5631279E-02   5.4355407E+00   4.7903448E-01
   4.7742301E-01   2.6182188E-02   5.2957416E+00   4.7881973E-01
   4.8059881E-01   2.6039150E-02   5.2002945E+00   4.7362661E-01
   4.8429126E-01   1.8656418E-02   5.0443926E+00   4.6610698E-01
   4.8764110E-01   2.0091092E-02   4.8433943E+00   4.6229893E-01
   4.9094918E-01   4.7384072E-02   4.8090582E+00   4.6251720E-01
   4.9445012E-01   1.1386328E-02   4.6691499E+00   4.5888641E-01
   4.9800462E-01   4.7518764E-02   4.4421291E+00   4.5105755E-01
   5.0071138E-01   2.8948816E-02   4.3339396E+00   4.4735840E-01
   5.0439239E-01  -1.1083893E-02   4.1989031E+00   4.4420159E-01
   5.0814581E-01   1.4415827E-02   4.0770688E+00   4.4005477E-01
   5.1099783E-01   4.8488327E-03   3.8836842E+00   4.3429020E-01
   5.1484144E-01   8.0622565E-03   3.7110591E+00   4.2956820E-01
   5.1775169E-01   1.5700385E-02   3.6437786E+00   4.2754006E-01
   5.2068412E-01  -1.3725308E-02   3.5454798E+00   4.2341271E-01
