  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   07:57:11  02/29/2024 urib     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   9.3566912E-01  -6.7910347E-03  -5.9294682E+00  -4.8461357E-01
   9.3852353E-01   6.5913019E-03  -5.9312158E+00  -4.6931365E-01
   9.4232261E-01   1.2240633E-02  -5.9359989E+00  -4.6828404E-01
   9.4516808E-01  -2.0042656E-03  -5.9572001E+00  -4.5723534E-01
   9.4896603E-01   1.8438738E-02  -5.9458666E+00  -4.5017681E-01
   9.5182651E-01   3.4318005E-03  -5.9484887E+00  -4.4610313E-01
   9.5567012E-01   4.7423104E-03  -5.9536896E+00  -4.5116952E-01
   9.5858604E-01   1.0394327E-02  -5.9573169E+00  -4.4132078E-01
   9.6161091E-01   1.2261066E-02  -5.9600005E+00  -4.3959999E-01
   9.6562767E-01  -2.3573649E-03  -5.9607143E+00  -4.3329969E-01
   9.6855909E-01   6.1038751E-03  -5.9613414E+00  -4.2483827E-01
   9.7228146E-01   3.4960674E-03  -5.9630857E+00  -4.2057469E-01
   9.7557080E-01   8.9498740E-03  -5.9026790E+00  -4.1644061E-01
   9.7885025E-01   5.4945280E-03  -5.8973818E+00  -4.2065582E-01
   9.8235989E-01   1.5336452E-02  -5.9419675E+00  -4.1455460E-01
   9.8526669E-01   9.6305981E-03  -5.9392867E+00  -4.0936935E-01
   9.8897964E-01   4.2359270E-03  -5.8788500E+00  -3.9796841E-01
   9.9238592E-01   2.3737841E-04  -5.9023542E+00  -3.9575326E-01
   9.9520206E-01   1.6653081E-02  -5.8987260E+00  -3.8650554E-01
   9.9888331E-01   2.2089066E-02  -5.8569450E+00  -3.7777755E-01
   1.0026307E+00   1.0253970E-02  -5.8865552E+00  -3.7594044E-01
   1.0056522E+00   1.1185450E-03  -5.8391566E+00  -3.7320241E-01
   1.0089755E+00   1.3808494E-02  -5.8656554E+00  -3.6890462E-01
   1.0124345E+00   1.1972565E-02  -5.8426385E+00  -3.6044675E-01
   1.0157839E+00  -1.1128875E-03  -5.7772508E+00  -3.5250765E-01
   1.0190942E+00   8.3696833E-03  -5.8200827E+00  -3.4608752E-01
   1.0224155E+00   1.8335311E-02  -5.8030906E+00  -3.4003344E-01
   1.0257829E+00   3.6695269E-03  -5.7984529E+00  -3.3274338E-01
   1.0286376E+00  -9.5671322E-03  -5.7705579E+00  -3.2954061E-01
   1.0321194E+00   5.2287825E-03  -5.7402768E+00  -3.1775281E-01
   1.0356693E+00  -9.2357555E-03  -5.7265363E+00  -3.1472203E-01
   1.0392004E+00   2.3300685E-02  -5.6953826E+00  -3.0929285E-01
   1.0421951E+00   1.3167295E-02  -5.6789842E+00  -3.0673471E-01
   1.0458094E+00   1.2398511E-02  -5.6612110E+00  -3.0470023E-01
   1.0490302E+00   1.8224295E-02  -5.6043668E+00  -2.9593801E-01
   1.0523665E+00   7.1007205E-04  -5.6020775E+00  -2.9154834E-01
