  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   02:11:33  02/29/2024 cero     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.4099914E-01  -8.9663438E-02  -2.7807667E+00   1.1192964E+00
   6.4476502E-01  -1.3080680E-01  -2.9555929E+00   1.1225345E+00
   6.4849454E-01  -1.1847249E-01  -3.1005042E+00   1.1200167E+00
   6.5129691E-01  -9.1816857E-02  -3.2172697E+00   1.1273185E+00
   6.5500706E-01  -7.2209753E-02  -3.3451948E+00   1.1297984E+00
   6.5777248E-01  -1.0592736E-01  -3.5100300E+00   1.1288497E+00
   6.6135997E-01  -9.7543098E-02  -3.6699083E+00   1.1302273E+00
   6.6487384E-01  -8.9676008E-02  -3.8685520E+00   1.1301618E+00
   6.6830724E-01  -1.0783737E-01  -3.9500711E+00   1.1375018E+00
   6.7143124E-01  -9.6617512E-02  -4.1505356E+00   1.1404008E+00
   6.7514259E-01  -9.9152580E-02  -4.2134109E+00   1.1415135E+00
   6.7809123E-01  -1.2899069E-01  -4.3425679E+00   1.1416974E+00
   6.8176025E-01  -1.0075236E-01  -4.5083270E+00   1.1438308E+00
   6.8473464E-01  -8.0594108E-02  -4.6406932E+00   1.1455455E+00
   6.8792152E-01  -1.1015531E-01  -4.7863770E+00   1.1432323E+00
   6.9162577E-01  -9.9455491E-02  -4.8787961E+00   1.1457398E+00
   6.9473159E-01  -9.2230536E-02  -4.9692545E+00   1.1430218E+00
   6.9789553E-01  -8.0615006E-02  -5.1099782E+00   1.1444242E+00
   7.0157027E-01  -1.4879645E-01  -5.2749896E+00   1.1456261E+00
   7.0515645E-01  -9.1279432E-02  -5.4111929E+00   1.1478225E+00
   7.0803833E-01  -7.0265554E-02  -5.4733934E+00   1.1450880E+00
   7.1172738E-01  -8.1205681E-02  -5.4881940E+00   1.1473392E+00
   7.1473455E-01  -8.0928698E-02  -5.7173576E+00   1.1483721E+00
   7.1857500E-01  -7.3454030E-02  -5.8413849E+00   1.1475750E+00
   7.2170448E-01  -5.6440558E-02  -5.9441957E+00   1.1488523E+00
   7.2486764E-01  -2.9175455E-02  -6.0197492E+00   1.1509277E+00
   7.2805154E-01  -6.3718684E-02  -6.0313025E+00   1.1551499E+00
   7.3128772E-01  -2.7486347E-02  -6.2244000E+00   1.1482568E+00
   7.3459095E-01  -1.0510855E-01  -6.3435473E+00   1.1544980E+00
   7.3798847E-01  -7.8149319E-02  -6.3918948E+00   1.1536909E+00
   7.4146765E-01  -1.1264996E-02  -6.5553441E+00   1.1541486E+00
   7.4503726E-01  -2.0695385E-02  -6.6584530E+00   1.1566929E+00
   7.4870616E-01  -3.2943051E-02  -6.7304897E+00   1.1493595E+00
   7.5152749E-01  -4.7240816E-02  -6.8402309E+00   1.1476388E+00
   7.5541568E-01  -3.5736345E-02  -6.9577012E+00   1.1519370E+00
   7.5840628E-01  -4.4644970E-02  -7.0450583E+00   1.1507200E+00
   7.6163214E-01  -1.4366220E-02  -7.0781369E+00   1.1557218E+00
   7.6473856E-01  -6.4159118E-02  -7.1865473E+00   1.1531068E+00
   7.6850039E-01  -3.1609055E-02  -7.3028212E+00   1.1559917E+00
   7.7178741E-01  -6.3039847E-02  -7.3936701E+00   1.1587291E+00
   7.7465069E-01  -2.0665932E-02  -7.4337497E+00   1.1581234E+00
   7.7848655E-01  -4.0291052E-02  -7.5709157E+00   1.1590462E+00
   7.8140837E-01   3.5391197E-02  -7.6527023E+00   1.1625830E+00
   7.8534091E-01  -5.1558238E-02  -7.7116833E+00   1.1647456E+00
   7.8822130E-01  -9.8736338E-02  -7.8531361E+00   1.1652575E+00
   7.9201722E-01  -4.8208784E-02  -7.9131737E+00   1.1647880E+00
   7.9493141E-01   7.7151367E-03  -7.9753900E+00   1.1677362E+00
   7.9854608E-01  -6.2005902E-03  -7.9798703E+00   1.1668878E+00
   8.0137223E-01   1.6399434E-02  -8.0696421E+00   1.1640370E+00
   8.0508876E-01  -2.6275456E-02  -8.2409067E+00   1.1628362E+00
   8.0875969E-01   3.4880275E-03  -8.2430935E+00   1.1610135E+00
   8.1148797E-01  -1.3327966E-02  -8.2475042E+00   1.1584020E+00
   8.1510192E-01  -1.7149325E-02  -8.3525772E+00   1.1555189E+00
   8.1834728E-01  -7.0340089E-02  -8.4179049E+00   1.1464007E+00
   8.2154608E-01  -1.0807827E-02  -8.4875212E+00   1.1475270E+00
   8.2544905E-01  -5.0503448E-02  -8.5395861E+00   1.1446064E+00
   8.2817250E-01   1.1925520E-02  -8.5986252E+00   1.1430314E+00
   8.3154082E-01  -1.0782045E-02  -8.5977535E+00   1.1390547E+00
   8.3486277E-01   6.1625452E-03  -8.5701895E+00   1.1384013E+00
   8.3880663E-01  -2.8261278E-02  -8.6834583E+00   1.1359104E+00
   8.4211624E-01  -1.9857395E-03  -8.6838627E+00   1.1293561E+00
   8.4486157E-01   6.5888739E-03  -8.7318993E+00   1.1283714E+00
